"Senior Officials Name
(Firstname and Surname of PermSecs or SCS2/3 Official, exclude titles, honorifics or post nominals e.g. Sir, Captain, MBE, PhD)  ","Start date of trip
(Use the date format: 
YYYY-MM-DD i.e. 2017-11-01)","Duration of Visit (Days)
(Include number of days for the visit,
from departure to arrival)","Destination
(Include trip destination for both domestic and international journeys, e.g. Manchester, UK or Brussels, Belgium)","Purpose of trip
(State a clear purpose, e.g. site visit to locally based staff; Senior Leadership meeting; please avoid abbreviations or acronyms)","Mode of transport
(State if either Rail, Car, Air, Sea, Taxi)
","Class of travel
(i.e. Standard, Economy, Business, First or other)","Accommodation/Meals (£)
(Please include any associated costs relating to accommodation or meals)","Other (including hospitality given)
(State Nil Return if none received)","Total cost, including all visas, accommodation, travel, meals etc. (£)
(This amount should reflect the total cost of the trip, including all visas, additional travel meals etc.)",Total Cost of Use of Official Secure Car (state cost except where officials are accompanying a Minister or Nil Return when not used)
Richard Hawthorn,29/11/2022,1,"Cardiff, UK",Operational Excellence Senior Leadership Team Event,Rail,Standard,Nil Return,Nil Return,66,Nil Return
Richard Hawthorn,05/12/2022,1,"Manchester, UK",RADA Training,Rail,Standard,Nil Return,Nil Return,39,Nil Return
Richard Las,01/10/2022,90,UK ,Operational Activity,"Rail, Air","Standard, First, Economy",127,Nil Return,1226,Nil Return
Richard Las,01/10/2022,2,Amsterdam,Meeting at Europol,Air,Economy,205.66,Nil Return,380,Nil Return
Richard West,13/10/2022,1,"York, UK ",Senior Leadership Team Event,Car,Hire,Nil Return,Nil Return,118.25,Nil Return
Richard West,13/10/2022,1,"York, UK ",Senior Leadership Team Event,Car,Hire ,Nil Return,Nil Return,118.25,Nil Return
Richard West,27/10/2022,1,"Birmingham, UK",Self Assessment Performance Workshop,"Rail, Taxi",Standard,4,Nil Return,178.37,Nil Return
Richard West,01/11/2022,1,"Bradford, UK",Office Visit ,Taxi,car,6.28,Nil Return,41.84,Nil Return
Richard West,09/11/2022,2,"Glasgow, UK",East Kilbride office visit,Car,Hire,174,Nil Return,359.59,Nil Return
Richard West,14/11/2022,1,"York, UK ",Senior Leadership Team Event,Car,Hire ,Nil Return,Nil Return,135.76,Nil Return
Richard West,14/11/2022,1,"York, UK ",Senior Leadership Team Event,Car,Hire ,Nil Return,Nil Return,135.76,Nil Return
Rob Jones,31/10/2022,1,"Leeds, UK",Intermediaries software strategy workshop,Rail,Standard,111,Nil Return,269.85,Nil Return
Saghir Akbar,06/10/2022,1,"London, UK",Extended Leadership Group meeting and External Organisation Sustainability session ,Car,Private,96.48,Nil Return,238.42,Nil Return
Saghir Akbar,13/10/2022,2,"Manchester, UK",Chief Digital and Information Office Senior Leadership Team Meeting with site visit,Car,Private,186,Nil Return,335.86,Nil Return
Saghir Akbar,17/10/2022,2,"London, UK",Meeting with Director and Chief Digital and Information Officer,Car,Private,173.33,Nil Return,312.13,Nil Return
Saghir Akbar,26/10/2022,2,"Bristol, UK",Senior Leadership Meeting with site visit,Rail,Standard,125.5,Nil Return,325,Nil Return
Saghir Akbar,06/11/2022,2,"London, UK",Planning session ,Car,Private,115,Nil Return,132.1,Nil Return
Saghir Akbar,16/11/2022,2,"Worthing, UK",Systems Applications and Processes Senior Leadership meeting,Car,Private,174.88,Nil Return,354.88,Nil Return
Saghir Akbar,23/11/2022,3,"London, UK",HMRC Senior Civil Service Leadership Conference and Supplier meeting,Car,Private,58.25,Nil Return,239.58,Nil Return
Saghir Akbar,08/12/2022,3,"London, UK",Extended Leadership Team and Senior Leadership Team meetings,Car,Private,452.05,Nil Return,654.47,Nil Return
Saghir Akbar,19/12/2022,3,"London, UK",Planning Session,Car,Private,299.25,Nil Return,433.99,Nil Return
Samantha Pullin,08/12/2022,1,"London, UK",Leadership within the Enterprise Event,Rail,Standard,Nil Return,Nil Return,14.85,Nil Return
Sarah Hartley,06/10/2022,1,"London, UK",Enterprise Leadership Group Meeting,Rail,Standard,Nil Return,Nil Return,86,Nil Return
Sarah Hartley,07/10/2022,1,"London, UK",Senior Leadership Meeting,Rail,Standard,Nil Return,Nil Return,86,Nil Return
Sarah Hartley,10/10/2022,1,"London, UK",Senior Civil Service New Starter Event,Rail,Standard,Nil Return,Nil Return,86,Nil Return
Sarah Hartley,12/10/2022,2,"Newcastle upon Tyne, UK",Planning Workshop,"Rail, Air","Standard, Economy",105,Nil Return,428.34,Nil Return
Sarah Hartley,17/10/2022,1,"London, UK",Face to face session with team members,Rail,Standard,3.9,Nil Return,89.9,Nil Return
Sarah Hartley,20/10/2022,1,"London, UK",Face to face session with team members,Rail,Standard,Nil Return,Nil Return,86,Nil Return
Sarah Hartley,24/10/2022,1,"London, UK",Joint Customs Consultative Committee Group 6 Monthly Review Meeting,Rail,Standard,Nil Return,Nil Return,86,Nil Return
Sarah Hartley,27/10/2022,1,"London, UK",Senior Leadership Meeting,Rail,Standard,2.9,Nil Return,88.9,Nil Return
Sarah Hartley,31/10/2022,1,"London, UK",Face to face session with team members,Rail,Standard,Nil Return,Nil Return,86,Nil Return
Sarah Hartley,08/11/2022,3,"Manchester, UK",Induction - Customer Service Group Show and Tell,Car,Private,3.5,Nil Return,152,Nil Return
Sarah Hartley,11/11/2022,1,"London, UK",Meeting with External supplier,Rail,Standard,5.9,Nil Return,91.9,Nil Return
Sarah Hartley,14/11/2022,1,"London, UK",Planning Workshop,Rail,Standard,3.9,Nil Return,81.9,Nil Return
Sarah Hartley,15/11/2022,2,"Birmingham, UK",Senior Leadership Meeting,Rail,Standard,5.29,Nil Return,190.29,Nil Return
Sarah Hartley,23/11/2022,2,"Leeds, UK",Programme Team Event,Car,Private,Nil Return,Nil Return,150.75,Nil Return
Sarah Hartley,29/11/2022,1,"London, UK",Planning Workshop,Rail,Standard,Nil Return,Nil Return,78,Nil Return
Sarah Hartley,07/12/2022,1,"London, UK",Planning Workshop,Rail,Standard,Nil Return,Nil Return,78,Nil Return
Sarah Hartley,08/12/2022,1,"London, UK",Borders Design Workshop,Rail,Standard,Nil Return,Nil Return,86,Nil Return
Sarah McMann,06/10/2022,1,"North East, UK",Income Tax Service Transformation meeting,Car,Hire,Nil Return,Nil Return,133.68,Nil Return
Sarah McMann,11/10/2022,1,"North East, UK",Income Tax Service Transformation meeting,Car,Hire,221.28,Nil Return,221.28,Nil Return
Sarah McMann,12/10/2022,1,"Manchester, UK",Senior Leadership Team Site visit,Car,Private,Nil Return,Nil Return,121.6,Nil Return
Sarah McMann,19/10/2022,1,"North East, UK",Senior Leadership Team meeting,Car,Hire,Nil Return,Nil Return,134.26,Nil Return
Sarah McMann,31/10/2022,1,"North East, UK",Strategy workshop,Car,Hire,102.11,Nil Return,102.11,Nil Return
Sarah McMann,07/11/2022,1,"North East, UK",Income Tax Service Transformation meeting,Car,Hire,Nil Return,Nil Return,106.58,Nil Return
Sarah McMann,16/11/2022,1,"Leeds, UK",Supplier Meeting,"Rail, Car","Standard, Private",Nil Return,Nil Return,139.65,Nil Return
Sarah McMann,17/11/2022,2,"London, UK",Complex Evasion Programme Closure ,"Rail, Taxi",Standard,183.5,Nil Return,372.6,Nil Return
Sarah McMann,22/11/2022,2,"London, UK",HMRC Senior Civil Service Leadership conference,Rail,Standard,101,Nil Return,484,Nil Return
Sarah McMann,29/11/2022,2,"Paris, France","Supplier visit, meeting and workshop","Air, Rail","Economy, Standard",Nil Return,Nil Return,281.93,Nil Return
Sarah McMann,07/12/2022,2,"London, UK",Digital Government Ignition Event,Rail,Standard,282,Nil Return,743,Nil Return
Sarah McMann,12/12/2022,2,"Leeds, UK",Senior Leadership Team meeting,Car,Hire,26,Nil Return,358.24,Nil Return
Simon Fryer,06/12/2022,1,"Manchester, UK",Chief People Officer Senior Leadership Event,Rail,Standard,Nil Return,Nil Return,224,Nil Return
Simon York,01/10/2022,90,Various UK,Operational Activity,"Rail, Taxi, Car",Standard,1084.6,Nil Return,2148.1,Nil Return
Simon York,01/10/2022,2,New York,Global Financial Institutions Summit,Air,Premium Economy,353.91,Nil Return,4457.47,Nil Return
Steve Long,13/10/2022,1,"York, UK ",Senior meeting ,Rail ,Standard,Nil Return,Nil Return,68,Nil Return
Steve Long,13/10/2022,1,"York, UK ",Senior meeting ,Rail ,Standard,Nil return,Nil Return,68,Nil Return
Steve Long,17/10/2022,2,"London, UK ",Interviews ,Rail ,Standard,148.96,Nil Return,334.98,Nil Return
Steve Long ,18/10/2022,2,"London, UK ",Interviews ,Rail ,Standard,148.96,Nil Return,334.96,Nil Return
Steve Long ,04/11/2022,1,"Manchester, UK ",Senior meeting ,Rail ,Standard,Nil Return,Nil Return,11,Nil Return
Steve Long ,04/11/2022,1,"Manchester, UK ",Senior meeting ,Rail ,Standard,Nil return,Nil Return,11,Nil Return
Steve Long ,09/11/2022,1,"Manchester, UK ",Senior meeting ,Rail ,Standard,Nil Return,Nil Return,11,Nil Return
Steve Long ,09/11/2022,1,"Manchester, UK ",Senior meeting ,Rail ,Standard,Nil return,Nil Return,11,Nil Return
Sue Young,13/10/2022,2,"York, UK",Management Development Course,"Rail, Taxi",Standard,Nil Return,Nil Return,229.2,Nil Return
Sue Young,13/11/2022,3,"Glasgow, UK",Debt Management Operational Delivery meeting,"Rail, Taxi, Air, Tram",Standard,170,Nil Return,327.97,Nil Return
Sue Young,15/11/2022,1,"London, UK",Debt Leadership Team and Operational Visit,"Rail, Taxi, Air","Standard, Economy",Nil Return,Nil Return,140.47,Nil Return
Sue Young,29/11/2022,1,"Worthing, UK",Debt Management Site Visit,Rail,Standard,Nil Return,Nil Return,80,Nil Return
Tim Addison,03/10/2022,1,"London, UK",Audit and Risk Committee meeting,Rail,Standard,78,Nil Return,304.9,Nil Return
Tim Addison,30/11/2022,1,"Nottingham, UK",Chief Finance Office Event and team hub meeting,Rail,Standard,Nil Return,Nil Return,56,Nil Return
Tim Addison,01/12/2022,1,"Manchester, UK",Chief Finance Office Event and team hub meeting,Rail,Standard,Nil Return,Nil Return,16,Nil Return
Tim Addison,05/12/2022,1,"London, UK",Audit and Risk Committee meeting,Rail,Standard,76,Nil Return,157.3,Nil Return
Timothy East,03/10/2022,1,"Manchester, UK","Programme planning event, SAS Offices, ",Rail,Standard,102,Nil Return,153,Nil Return
Timothy East,06/10/2022,1,"London, UK",Directorate Senior Leaders Team Meeting,Rail,Standard,126,Nil Return,288.9,Nil Return
Timothy East,07/10/2022,1,"London, UK",Joint Directorates Senior Leaders meetings,Rail ,Standard,Nil Return,Nil Return,19.3,Nil Return
Timothy East,09/10/2022,2,"London, UK",Data Foundation Training,"Rail, Car ",Standard,90,Nil Return,202.9,Nil Return
Timothy East,12/10/2022,1,"Manchester, UK",Chief Digital Information Office Site visit ,Rail,Standard,133,Nil Return,160,Nil Return
Timothy East,31/10/2022,1,"Birmingham, UK","Programme Planning Event, Capgemini offices ",Car,Private ,Nil Return,Nil Return,36.8,Nil Return
Timothy East,01/11/2022,1,"Birmingham, UK","Programme Planning Event, Capgemini offices ",Car,Private ,Nil Return,Nil Return,36.8,Nil Return
Timothy East,08/11/2022,1,"London, UK",Joint Directorate Senior Leaders meetings,Rail,First,189,Nil Return,245,Nil Return
Timothy East,22/11/2022,2,"London, UK",HMRC Senior Civil Service Leadership Conference ,Rail,Standard,257,Nil Return,409.15,Nil Return
Timothy East,06/12/2022,3,"London, UK",Chief Digital Information Office Quarterly Extended Leadership Event,"Rail, Car ",Standard,486,Nil Return,521.75,Nil Return
Timothy East,09/12/2022,2,"Birmingham, UK",Joint Directorates Extended Leadership Event,"Rail, Car ",Standard,75,Nil Return,98.45,Nil Return
Tom Skalycz,06/10/2022,1,"London, UK",Extended Enterprise Leadership Group (ELG) Meeting ,Rail,Standard,Nil Return,Nil Return,208,Nil Return
Tom Skalycz,12/10/2022,1,"Manchester, UK",Staff visibility & Engagement sessions,Rail,Standard,87,Nil Return,175,Nil Return
Tom Skalycz,14/10/2022,1,"London, UK",Chief Technology Office Council,Car,Private,Nil Return,Nil Return,3.4,Nil Return
Tom Skalycz,01/11/2022,1,"Birmingham, UK",Chief Technology & Design Office Extended Leadership Team Event,Car,Private,Nil Return,Nil Return,20,Nil Return
Tom Skalycz,07/11/2022,2,"Barcelona, Spain ",Supplier Event ,Car,Private,Nil Return,Nil Return,51.3,Nil Return
Tom Skalycz,22/11/2022,1,"London, UK",HMRC Senior Civil Service Leadership Conference,Rail,Standard,Nil Return,Nil Return,214,Nil Return
Tom Skalycz,01/12/2022,1,"London, UK",Programme of Work meeting,Rail,Standard,Nil Return,Nil Return,192,Nil Return
Tom Skalycz,07/12/2022,2,"London, UK",Quarterly Extended Leadership Event,Rail,Standard,423,Nil Return,617,Nil Return
Toni Court,19/10/2022,1,"Manchester, UK",Strategy Inclusion & Employee Directorate  Leadership Strategy Meeting,Rail,Standard,55,Nil Return,233,Nil Return
Toni Court,09/11/2022,1,"Newcastle upon Tyne, UK",Strategy Inclusion & Employee Directorate  Directorate Leadership Meeting,Rail,Standard,Nil Return,Nil Return,144,Nil Return
Toni Court,25/11/2022,1,"Birmingham, UK",Civil Compliance Capability Workshop,Rail,Standard,Nil Return,Nil Return,73,Nil Return
Toni Court,06/12/2022,1,"Manchester, UK",Chief People Office Senior Leadership Team Event,Rail,Standard,Nil Return,Nil Return,236,Nil Return
Adrian Richards,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Elizabeth Fullerton-Rome,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Jane Whittaker,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Jennifer Tippin,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Michael Hearty,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Nic Down,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Philippa Madelin,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Suzanne Newton,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Thomas Taylor,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
