"Senior Officials Name
(Firstname and Surname of PermSecs or SCS2/3 Official, exclude titles, honorifics or post nominals e.g. Sir, Captain, MBE, PhD)  ","Start date of trip
(Use the date format: 
YYYY-MM-DD i.e. 2017-11-01)","Duration of Visit (Days)
(Include number of days for the visit,
from departure to arrival)","Destination
(Include trip destination for both domestic and international journeys, e.g. Manchester, UK or Brussels, Belgium)","Purpose of trip
(State a clear purpose, e.g. site visit to locally based staff; Senior Leadership meeting; please avoid abbreviations or acronyms)","Mode of transport
(State if either Rail, Car, Air, Sea, Taxi)
","Class of travel
(i.e. Standard, Economy, Business, First or other)","Accommodation/Meals (£)
(Please include any associated costs relating to accommodation or meals)","Other (including hospitality given)
(State Nil Return if none received)","Total cost, including all visas, accommodation, travel, meals etc. (£)
(This amount should reflect the total cost of the trip, including all visas, additional travel meals etc.)",Total Cost of Use of Official Secure Car (state cost except where officials are accompanying a Minister or Nil Return when not used)
Aydin Sheibani ,12/10/2022,1,"Manchester, UK","Manchester site visit with Director General, Daljit Rehal",Rail ,Standard,110,Nil Return,462,Nil Return
Aydin Sheibani ,14/11/2022,1,"Manchester, UK",Chief Data Office All Staff Event,Rail ,Standard,139,Nil Return,371,Nil Return
Bal Moore,06/10/2022,1,"London, UK",Extended Enterprise Leadership Group Event ,Rail,Standard,Nil Return,Nil Return,8.95,Nil Return
Bal Moore,13/10/2022,2,"York, UK",Senior Leadership Team Meeting,Rail,Standard,13.1,Nil Return,229.1,Nil Return
Bal Moore,17/10/2022,2,"Leeds, UK",Deputy Director Interview panel,Rail,Standard,77,Nil Return,249.95,Nil Return
Bal Moore,20/10/2022,1,"London, UK",Working from 100 parliament St,Rail,Standard,Nil Return,Nil Return,6.2,Nil Return
Bal Moore,26/10/2022,1,"London, UK",Senior Leaders meeting,Rail,Standard,Nil Return,Nil Return,20,Nil Return
Bal Moore,27/10/2022,1,"Birmingham, UK",Workshop on Self Assessment Delivery,Rail,Standard,15.35,Nil Return,213.35,Nil Return
Bal Moore,02/11/2022,1,"Nottingham, UK",Senior Leadership Team Community Visit,Rail,Standard,Nil Return,Nil Return,245,Nil Return
Bal Moore,14/11/2022,2,"Leeds, UK",Senior Leadership Team Event,Rail,Standard,85,Nil Return,233,Nil Return
Bal Moore,22/11/2022,1,"London, UK",HMRC Senior Civil Service Leadership Conference,Rail,Standard,Nil Return,Nil Return,20,Nil Return
Bal Moore,24/11/2022,1,"Birmingham, UK",Peer Leadership Group ,Rail,Standard,Nil Return,Nil Return,287,Nil Return
Bal Moore,19/12/2022,1,"London, UK",Working from 100 parliament St,Rail,Standard,Nil Return,Nil Return,11.4,Nil Return
Brian Redford,04/10/2022,1,"London, UK",Customer Compliance Group Awards,"Air, Rail","Economy, Standard",Nil Return,Nil Return,289.18,Nil Return
Brian Redford,11/10/2022,1,"Edinburgh, UK ",Senior Sponsor Event,Rail,Standard,Nil Return,Nil Return,20,Nil Return
Brian Redford,20/10/2022,1,"Edinburgh, UK ",Senior Sponsor Event,Rail,Standard,Nil Return,Nil Return,20,Nil Return
Brian Redford,11/11/2022,1,"Edinburgh, UK ",Senior Sponsor Event,Rail,Standard,Nil Return,Nil Return,20,Nil Return
Brian Redford,22/11/2022,1,"London, UK",HMRC Senior Civil Service Leadership Conference,"Air, Rail","Economy, Standard",Nil Return,Nil Return,307.08,Nil Return
Brian Redford,28/11/2022,1,"Edinburgh, UK ",Senior Sponsor Event,Rail,Standard,Nil Return,Nil Return,20,Nil Return
Carol Bristow,11/10/2022,1,"Manchester, UK",Executive Committee Meeting and Engagement Event,Rail,Standard,87.75,Nil Return,226.3,Nil Return
Carol Bristow,26/10/2022,1,"Leeds, UK",Board Event,Rail,Standard,153,Nil Return,362.05,Nil Return
Carol Bristow,15/11/2022,1,"Birmingham, UK",Senior Leadership Team Event ,Rail,Standard,65,Nil Return,127.97,Nil Return
Carol Bristow,28/11/2022,1,"Oxford, UK",Major Projects Leadership - Residual Module ,Rail,Standard,Nil Return,Nil Return,60.05,Nil Return
Cath Rollo,03/10/2022,2,"London, UK",Shared Services Programme Roadmap follow up,"Air, Car",Economy,Nil Return,Nil Return,975.2,Nil Return
Cath Rollo,11/10/2022,1,"Glasgow, UK",Senior meetings,Car,,15.65,Nil Return,15.65,Nil Return
Cath Rollo,12/10/2022,1,"Glasgow, UK",Senior meetings,Car,,15.65,Nil Return,15.65,Nil Return
Cath Rollo,21/11/2022,1,"London, UK",Senior meetings,Air,Economy,244.49,Nil Return,244.49,Nil Return
Cath Rollo,29/11/2022,3,"Nottingham, UK",Senior Leadership Team meeting,Car,Private,Nil Return,Nil Return,275.79,Nil Return
Catherine Blair,20/10/2022,2,"Belfast, UK",Senior Leadership Meeting,"Air, Rail, Bus",Economy,164.53,Nil Return,344.49,Nil Return
Catherine Blair,26/10/2022,1,"London, UK",Training course,Rail,Standard,Nil Return,Nil Return,5.8,Nil Return
Catherine Blair,26/10/2022,1,"London, UK",Training course,Rail,Standard,Nil Return,Nil Return,5.8,Nil Return
Catherine Blair,22/11/2022,1,"London, UK",HMRC Senior Civil Service Leadership Conference,Rail,Standard,Nil Return,Nil Return,5.1,Nil Return
Catherine Blair,22/11/2022,1,"London, UK",HMRC Senior Civil Service Leadership Conference,Rail,Standard,Nil Return,Nil Return,5.1,Nil Return
Catherine Blair,23/11/2022,1,"London, UK",Government Finance Leadership Event,Rail,Standard,Nil return,Nil Return,4.15,Nil Return
Catherine Blair,23/11/2022,1,"London, UK",Government Finance Leadership Event,Rail,Standard,Nil return,Nil Return,4.15,Nil Return
Catherine Blair,28/11/2022,1,"London, UK",Training course,Rail,Standard,Nil return,Nil Return,11.6,Nil Return
Catherine Blair,28/11/2022,1,"London, UK",Training course,Rail,Standard,Nil return,Nil Return,11.6,Nil Return
Catherine Blair,08/12/2022,2,"Leeds, UK",Directorate Engagement Event,Rail,Standard,111,Nil Return,247,Nil Return
Catherine Blair,19/12/2022,2,"Birmingham, UK",Senior Leadership Meeting,Rail,Standard,132.5,Nil Return,182.5,Nil Return
Cerys McDonald,06/10/2022,1,"London, UK",Enterprise Leadership Group Meeting,Car,Private,Nil Return,Nil Return,157,Nil Return
Cerys McDonald,12/10/2022,3,"London, UK",Awards Event,Rail,Standard,390,Nil Return,655,Nil Return
Cerys McDonald,21/11/2022,2,"London, UK",HMRC Senior Civil Service Leadership Conference,Rail,Standard,141,Nil Return,406,Nil Return
Cerys McDonald,29/11/2022,1,"Manchester, UK",Heads of Profession Design Workshop,Rail,Standard,Nil Return,Nil Return,99,Nil Return
Cerys McDonald,08/12/2022,1,"London, UK",Senior Leadership Team Event,Rail,Standard,Nil Return,Nil Return,265,Nil Return
Chris Southworth ,30/11/2022,2,"Belfast, UK ",Beacon Event,"Air, Taxi  ",Economy ,84,Nil Return,289.74,Nil Return
Claire Dartington,14/11/2022,2,"Birmingham, UK",Senior Leadership Team Event,Rail,Standard,180.34,Nil Return,316.93,Nil Return
Claire McGuckin,12/10/2022,1,"London, UK",Coaching Session,Rail,Standard,Nil Return,Nil Return,43,Nil Return
Claire McGuckin,13/10/2022,1,"London, UK",Workshop,Rail,Standard,Nil Return,Nil Return,43,Nil Return
Claire McGuckin,20/10/2022,2,"Belfast, UK",Senior Leadership Meeting,"Air, Car","Economy, Private",114.75,Nil Return,334.96,Nil Return
Claire McGuckin,25/10/2022,1,"London, UK",Site Visit and Senior Leadership Meeting,Rail,Standard,Nil Return,Nil Return,30.4,Nil Return
Claire McGuckin,26/10/2022,2,"Leeds, UK",Site Visit and Senior Leadership meetings,"Rail, Car","Standard, private",85,Nil Return,363,Nil Return
Claire McGuckin,31/10/2022,1,"London, UK",Senior Leadership Meeting,Rail,Standard,Nil Return,Nil Return,30.4,Nil Return
Claire McGuckin,01/11/2022,1,"Birmingham, UK",Senior Leadership Event ,Rail,Standard,Nil Return,Nil Return,56,Nil Return
Claire McGuckin,03/11/2022,1,"London, UK",Site visit and Senior Leadership Meeting,Rail,Standard,Nil Return,Nil Return,43,Nil Return
Claire McGuckin,08/11/2022,1,"London, UK",Workshop ,Rail,Standard,Nil Return,Nil Return,43,Nil Return
Claire McGuckin,17/11/2022,1,"London, UK",Senior Leadership meeting,Rail,Standard,Nil Return,Nil Return,43,Nil Return
Claire McGuckin,21/11/2022,1,"London, UK",Senior Leadership Meeting,Rail,Standard,Nil Return,Nil Return,30.4,Nil Return
Claire McGuckin,22/11/2022,1,"London, UK",HMRC Senior Civil Service Leadership Conference,Rail,Standard,Nil Return,Nil Return,43,Nil Return
Claire McGuckin,24/11/2022,1,"London, UK",Senior Leadership Meeting,Rail,Standard,Nil Return,Nil Return,43,Nil Return
Claire McGuckin,29/11/2022,2,"Newcastle upon Tyne, UK",Senior Leadership meeting,Rail,Standard,89,Nil Return,354,Nil Return
Claire McGuckin,07/12/2022,1,"London, UK",Senior Leadership meeting,Rail,Standard,Nil Return,Nil Return,30.4,Nil Return
Claire McGuckin,08/12/2022,1,"London, UK",Senior Leadership meeting,Rail,Standard,Nil Return,Nil Return,43,Nil Return
