Minister,Date,Name of organisation or individual,Purpose of meeting,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-23,Meeting with Angle Trains,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-24,Meeting with CrossCountry trains,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-24,Meeting with Transpennine Express,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-27,Joint meeting Rail Delivery Group and Network Rail ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-27,Meeting with Disability charity Scope UK,stakeholder engagement session,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-08,"Meeting with the Cycle to Work Alliance,Halfords",to discuss cycle to work scheme and promoting cycling,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-08,Meeting with Greater Anglia train operating company,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-30,Meeting with Rail Delivey Group ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-30,Meeting with  East Midlands Trains,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-30,Meeting with Rail Industry Association,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-04-30,Meeting with Avanti West Coast,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-01,"Meeting with Rail Trade unions ,The Trades Union Congress (TUC),  The National Union of Rail, Maritime and Transport Workers (RMT), The Associated Society of Locomotive Engineers and Firemen (ASLEF), the union for people in transport and travel (TSSA), Unite
",regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-01,Meeting with Chiltern Railways ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-01,Meeting with Govia Thameslink Railway,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-04,Joint meeting Rail Delivery Group and Network Rail ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-06,Meeting with Rail Delivey Group ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-06,"Meeting with owning groups, Arriva, rail delivery group,First Group,Trenitalia, Abellio, Mass Transit Railway (MTR), Operator of last resort,  Keolis, Go ahead group, Keolis,Network Rail",regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-07,Meeting with Eurostar ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-07,Meeting with Citymapper; Microsoft Corporation; Amazon Web Services; Zipabout; Google Cloud; techUK; Trainline; INRIX; Moovit; ITO World Ltd; Satellite Applications Catapults; Connected Places Catapult; SkedGo; (NHSX); Apple Inc.; Digital Catapult,To discuss development of travel apps to support travel during Covid-19,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-07,Joint meeting Rail Delivery Group and Network Rail ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-07,Meeting with South Western Railway,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-12,Meeting with Porterbrook ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-12,Meeting with Rail Delivey Group ,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
Chris Heaton-Harris,2020-05-12,Meeting with Rail Freight Group,regular enegagement with rail industry specifically on the  covid 19 response ,,,,,,,,,,,,,,,,,,,,,,
