District,Ward,SaleYr,Type,Ward_VerifiedSales,Reporting_MinPrice,Reporting_LQPrice,Reporting_MedianPrice,Reporting_MeanPrice,Reporting_UQPrice,Reporting_MaxPrice
"NEWRY, MOURNE AND DOWN",BALLYNAHINCH,2011,URBAN,29,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYNAHINCH,2012,URBAN,43,44810,68000,88500,87961,100000,177500
"NEWRY, MOURNE AND DOWN",BALLYNAHINCH,2013,URBAN,46,52000,66500,82500,84614,97500,139500
"NEWRY, MOURNE AND DOWN",BALLYNAHINCH,2014,URBAN,48,45000,83000,107500,106991,125000,190000
"NEWRY, MOURNE AND DOWN",BALLYNAHINCH,2015,URBAN,58,47500,81500,109950,104424,122000,192000
"NEWRY, MOURNE AND DOWN",BALLYNAHINCH,2016,URBAN,62,49000,85000,112000,110109,124000,190000
"NEWRY, MOURNE AND DOWN",BALLYNAHINCH,2017,URBAN,64,59500,90000,120250,119844,130000,226950
"NEWRY, MOURNE AND DOWN",BALLYNAHINCH,2018,URBAN,77,52000,87000,119950,114073,129950,233000
"NEWRY, MOURNE AND DOWN",BALLYNAHINCH,2019,URBAN,74,50000,92500,123000,118233,137000,199950
"NEWRY, MOURNE AND DOWN",BALLYNAHINCH,2020,URBAN,59,53000,99950,126500,123537,146000,205000
"NEWRY, MOURNE AND DOWN",BALLYNAHINCH,2021,URBAN,73,62500,95000,131000,129801,152000,265000
"NEWRY, MOURNE AND DOWN",BALLYNAHINCH,2022,URBAN,64,57500,105000,145000,149922,179950,400000
"NEWRY, MOURNE AND DOWN",BALLYNAHINCH,2023,URBAN,66,74500,112250,152500,157854,180000,425000
"NEWRY, MOURNE AND DOWN",BALLYWARD,2005,URBAN,5,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYWARD,2006,URBAN,8,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYWARD,2007,URBAN,6,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYWARD,2008,URBAN,1,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYWARD,2009,URBAN,5,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYWARD,2010,URBAN,0,0,0,0,0,0,0
"NEWRY, MOURNE AND DOWN",BALLYWARD,2011,URBAN,1,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYWARD,2012,URBAN,3,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYWARD,2013,URBAN,4,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYWARD,2014,URBAN,7,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYWARD,2015,URBAN,4,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYWARD,2016,URBAN,2,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYWARD,2017,URBAN,5,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYWARD,2018,URBAN,7,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYWARD,2019,URBAN,8,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYWARD,2020,URBAN,7,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYWARD,2021,URBAN,10,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYWARD,2022,URBAN,5,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BALLYWARD,2023,URBAN,6,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BESSBROOK,2005,URBAN,55,46000,93500,110000,115538,132000,302000
"NEWRY, MOURNE AND DOWN",BESSBROOK,2006,URBAN,60,50000,120000,145500,144092,166000,230000
"NEWRY, MOURNE AND DOWN",BESSBROOK,2007,URBAN,58,64000,150000,175500,191361,229500,625000
"NEWRY, MOURNE AND DOWN",BESSBROOK,2008,URBAN,21,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BESSBROOK,2009,URBAN,34,70000,115000,150000,135262,153000,197604
"NEWRY, MOURNE AND DOWN",BESSBROOK,2010,URBAN,22,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BESSBROOK,2011,URBAN,28,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BESSBROOK,2012,URBAN,38,40000,53000,67500,75000,90000,130000
"NEWRY, MOURNE AND DOWN",BESSBROOK,2013,URBAN,36,40000,61000,85750,87960,114500,145000
"NEWRY, MOURNE AND DOWN",BESSBROOK,2014,URBAN,38,31000,60500,78500,85703,124950,137000
"NEWRY, MOURNE AND DOWN",BESSBROOK,2015,URBAN,44,40000,68000,92500,93309,115000,165000
"NEWRY, MOURNE AND DOWN",BESSBROOK,2016,URBAN,48,46000,75000,118500,110043,140000,220000
"NEWRY, MOURNE AND DOWN",BESSBROOK,2017,URBAN,66,42500,127500,142500,139827,155382,295000
"NEWRY, MOURNE AND DOWN",BESSBROOK,2018,URBAN,101,60000,125000,145950,142324,157550,233283
"NEWRY, MOURNE AND DOWN",BESSBROOK,2019,URBAN,91,63000,121000,162500,151256,173000,233075
"NEWRY, MOURNE AND DOWN",BESSBROOK,2020,URBAN,65,62000,137000,168750,155428,178500,227750
"NEWRY, MOURNE AND DOWN",BESSBROOK,2021,URBAN,64,72000,133000,179500,170513,194950,265000
"NEWRY, MOURNE AND DOWN",BESSBROOK,2022,URBAN,26,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BESSBROOK,2023,URBAN,21,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BINNIAN,2005,URBAN,36,70500,95000,121842,119212,140000,178975
"NEWRY, MOURNE AND DOWN",BINNIAN,2006,URBAN,32,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BINNIAN,2007,URBAN,28,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BINNIAN,2008,URBAN,10,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BINNIAN,2009,URBAN,15,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BINNIAN,2010,URBAN,17,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BINNIAN,2011,URBAN,13,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BINNIAN,2012,URBAN,13,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BINNIAN,2013,URBAN,23,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BINNIAN,2014,URBAN,32,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BINNIAN,2015,URBAN,19,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BINNIAN,2016,URBAN,30,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BINNIAN,2017,URBAN,23,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BINNIAN,2018,URBAN,26,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BINNIAN,2019,URBAN,27,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BINNIAN,2020,URBAN,32,90000,105000,133250,140743,165000,267440
"NEWRY, MOURNE AND DOWN",BINNIAN,2021,URBAN,29,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BINNIAN,2022,URBAN,25,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BINNIAN,2023,URBAN,22,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BURREN,2005,URBAN,14,.,.,.,.,.,.
"NEWRY, MOURNE AND DOWN",BURREN,2006,URBAN,29,.,.,.,.,.,.
