ArrivalAtBip,CountryOfOriginName,CountryFromWhereConsigned,BCPName,CommodityCode,CommodityGroups,CommodityDescription,SpeciesNomination,GrossWeightKg,NetWeightKg,NumberOfPackages,Temperature,ForInternalMarket,DocumentaryCheck,IdentityCheckType,IdentityCheckResult,PhysicalCheck,PhysicalCheckDone,PhysicalCheckNotDone,LabTestDate,LabTestName,LabTestResult
2021-01-22,United States,Canada,Southampton,16041100,Fish & fish products,Salmon,Oncorhynchus nerka,17722,14104,2772,ambient,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-22,United States,United States,Heathrow,5119985,Embryos,Other,NO SPECIES NOMINATION PROVIDED,15,0.1,1,frozen,Other,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-22,South Africa,South Africa,London Gateway,402,Milk,"Milk and cream, concentrated or containing added sugar or other sweetening matter",Bos taurus,90,45,5,ambient,HumanConsumption,notsatisfactory,fullidentitycheck,notsatisfactory,notdone,N/A,other,N/A,N/A,N/A
2021-01-22,Thailand,Thailand,Felixstowe,160232,Poultry,Of fowls of the species Gallus domesticus,Aves,21492.48,19302.4,1856,frozen,HumanConsumption,satisfactory,sealcheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-22,Thailand,Thailand,Felixstowe,160232,Poultry,Of fowls of the species Gallus domesticus,Aves,21492.48,19302.4,1856,frozen,HumanConsumption,satisfactory,sealcheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-22,Thailand,Thailand,Felixstowe,160232,Poultry,Of fowls of the species Gallus domesticus,Aves,21492.48,19302.4,1856,frozen,HumanConsumption,satisfactory,sealcheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-22,Thailand,Thailand,Felixstowe,160232,Poultry,Of fowls of the species Gallus domesticus,Aves,21622.4,19302.4,1856,frozen,HumanConsumption,satisfactory,sealcheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-22,Brazil,Brazil,London Gateway,20714,Poultry,"Cuts and offal, frozen",Gallus gallus,24076.8,22800,38,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,satisfactory,N/A,N/A,N/A,N/A,N/A
2021-01-23,China,China,London Gateway,3038990,Fish & fish products,Other,Trachinotus ovatus,23700,22000,2200,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,satisfactory,N/A,N/A,N/A,N/A,N/A
2021-01-23,United States,United States,Liverpool,3031200,Fish & fish products,"Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)",Oncorhynchus gorbuscha,11105.88,10685.88,21,frozen,HumanConsumption,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
