Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Legal,1202,Counsels Fees,07/10/2021,236183,550,Revenue,12 Cp Barristers,13792
Rushmoor Borough Council,Strategy and Communiations,1413,Subscriptions,14/10/2021,236190,20000,Revenue,Hampshire County Council,1206
Rushmoor Borough Council,Community,2551,Memorial Expenses,07/10/2021,236192,282.08,Revenue,Town And Country Memorials Ltd,1052
Rushmoor Borough Council,Environmental Health and Housing,2402,Temporary Staff,14/10/2021,236196,1110,Revenue,G2 Recruitment Solutions,16259
Rushmoor Borough Council,Legal,1213,Responsive Repairs and Maintenance,07/10/2021,236200,8730,Revenue,Hampshire Property (Services) Ltd,13759
Rushmoor Borough Council,Planning,6613,Contract Costs,07/10/2021,236201,21625,Capital,Environtec Limited,15633
Rushmoor Borough Council,Planning,6620,Contract Costs,14/10/2021,236202,4242,Capital,Straight Manufacturing Ltd,10472
Rushmoor Borough Council,Community,2552,Grounds Maintenance Variations,14/10/2021,236205,720,Revenue,D Rickwood,1218
Rushmoor Borough Council,Community,2517,Tree Maintenance,14/10/2021,236205,680,Revenue,D Rickwood,1218
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,14/10/2021,236205,440,Revenue,D Rickwood,1218
Rushmoor Borough Council,Community,2517,Tree Maintenance,14/10/2021,236205,540,Revenue,D Rickwood,1218
Rushmoor Borough Council,Community,2517,Tree Survey Works,14/10/2021,236206,1320,Revenue,Sapling Arboriculture Limited,9448
Rushmoor Borough Council,Legal,1202,Temporary Staff,14/10/2021,236207,1155.55,Revenue,Sellick Partnership Ltd,15486
Rushmoor Borough Council,Community,2558,Payment to Contractor,14/10/2021,236208,37500,Revenue,Places For People - Management Fee Only,13178
Rushmoor Borough Council,Community,2518,Databox Maintenance,07/10/2021,236211,1147.5,Revenue,Yesplan Ltd,15744
Rushmoor Borough Council,Environmental Health and Housing,2402,Hyde Housing Association Communal Housing,21/10/2021,236214,4469.3,Revenue,Mears Housing Management,15925
Rushmoor Borough Council,Information Technology,3305,Temporary Staff,07/10/2021,236216,1872,Revenue,Ellack Cleaning Contractors Limited,14117
Rushmoor Borough Council,Information Technology,3305,Temporary Staff,07/10/2021,236217,984,Revenue,Ellack Cleaning Contractors Limited,14117
Rushmoor Borough Council,Community,2551,Memorial Expenses,07/10/2021,236218,1563,Revenue,Vivedia Ltd,13434
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,14/10/2021,236229,1188,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,07/10/2021,236230,924,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,21/10/2021,236231,528,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,07/10/2021,236232,1518,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,14/10/2021,236235,264,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,14/10/2021,236236,594,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,14/10/2021,236237,5610,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,07/10/2021,236238,924,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,21/10/2021,236239,5808,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Community,2518,Payment to Artistes,07/10/2021,236240,3679.31,Revenue,Sweeney Entertainments,11119
Rushmoor Borough Council,Legal,1248,General Repairs and Maintenance,14/10/2021,236241,345,Revenue,Aci Reports Ltd,15748
Rushmoor Borough Council,Community,2518,Payment to Artistes,07/10/2021,236242,3198.19,Revenue,Sweeney Entertainments,11119
Rushmoor Borough Council,Environmental Health and Housing,2246,Consultancy,14/10/2021,236244,1203,Revenue,Browne Jacobson Llp,15516
Rushmoor Borough Council,Community,2518,Payment to Artistes,07/10/2021,236245,4126.95,Revenue,Cube Room Productions Ltd,16550
Rushmoor Borough Council,Community,2518,Payment to Artistes,07/10/2021,236246,7357.55,Revenue,Mark Thompson Productions Ltd,16551
Rushmoor Borough Council,Community,2551,Book of Remembrance,14/10/2021,236249,764.44,Revenue,Hilton Cabinet Co Ltd,24
Rushmoor Borough Council,Community,2551,Book of Remembrance,14/10/2021,236250,736.57,Revenue,Hilton Cabinet Co Ltd,24
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,14/10/2021,236251,1518,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,14/10/2021,236252,2310,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,14/10/2021,236253,330,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Legal,1242,Service Charges,14/10/2021,236254,300.02,Revenue,Mobius Sps,15944
Rushmoor Borough Council,Community,2551,General Repairs and Maintenance,14/10/2021,236260,445,Revenue,J K  Build Ltd,1239
Rushmoor Borough Council,Information Technology,3300,External Support For Systems,14/10/2021,236265,23893.68,Revenue,Welldata Ltd,14546
Rushmoor Borough Council,Information Technology,3303,Temporary Staff,14/10/2021,236266,1166,Revenue,Austin Fraser Ltd,9925
Rushmoor Borough Council,Director of Community and Environment Services,2110,System Support Development,14/10/2021,236268,3510,Revenue,Codebase Software Ltd,14699
Rushmoor Borough Council,Strategy and Communiations,1415,Commission,14/10/2021,236270,540.58,Revenue,Avc Wise Ltd,15680
Rushmoor Borough Council,Community,2517,Tree Maintenance,14/10/2021,236271,401.75,Revenue,The Surrey & Hants Tree Company Ltd,16041
Rushmoor Borough Council,Community,2517,Tree Maintenance,14/10/2021,236272,272.35,Revenue,The Surrey & Hants Tree Company Ltd,16041
Rushmoor Borough Council,Democratic Services,1327,Postages,14/10/2021,236282,1969.87,Revenue,Royal Mail,821
Rushmoor Borough Council,Community,2517,Resurfacing - Manor Park,14/10/2021,236285,1799.4,Revenue,P A Gibbs Ltd,1246
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,14/10/2021,236286,890,Revenue,P A Gibbs Ltd,1246
Rushmoor Borough Council,Legal,1213,Lease Renewal Fees,14/10/2021,236287,2420,Revenue,Avison Young,3742
Rushmoor Borough Council,Legal,1210,Contract Staff,14/10/2021,236289,672,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1213,Contract Staff,14/10/2021,236289,672,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Planning,6612,Contract Costs,14/10/2021,236290,9079.3,Capital,P A Gibbs Ltd,1246
Rushmoor Borough Council,Chief Executive,1100,Temporary Staff,14/10/2021,236291,1680,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Chief Executive,1100,Temporary Staff,14/10/2021,236292,1680,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1242,Temporary Staff,14/10/2021,236293,423.75,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1213,Temporary Staff,14/10/2021,236293,423.75,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1210,Contract Staff,14/10/2021,236294,559,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Planning,6608,Contract Costs,14/10/2021,236295,2248,Capital,P A Gibbs Ltd,1246
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,14/10/2021,236296,270,Revenue,Brand Pest Control,3284
Rushmoor Borough Council,Environmental Health and Housing,2246,Equipment Maintenance,21/10/2021,236297,586,Revenue,P A Gibbs Ltd,1246
Rushmoor Borough Council,Community,2518,Publicity and Advertising,14/10/2021,236298,390,Revenue,Sign-Fx,4242
Rushmoor Borough Council,Planning,2624,Southwood Golf Course SANG Setup,21/10/2021,236309,53770,Revenue,Greenford Ltd,16392
Rushmoor Borough Council,Information Technology,3306,Paper,14/10/2021,236310,334.4,Revenue,Antalis Ltd,37
Rushmoor Borough Council,Environmental Health and Housing,2402,Temporary Staff,14/10/2021,236313,1110,Revenue,G2 Recruitment Solutions,16259
Rushmoor Borough Council,Information Technology,3305,Water,21/10/2021,236327,1821.61,Revenue,Castle Water Limited,14681
Rushmoor Borough Council,Information Technology,3305,Trade Refuse,14/10/2021,236329,389.55,Revenue,Chambers Waste Management Plc,217
Rushmoor Borough Council,Legal,1206,Temporary Staff,14/10/2021,236332,400,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1213,Temporary Staff,14/10/2021,236332,320,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Strategy and Communiations,1413,Subscriptions,14/10/2021,236335,1395,Revenue,Dudley Metropolitan Borough Council,15910
Rushmoor Borough Council,Democratic Services,1327,Postages,14/10/2021,236336,3789.35,Revenue,Quadient Uk Ltd,1283
Rushmoor Borough Council,Community,2515,Cleaning,21/10/2021,236337,381.48,Revenue,Ybc Cleaning Services Ltd,8389
Rushmoor Borough Council,Community,2549,Maintenance Team Non-Core Client Expenditure,14/10/2021,236342,520.61,Revenue,Brandon Hire Station,13685
Rushmoor Borough Council,Community,2517,Tree Maintenance,21/10/2021,236350,1200,Revenue,Premier Tree Care And Preservation Ltd,16370
Rushmoor Borough Council,Environmental Health and Housing,2219,Control Outbreak Management Fund,21/10/2021,236357,991.91,Revenue,Crowd Control Solutions,16549
Rushmoor Borough Council,Information Technology,3305,Cleaning Materials,14/10/2021,236359,480.28,Revenue,Source Office Supplies Ltd,14253
Rushmoor Borough Council,Environmental Health and Housing,2246,CCTV Transmission,14/10/2021,236362,1498.39,Revenue,Bt Redcare,7366
Rushmoor Borough Council,Community,2508,Supporting Communities Project,21/10/2021,236363,4802,Revenue,Vine Day Centre,12343
Rushmoor Borough Council,Community,2517,Renovations Aldershot Cricket Club,21/10/2021,236364,4160,Revenue,Velocity Sports Ltd,13216
Rushmoor Borough Council,Legal,1202,Temporary Staff,21/10/2021,236365,1155,Revenue,Sellick Partnership Ltd,15486
Rushmoor Borough Council,Community,2565,Trade Refuse,21/10/2021,236377,430.65,Revenue,Chambers Waste Management Plc,217
Rushmoor Borough Council,Community,2565,Trade Refuse,21/10/2021,236378,407.6,Revenue,Chambers Waste Management Plc,217
Rushmoor Borough Council,Customer Services,3805,Stationery,21/10/2021,236381,753,Revenue,Denmore Press,14153
Rushmoor Borough Council,Holding Accounts,9421,Covid19 Costs,14/10/2021,236382,3168.4,Holding Accounts,Q-Matic Ab Ltd T/A Qmatic,15772
Rushmoor Borough Council,Legal,1208,General Repairs and Maintenance,21/10/2021,236383,1109.81,Revenue,Rme Services Ltd,14566
Rushmoor Borough Council,Strategy and Communiations,1413,Grants to Enterprise First,21/10/2021,236387,291.67,Revenue,Enterprise First,155
Rushmoor Borough Council,Strategy and Communiations,1420,Training Expenses,21/10/2021,236390,576.6,Revenue,Total Teamwear,1049
Rushmoor Borough Council,Community,2538,DVLA Agreement,21/10/2021,236392,270,Revenue,Imperial Civil Enforcement Solutions,13348
Rushmoor Borough Council,Chief Executive,1100,Temporary Staff,21/10/2021,236397,1680,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1210,Contract Staff,21/10/2021,236398,503.1,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Community,2554,Payment to Contractor,21/10/2021,236400,51289.95,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2554,Garden Waste Collection,21/10/2021,236400,20237.34,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2553,Anciliary Costs,21/10/2021,236400,561.73,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2553,Payment to Contractor,21/10/2021,236400,94829.97,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2554,Anciliary Costs,21/10/2021,236400,390.5,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2556,Car Parks,21/10/2021,236401,8445.56,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2556,Highways,21/10/2021,236401,75341.68,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2556,Anciliary Costs,21/10/2021,236401,516.08,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2556,Contract Variations Highways,21/10/2021,236401,1442.74,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2556,Parks,21/10/2021,236401,2815.17,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2555,Payment to Contractor,21/10/2021,236402,8783.22,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2554,Wheeled Bin Delivery/Assembly,21/10/2021,236403,2435.83,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2553,Wheeled Bin Delivery/Assembly,21/10/2021,236403,763.38,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2553,Payment to Contractor,21/10/2021,236403,373.94,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2553,Bulky Waste Collection,21/10/2021,236403,4050.97,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2554,Payment to Contractor,21/10/2021,236403,730.07,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2554,Sacks/Composters,21/10/2021,236403,256.89,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2553,Clinical Waste,21/10/2021,236403,564.57,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2550,Grave Digging and Maintenance,21/10/2021,236404,2137.29,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Community,2551,Gas,21/10/2021,236409,2824.01,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Information Technology,3305,Gas,21/10/2021,236417,680.05,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Legal,1213,Temporary Staff,21/10/2021,236423,508.5,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Legal,1242,Temporary Staff,21/10/2021,236423,508.5,Revenue,Park Avenue Recruitment,15709
Rushmoor Borough Council,Community,2517,Tree Maintenance,21/10/2021,236425,783,Revenue,Transform Landscapes,16032
Rushmoor Borough Council,Legal,1213,Responsive Repairs and Maintenance,21/10/2021,236429,9375,Revenue,Hampshire Property (Services) Ltd,13759
Rushmoor Borough Council,Environmental Health and Housing,2402,Temporary Staff,21/10/2021,236432,465,Revenue,G2 Recruitment Solutions,16259
Rushmoor Borough Council,Environmental Health and Housing,2204,Kennel/Feed Stray Dogs,21/10/2021,236433,1007.5,Revenue,Bowenhurst Kennels,167
Rushmoor Borough Council,Financial Services,3404,External Audit Fee,21/10/2021,236434,38375,Revenue,Ernst And Young Llp,1838
Rushmoor Borough Council,Planning,6621,Contract Costs,21/10/2021,236435,2268.8,Capital,Arcus Consulting Limited,16491
Rushmoor Borough Council,Community,6518,Contract Costs,21/10/2021,236440,8160,Capital,Craemer Uk Ltd,11508
Rushmoor Borough Council,Legal,1202,Counsels Fees,21/10/2021,236451,500,Revenue,Cornerstone Barristers,16371
Rushmoor Borough Council,Legal,1213,Responsive Repairs and Maintenance,21/10/2021,236452,1425,Revenue,Sg Structures Ltd,9429
Rushmoor Borough Council,Information Technology,3305,General Repairs and Maintenance,21/10/2021,236456,790,Revenue,Jackson Fire And Security Uk Ltd,15502
Rushmoor Borough Council,Information Technology,3305,General Repairs and Maintenance,21/10/2021,236457,391,Revenue,Jackson Fire And Security Uk Ltd,15502
Rushmoor Borough Council,Chief Executive,1100,Consult Games Digital Hub,21/10/2021,236458,296,Revenue,Jackson Fire And Security Uk Ltd,15502
Rushmoor Borough Council,Legal,1208,Devereux House,21/10/2021,236460,473.22,Revenue,E.On Next,14884
Rushmoor Borough Council,Information Technology,3302,Application Software,21/10/2021,236467,4298.4,Revenue,Gandlake Technology Limited,8721
Rushmoor Borough Council,Community,2506,General Repairs and Maintenance,21/10/2021,236474,3885,Revenue,Hampshire Property (Services) Ltd,13759
Rushmoor Borough Council,Community,2537,Littering and Dog Fouling FPN,21/10/2021,236478,7332.6,Revenue,East Hampshire District Council,323
Rushmoor Borough Council,Community,2518,Trade Refuse,21/10/2021,236482,253.2,Revenue,Serco Ltd,13135
Rushmoor Borough Council,Holding Accounts,9421,Covid19 Costs,21/10/2021,236489,5105.54,Holding Accounts,Carritech Limited,11400
Rushmoor Borough Council,Legal,1202,Training Expenses,21/10/2021,236491,300,Revenue,Chartered Institute Of Legal Executives,15299
Rushmoor Borough Council,Customer Services,3808,Admin Equipment,21/10/2021,236492,364.14,Revenue,Daisy Corporate Services Trading Ltd,9349
Rushmoor Borough Council,Community,2549,Operational Equipment,21/10/2021,236493,3647,Revenue,Public Sector Software Ltd,5171
Rushmoor Borough Council,Community,2555,General Repairs and Maintenance,21/10/2021,236494,350,Revenue,J K  Build Ltd,1239
Rushmoor Borough Council,Legal,1212,General Repairs and Maintenance,21/10/2021,236495,750,Revenue,Cooper And Withycombe,13479
Rushmoor Borough Council,Legal,1209,Legionela Maintenance,21/10/2021,236497,395,Revenue,Rock Compliance Limited,16356
Rushmoor Borough Council,Legal,1209,Legionela Maintenance,21/10/2021,236498,395,Revenue,Rock Compliance Limited,16356
Rushmoor Borough Council,Legal,1200,Hampshire County Council Searches,21/10/2021,236501,2911,Revenue,Hampshire County Council,1206
Rushmoor Borough Council,Legal,1200,Hampshire County Council Searches,21/10/2021,236502,2501,Revenue,Hampshire County Council,1206
Rushmoor Borough Council,Community,2517,Licences,21/10/2021,236506,7201,Revenue,Public Sector Software Ltd,5171
Rushmoor Borough Council,Legal,1202,Temporary Staff,21/10/2021,236509,1155,Revenue,Sellick Partnership Ltd,15486
Rushmoor Borough Council,Community,2518,Payment to Artistes,21/10/2021,236511,3409.07,Revenue,One Night In Dublin Ltd,16578
Rushmoor Borough Council,Community,2518,Payment to Artistes,21/10/2021,236520,3150,Revenue,Prestige Productions Ltd,14490
Rushmoor Borough Council,Environmental Health and Housing,2219,Control Outbreak Management Fund,07/10/2021,80015135,1000,Revenue,Ukt Culture Club,16542
Rushmoor Borough Council,Community,2513,Direct Grants,07/10/2021,80015149,1500,Revenue,Farnborough College Of Technology,358
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,07/10/2021,80015150,6150,Capital,A And E Builders,15180
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,07/10/2021,80015151,1421.82,Capital,Bjc Design,14608
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,07/10/2021,80015152,8545.2,Capital,Wilds Construction Ltd,14643
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,07/10/2021,80015153,1187.33,Capital,Bjc Design,14608
Rushmoor Borough Council,Environmental Health and Housing,6400,Disabled Facilities Grant,07/10/2021,80015154,2448.55,Capital,Southern Counties Building Solutions Lt,13340
Rushmoor Borough Council,Customer Services,3811,Test and Trace Support Standard Payments,04/10/2021,80015155,500,Revenue,Redacted personal data,16546
Rushmoor Borough Council,Control Accounts,9343,Rowhill Samm Contribution,07/10/2021,80015159,63765.16,Control Accounts,Hampshire County Council,1206
