Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip ,Mode of transport,Class of travel,Accommodation / Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car,,,,,,,,,,,,,,,
Andrew Helliwell,08/01/2019,1,"Bristol, UK",Strategic Management Meeting (CSHR),Rail,Standard,Nil Return,Nil Return,£146.90,Nil Return,,,,,,,,,,,,,,,
Andrew Helliwell,25/02/2019,1,"Manchester, UK",Shared Service Conference,Rail,Standard,Nil Return,Nil Return,£138.30,Nil Return,,,,,,,,,,,,,,,
Andrew Helliwell,07/03/2019,1,"Reading, UK",Strategic Management Meeting (CSHR),Rail,Standard,Nil Return,Nil Return,£51.70,Nil Return,,,,,,,,,,,,,,,
Peter Hill,15/01/2019,1,"London, UK",Operational Activity,Taxi,Nil Return,Nil Return,Nil Return,£18.89,Nil Return,,,,,,,,,,,,,,,
Peter Hill,17/01/2019,1,"London, UK",Operational Activity,Taxi,Nil Return,Nil Return,Nil Return,£31.07,Nil Return,,,,,,,,,,,,,,,
Peter Hill,22/01/2019,1,"London, UK",Operational Activity,Taxi,Nil Return,Nil Return,Nil Return,£24.65,Nil Return,,,,,,,,,,,,,,,
Peter Hill,29/01/2019,1,"London, UK",Operational Activity,Taxi,Nil Return,Nil Return,Nil Return,£29.19,Nil Return,,,,,,,,,,,,,,,
Peter Hill,03/02/2019,1,"Lyon, France",External Meeting,Car / Flight,Economy,Nil Return,Nil Return,£336.24,£151.87,,,,,,,,,,,,,,,
Peter Hill,05/02/2019,1,"London, UK",Event,Rail,Standard,Nil Return,Nil Return,£13.00,Nil Return,,,,,,,,,,,,,,,
Andy Hobart,22/01/2019,2,"Corsham, UK",Development Programme Event,Rail,Standard,Nil Return,PIEA,£89.30,Nil Return,,,,,,,,,,,,,,,
Melinda Johnson,02/01/2019,2,"London, UK",DHSC Commercial and GCO Meetings ,Rail / Taxi,Standard,Y,Nil Return,£353.10,Nil Return,,,,,,,,,,,,,,,
Melinda Johnson,07/01/2019,3,"London, UK",DHSC Commercial and GCO Meetings ,Rail,Standard,Y,Nil Return,£68.58,Nil Return,,,,,,,,,,,,,,,
Melinda Johnson,15/01/2019,2,"London, UK",DHSC Commercial and GCO Meetings ,Rail / Taxi,Standard,Y,Nil Return,£313.39,Nil Return,,,,,,,,,,,,,,,
Melinda Johnson,22/01/2019,2,"Peterborough, UK",DHSC Commercial & SCCL Meetings ,Rail / Taxi,Standard,Nil Return,Nil Return,£342.60,Nil Return,,,,,,,,,,,,,,,
Melinda Johnson,29/01/2019,2,"Liverpool, UK",DHSC Commercial and ALB Meetings ,Rail / Taxi,Standard,Y,Nil Return,£379.50,Nil Return,,,,,,,,,,,,,,,
Melinda Johnson,31/01/2019,1,"Dorking, UK",Leadership Workshop HPDS Cohort 12,Rail / Taxi,Standard,Nil Return,Nil Return,£59.50,Nil Return,,,,,,,,,,,,,,,
Melinda Johnson,05/02/2019,1,"Slough, UK",DHSC Commercial and GCO Meetings ,Rail,Standard,Nil Return,Nil Return,£30.90,Nil Return,,,,,,,,,,,,,,,
Melinda Johnson,07/02/2019,2,"London, UK",DHSC Commercial and GCO Meetings ,Rail,Standard,Nil Return,Nil Return,£393.10,Nil Return,,,,,,,,,,,,,,,
Melinda Johnson,26/02/2019,1,"Leeds, UK",GCF Leadership Conference  ,Nil Return,Nil Return,Y,Nil Return,£90.50,Nil Return,,,,,,,,,,,,,,,
Melinda Johnson,05/03/2019,1,"London, UK","DHSC Commercial, GCO and SCCL Meetings",Nil Return,Nil Return,Y,Nil Return,£152.00,Nil Return,,,,,,,,,,,,,,,
Melinda Johnson,11/03/2019,2,"Grantham, UK",DHSC Commercial and SCCL Meetings ,Rail,Standard,Nil Return,Nil Return,£292.40,Nil Return,,,,,,,,,,,,,,,
Melinda Johnson,14/03/2019,1,"Peterborough, UK",DHSC Commercial and GCO Meetings ,Rail,Standard,Nil Return,Nil Return,£206.50,Nil Return,,,,,,,,,,,,,,,
Melinda Johnson,20/03/2019,2,"Newcastle, UK","DHSC Commercial, GFC ADC and ALB Meetings",Rail,Standard,Y,Nil Return,£406.90,Nil Return,,,,,,,,,,,,,,,
Melinda Johnson,26/03/2019,2,"London, UK",DHSC Commercial and GCO Meetings ,Rail,Standard,Nil Return,Nil Return,£293.00,Nil Return,,,,,,,,,,,,,,,
Elizabeth Ketch,09/03/2019,2,"Oxford, UK",Training,Rail,Standard,Nil Return,Nil Return,£64.80,Nil Return,,,,,,,,,,,,,,,
Joanna Key,07/02/2019,2,"Dorking, UK",College of Policing HPDS,Rail / Taxi,Standard,Y,Nil Return,£20.00,Nil Return,,,,,,,,,,,,,,,
Guy Lester,22/01/2019,1,"Liverpool, UK",Conference,Rail,Standard,Nil Return,Nil Return,£192.30,Nil Return,,,,,,,,,,,,,,,
John Manzoni,30/01/2019,2,"Belfast, N Ireland",ExCO Meeting,Flight,Economy,Nil Return,Nil Return,£156.21,Nil Return,,,,,,,,,,,,,,,
John Manzoni,27/02/2019,1,"Leeds, UK","Commercial Conference, DWP, Job Centre, ODI",Rail,Standard,Nil Return,Nil Return,£118.90,Nil Return,,,,,,,,,,,,,,,
John Manzoni,18/03/2019,2,"Cardiff, UK",Companies House,Rail,Standard,Y,Nil Return,£142.50,Nil Return,,,,,,,,,,,,,,,
Lyn McDonald,26/02/2019,10,"Auckland, New Zealand",SFO and Economic Crime Conference,Flight,Business,Nil Return,Nil Return,£556.05,Nil Return,,,,,,,,,,,,,,,
Amanda McFeeters,03/01/2019,1,"London, UK",Professional Fees,Nil Return,Nil Return,Nil Return,Nil Return,£246.00,Nil Return,,,,,,,,,,,,,,,
Rupert McNeil,08/01/2019,1,"Bristol, UK",Leadership meeting,Train,Standard,N,Nil Return,£103.00,Nil return,,,,,,,,,,,,,,,
Rupert McNeil,30/01/2019,2,"Belfast, N Ireland",Executive Committe meeting,Flight,Economy,Y,Nil Return,£99.98,Nil return,,,,,,,,,,,,,,,
Rupert McNeil,06/03/2019,2,"Reading, UK",HR Executive meeting,Train,Standard,Y,Nil Return,£249.10,Nil return,,,,,,,,,,,,,,,
Rupert McNeil,11/03/2019,2,"Newcastle, UK",CSHR Management Team meeting,Rail,Standard,Y,Nil Return,£353.00,Nil Return,,,,,,,,,,,,,,,
John Michalski,14/03/2019,1,"London, UK",Event,Rail,Standard,Nil Return,Nil Return,£82.50,Nil Return,,,,,,,,,,,,,,,
Kristina Murrin,08/01/2019,1,"London, UK",Operational Activity,Nil Return,Nil Return,Y,Nil Return,£15.60,Nil Return,,,,,,,,,,,,,,,
Kristina Murrin,15/01/2019,2,"London, UK",Operational Activity,Taxi,Nil Return,Y,Nil Return,£129.27,Nil Return,,,,,,,,,,,,,,,
Kristina Murrin,04/02/2019,1,"London, UK",Operational Activity,Taxi,Nil Return,Nil Return,Nil Return,£18.00,Nil Return,,,,,,,,,,,,,,,
Kristina Murrin,27/02/2019,4,"San Francisco, USA",Event,Taxi,Nil Return,Y,Nil Return,£413.68,Nil Return,,,,,,,,,,,,,,,
Kristina Murrin,09/03/2019,1,"London, UK",Operational Activity,Taxi,Nil Return,Nil Return,Nil Return,£75.00,Nil Return,,,,,,,,,,,,,,,
Jonathan Nancekivell-Smith,07/02/2019,2,"Dorking, UK",Operational Activity,Rail,Standard,Nil Return,Nil Return,£49.50,Nil Return,,,,,,,,,,,,,,,
Lesley Ann Nash,14/01/2019,1,"Redhill, UK",Training,Rail,Standard,Nil Return,Nil Return,£25.30,Nil Return,,,,,,,,,,,,,,,
Patrick Nolan,08/01/2019,2,"Shrewsbury, UK",Operational Activity,Taxi,Nil Return,Y,Nil Return,£28.32,Nil Return,,,,,,,,,,,,,,,
Patrick Nolan,15/01/2019,1,"Shrewsbury, UK",Operational Activity,Taxi,Nil Return,Nil Return,Nil Return,£6.10,Nil Return,,,,,,,,,,,,,,,
Patrick Nolan,17/01/2019,1,"Manchester, UK",Operational Activity,Taxi,Nil Return,Y,Nil Return,£13.80,Nil Return,,,,,,,,,,,,,,,
Patrick Nolan,24/01/2019,1,"Telford, UK",Operational Activity,Car,Nil Return,Nil Return,Nil Return,£21.62,Nil Return,,,,,,,,,,,,,,,
Patrick Nolan,05/02/2019,2,"Shrewsbury, UK",Operational Activity,Taxi,Nil Return,Y,Nil Return,£15.40,Nil Return,,,,,,,,,,,,,,,
Patrick Nolan,13/02/2019,2,"London, UK",Operational Activity,Taxi,Nil Return,Y,Nil Return,£45.00,Nil Return,,,,,,,,,,,,,,,
Patrick Nolan,19/02/2019,1,"London, UK",Operational Activity,Taxi,Nil Return,Y,Nil Return,£26.80,Nil Return,,,,,,,,,,,,,,,
Patrick Nolan,21/02/2019,1,"London, UK",Operational Activity,Nil Return,Nil Return,Y,Nil Return,£16.25,Nil Return,,,,,,,,,,,,,,,
Patrick Nolan,25/02/2019,2,"Leeds, UK",Operational Activity,Taxi,Nil Return,Y,Nil Return,£99.30,Nil Return,,,,,,,,,,,,,,,
Tristan Pedelty,11/03/2019,1,"Windsor, UK",Public Appointments Event,Rail,Standard,Nil Return,Nil Return,£15.10,Nil Return,,,,,,,,,,,,,,,
Tristan Pedelty,17/03/2019,3,"Paris, France",OECD Conference,Flight / Eurostar / Metro,Economy,Y,Nil Return,£554.78,Nil Return,,,,,,,,,,,,,,,
William Priest,07/01/2019,2,"London, UK",Internal Meeting,Nil Return,Nil Return,Y,Nil Return,£405.75,Nil Return,,,,,,,,,,,,,,,
William Priest,14/01/2019,4,"London, UK",Internal Meeting,Rail,Standard,Y,Nil Return,£769.80,Nil Return,,,,,,,,,,,,,,,
William Priest,21/01/2019,3,"London, UK",Data Space Conference,Rail/Taxi,Standard,Y,Nil Return,"£181,46",Nil Return,,,,,,,,,,,,,,,
William Priest,28/01/2019,5,"Washington, USA",ESRI Conference,Flight / Rail / Taxi,Economy,Y,Nil Return,£972.91,Nil Return,,,,,,,,,,,,,,,
William Priest,04/02/2019,1,"London, UK",Internal Meeting,Rail,Standard,Y,Nil Return,£232.00,Nil Return,,,,,,,,,,,,,,,
William Priest,10/02/2019,1,"London, UK",Internal Meeting,Taxi,Nil Return,Y,Nil Return,£317.85,Nil Return,,,,,,,,,,,,,,,
William Priest,18/02/2019,3,"Manchester, UK",ICES Conference,Rail,Standard,Y,Nil Return,£842.60,Nil Return,,,,,,,,,,,,,,,
William Priest,25/02/2019,4,"London, UK",Global Government Conferennce,Rail,Standard,Y,Nil Return,£394.30,Nil Return,,,,,,,,,,,,,,,
William Priest,13/03/2019,2,"Manchester, UK",Gov Tech Conference,Rail,Standard,Y,Nil Return,£719.55,Nil Return,,,,,,,,,,,,,,,
Niall Quinn,11/01/2019,1,"Chippenham, UK",External Meeting,Rail / Taxi,Standard,Nil Return,Nil Return,£109.10,Nil Return,,,,,,,,,,,,,,,
Niall Quinn,29/01/2019,1,"Norwich, UK",Internal Meeting,Rail,Standard,Nil Return,Nil Return,£42.50,Nil Return,,,,,,,,,,,,,,,
Niall Quinn,27/02/2019,2,"London, UK",Conference,Rail,Standard,Nil Return,Nil Return,£131.00,Nil Return,,,,,,,,,,,,,,,
Niall Quinn,20/03/2019,1,"London, UK",Internal Meeting,Rail,Standard,Nil Return,Nil Return,£40.50,Nil Return,,,,,,,,,,,,,,,
Niall Quinn,26/03/2019,1,"Peterborough, UK",Internal Meeting,Rail,Standard,Nil Return,Nil Return,£107.50,Nil Return,,,,,,,,,,,,,,,
James Rawlings,16/01/2019,1,"London, UK",Internal Meeting,Nil Return,Nil Return,Nil Return,PIEA,£14.50,Nil Return,,,,,,,,,,,,,,,
James Rawlings,14/03/2019,1,"Liverpool, UK",Operational Activity,Rail,Standard,Nil Return,Nil Return,£189.50,Nil Return,,,,,,,,,,,,,,,
James Rawlings,18/02/2019,1,"Leeds, UK",Internal Meeting,Rail,Standard,Nil Return,Nil Return,£8.00,Nil Return,,,,,,,,,,,,,,,
James Rawlings,20/02/2019,1,"Peterborough, UK",Internal Meeting,Taxi,Nil Return,Nil Return,Nil Return,£20.00,Nil Return,,,,,,,,,,,,,,,
James Rawlings,01/03/2019,1,"London, UK",Professional Fees - CIPS,Nil Return,Nil Return,Nil Return,Nil Return,£231.30,Nil Return,,,,,,,,,,,,,,,
Gareth Rhys Williams,22/01/2019,1,"London, UK",Internal Meeting,Taxi,Nil Return,Nl Return,Nil Return,£5.40,Nil Return,,,,,,,,,,,,,,,
Gareth Rhys Williams,30/01/2019,1,"Belfast, N Ireland",External Meeting,Nil Return,Nil Return,Y,Nil Return,£20.57,Nil Return,,,,,,,,,,,,,,,
Gareth Rhys Williams,05/02/2019,1,"London, UK",RAF Club,Taxi,Nil Return,Nil Return,Nil Return,£9.60,Nil Return,,,,,,,,,,,,,,,
Gareth Rhys Williams,08/02/2019,1,"London, UK",Internal Meeting,Taxi,Nil Return,Nil Return,Nil Return,£5.00,Nil Return,,,,,,,,,,,,,,,
Gareth Rhys Williams,13/02/2019,1,"London, UK",Internal Meeting,Taxi,Nil Return,Nil Return,Nil Return,£13.20,Nil Return,,,,,,,,,,,,,,,
