1 to 31 DECEMBER 2007,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country of Export,Breed,Sex,Age,,,,,,,,,,,,,
,,,12- 24 Months,24 - 36 Months,36 - 48 Months,48 - 60 Months,60 - 72 Months,Over 72 Months and Over,Total Number of Exports,,,,,,,
,SWEDISH RED&WHITE X,M,3,3,0,0,0,1,0,0,0,0,0,0,0,7
Spain,AYRSHIRE X,M,0,1,0,0,0,0,0,0,0,0,0,0,0,1
,BRITISH FRIESIAN ,M,7,18,0,0,0,0,0,0,0,0,0,0,0,25
,BRITISH FRIESIAN X,M,4,4,0,0,0,0,0,0,0,0,0,0,0,8
,BRITISH HOLSTEIN ,M,0,2,0,0,0,0,0,0,0,0,0,0,0,2
,CROSS BREED DAIRY,M,0,1,0,0,0,0,0,0,0,0,0,0,0,1
,HOLSTEIN,M,5,19,8,0,0,0,0,0,0,0,0,0,0,32
,HOLSTEIN FRIESIAN,M,83,127,17,0,2,0,0,0,0,0,0,0,0,229
,HOLSTEIN FRIESIAN X,M,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Totals,,,"1,758",596,19,41,22,1,16,12,12,17,27,37,137,"4,281"
