"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","FACT","POSN000226","A","47073","58207","Senior Accountant","5.00","Finance"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","FACT","POSN000226","A(U)","53328","68310","Senior Accountant","2.00","Finance"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","FACT","POSN000226","B","30955","44558","Accountant","6.00","Finance"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","FACT","POSN000226","C","23826","27397","Accountant","1.00","Finance"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Finance and Commercial","POSN006262","A","47073","58207","Senior Finance Manager","1.00","Finance"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Finance and Commercial","POSN006262","A(U)","53328","68310","Senior Finance Manager","0.81","Finance"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Finance and Commercial","POSN006262","B","30955","44558","Finance Manager","2.00","Finance"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Finance and Commercial","POSN006262","C","23826","27397","Finance Manager","2.00","Finance"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Finance Business Partnering","POSN003010","A","47073","58207","Finance Business Partner","10.60","Finance"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Finance Business Partnering","POSN003010","A(U)","53328","68310","Finance Business Partner","2.90","Finance"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Finance Business Partnering","POSN003010","B","30955","44558","Finance Business Partner","12.00","Finance"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Finance Business Partnering","POSN003010","C","23826","27397","Finance Business Partner","1.00","Finance"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Strategic Finance, Reporting, Fraud and Grants","POSN000193","A","47073","58207","Senior Finance Manager","7.00","Finance"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Strategic Finance, Reporting, Fraud and Grants","POSN000193","A(U)","53328","68310","Senior Finance Manager","3.00","Finance"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Strategic Finance, Reporting, Fraud and Grants","POSN000193","B","30955","44558","Finance Manager","7.00","Finance"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Strategic Finance, Reporting, Fraud and Grants","POSN000193","C","23826","27397","Finance Manager","1.00","Finance"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Digital Standards and Internet Governance","POSN003950","A","47073","58207","Senior Policy Adviser","7.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Digital Standards and Internet Governance","POSN003950","A(U)","53328","68310","Senior Policy Adviser","3.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Digital Standards and Internet Governance","POSN003950","B","30955","44558","Policy Adviser","7.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Digital Trade","POSN003562","A","47073","58207","Senior Policy Adviser","15.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Digital Trade","POSN003562","A(U)","53328","68310","Senior Policy Adviser","4.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Digital Trade","POSN003562","B","30955","44558","Policy Adviser","12.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Digital Trade","POSN003562","C","23826","27397","Policy Adviser","1.00","Policy"
