Birth Year,Birth Month,Country,Gov Region,County,Breed Type,Breed,Sex,Application Type,Number Of Births
2015,June     ,England,Eastern,Bedfordshire,Non Dairy,ABERDEEN ANGUS,F,Birth Application,2
2015,June     ,England,East Midland,Derbyshire,Non Dairy,ABERDEEN ANGUS,F,Birth Application,56
2015,June     ,England,North West,Lancashire,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,261
2015,June     ,England,North West,Merseyside,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,1
2015,June     ,England,South West,Devon,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,615
2015,June     ,England,West Midlands,Shropshire,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,183
2015,June     ,England,Eastern,Suffolk,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,33
2015,June     ,England,North West,Cumbria,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,374
2015,June     ,England,Eastern,Cambridgeshire,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,33
2015,June     ,England,West Midlands,West Midlands,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,2
2015,June     ,England,West Midlands,Staffordshire,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,265
2015,June     ,England,South East,Oxfordshire,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,76
2015,June     ,England,East Midlands/Yorkshire and the Humber,Lincolnshire,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,30
2015,June     ,England,South East,West Sussex,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,87
2015,June     ,England,West Midlands,Staffordshire,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,275
2015,June     ,England,Yorkshire and the Humber,Humberside,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,24
2015,June     ,England,West Midlands,Warwickshire,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,44
2015,June     ,England,South West,Cornwall,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,352
2015,June     ,England,North East,Cleveland,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,6
2015,June     ,England,West Midlands,Warwickshire,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,46
2015,June     ,England,South East,Hampshire,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,70
2015,June     ,England,South East,Berkshire,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,54
2015,June     ,England,Yorkshire and the Humber,West Yorkshire,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,62
2015,June     ,England,South East,Kent,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,53
2015,June     ,England,South West,Somerset,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,548
2015,June     ,England,Eastern,Norfolk,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,168
2015,June     ,England,South West,Dorset,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,334
2015,June     ,England,South West,Wiltshire,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,295
2015,June     ,England,North East,Cleveland,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,11
2015,June     ,England,South East,East Sussex,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,59
2015,June     ,England,South East,Greater London,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,5
2015,June     ,England,Eastern,Cambridgeshire,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,22
2015,June     ,England,South East,Surrey,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,24
2015,June     ,England,South East,Hampshire,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,77
2015,June     ,England,East Midland,Derbyshire,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,188
2015,June     ,England,East Midland,Nottinghamshire,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,50
2015,June     ,England,South West,Wiltshire,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,320
