,Breed Type,Sex,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,,Totals to Date,,
CHAROLAIS X,Non Dairy,F,55,49,40,47,58,42,93,95,95,153,196,173,139,156,135,102,62,68,33,33,38,44,29,0,34,47,0,27,35,0,52,35,0,49,40,0,828,835,591
,,M,61,67,72,58,70,67,118,136,115,228,219,225,197,179,159,100,107,88,51,46,43,49,29,0,34,31,0,40,35,0,44,44,0,60,56,0,"1,040","1,019",769
CHIANINA X,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
,,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CROSS BREED BEEF,Non Dairy,F,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
,,M,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
CROSS BREED DAIRY,Dairy,F,1,3,2,3,9,18,9,9,27,5,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,0,2,9,0,23,38,51
,,M,0,3,1,1,8,25,5,2,39,0,1,11,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,3,0,2,2,0,4,1,0,13,21,78
DAIRY SHORTHORN,Dairy,F,2,1,1,5,0,4,1,3,4,4,3,2,1,1,1,2,0,0,1,3,2,2,1,0,2,1,0,1,2,0,3,1,0,5,6,0,29,22,14
,,M,0,1,3,2,1,0,0,1,0,1,1,2,0,0,0,2,0,1,0,3,0,1,2,0,0,2,0,1,0,0,1,4,0,2,5,0,10,20,6
DAIRY SHORTHORN X,Dairy,F,1,2,4,1,3,4,3,5,6,1,1,6,1,1,0,1,0,1,2,1,0,0,1,0,0,3,0,1,6,0,0,0,0,4,9,0,15,32,21
,,M,1,1,6,0,3,3,4,4,2,0,2,1,1,1,1,1,1,1,0,3,2,0,1,0,3,4,0,0,4,0,3,4,0,2,8,0,15,36,16
DANISH RED,Non Dairy,F,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,3,3,2
,,M,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2
DANISH RED X,Non Dairy,F,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,1,4,0,2,1,0,0,1,0,0,0,0,1,0,0,0,2,0,5,14,0
,,M,0,1,0,2,4,2,0,3,0,2,1,1,0,1,0,1,2,1,2,1,1,0,1,0,2,2,0,0,2,0,0,1,0,2,3,0,11,22,5
DEVON,Non Dairy,F,1,2,0,2,5,1,5,4,5,9,10,7,5,6,6,3,3,1,2,1,1,1,1,0,0,1,0,0,3,0,1,1,0,1,0,0,30,37,21
,,M,1,1,3,6,1,0,6,11,11,8,17,16,16,9,8,3,6,4,1,7,1,1,1,0,0,3,0,2,2,0,0,1,0,0,1,0,44,60,43
DEVON X,Non Dairy,F,3,2,1,3,4,1,5,4,3,4,6,6,2,7,2,4,1,0,1,1,0,2,2,0,1,1,0,2,5,0,2,2,0,4,2,0,33,37,13
