Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Central Services to the public,BREAD AND BUTTIES HEAV,Expenses and Allowances,Catering  ,07.05.2021,16.06.2021,GPC05210000021,36.70
Stockport MBC,Corporate and Support Services,Central Services to the public,AMZNMKTPLACE,Furniture and Equipment,Furniture & Soft Furnishings  ,06.05.2021,16.06.2021,GPC05210000022,131.88
Stockport MBC,Corporate and Support Services,Central Services to the public,BREAD AND BUTTIES HEAV,Expenses and Allowances,Catering  ,06.05.2021,16.06.2021,GPC05210000023,32.90
Stockport MBC,Corporate and Support Services,Central Services to the public,BREAD AND BUTTIES HEAV,Expenses and Allowances,Catering  ,05.05.2021,16.06.2021,GPC05210000024,37.10
Stockport MBC,Corporate and Support Services,Central Services to the public,BREAD AND BUTTIES HEAV,Expenses and Allowances,Catering  ,04.05.2021,16.06.2021,GPC05210000025,41.20
Stockport MBC,Corporate and Support Services,Central Services to the public,TESCO STORES 3378,Expenses and Allowances,Catering  ,01.05.2021,16.06.2021,GPC05210000026,12.70
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  WG6EE5BMG2,Office Expenses,Facilities & Management Services  ,31.05.2021,16.06.2021,GPC05210000027,45.51
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  3F7JR53MG2,Office Expenses,Facilities & Management Services  ,28.05.2021,16.06.2021,GPC05210000028,700.00
Stockport MBC,Corporate and Support Services,Central Support Costs,APPLE.COM/BILL,Information and Communications Technology,Information Communication Technology  ,26.05.2021,16.06.2021,GPC05210000029,5.83
Stockport MBC,Corporate and Support Services,Central Support Costs,LINKEDIN-643 4307913,Office Expenses,Facilities & Management Services  ,23.05.2021,16.06.2021,GPC05210000030,16.81
Stockport MBC,Corporate and Support Services,Central Support Costs,LINKEDIN-643 2761793,Office Expenses,Facilities & Management Services  ,22.05.2021,16.06.2021,GPC05210000031,204.04
Stockport MBC,Corporate and Support Services,Central Support Costs,SITEGROUND HOSTING,Information and Communications Technology,Information Communication Technology  ,18.05.2021,16.06.2021,GPC05210000032,14.95
Stockport MBC,Corporate and Support Services,Central Support Costs,LINKEDIN-641 3783143,Office Expenses,Facilities & Management Services  ,17.05.2021,16.06.2021,GPC05210000033,49.97
Stockport MBC,Corporate and Support Services,Central Support Costs,LINKEDIN IRELAND,Office Expenses,Facilities & Management Services  ,11.05.2021,16.06.2021,GPC05210000034,79.38
Stockport MBC,Corporate and Support Services,Central Support Costs,LINKEDIN-638 0261473,Office Expenses,Facilities & Management Services  ,05.05.2021,16.06.2021,GPC05210000035,24.45
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  R67JB3KMG2,Office Expenses,Facilities & Management Services  ,30.04.2021,16.06.2021,GPC05210000036,369.03
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,27.05.2021,16.06.2021,GPC05210000037,8.28
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,26.05.2021,16.06.2021,GPC05210000038,5.59
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,25.05.2021,16.06.2021,GPC05210000039,4.09
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,24.05.2021,16.06.2021,GPC05210000040,9.07
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,21.05.2021,16.06.2021,GPC05210000041,11.91
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,20.05.2021,16.06.2021,GPC05210000042,1.60
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,19.05.2021,16.06.2021,GPC05210000043,2.59
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,18.05.2021,16.06.2021,GPC05210000044,4.96
