Government Regions,Breed Type,Sex,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,,Totals to Date,,
LUING X,Non Dairy,F,7,8,11,27,31,33,186,210,229,181,228,291,105,136,170,33,56,80,34,32,46,20,29,23,14,30,0,29,33,0,8,18,0,11,4,0,655,815,883
,,M,7,5,17,38,36,25,189,191,208,138,214,273,102,165,182,49,46,79,33,45,36,9,35,23,13,23,0,19,33,0,14,17,0,9,8,0,620,818,843
MAINE ANJOU,Non Dairy,F,0,0,0,0,2,1,1,0,1,0,0,0,3,10,3,1,6,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,8
,,M,0,1,0,0,0,0,0,1,0,0,0,0,5,6,4,1,2,3,3,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,10,12,8
MAINE ANJOU X,Non Dairy,F,6,9,22,17,10,12,13,11,26,13,10,5,24,22,11,6,4,11,1,7,8,16,6,3,4,21,0,3,1,0,18,8,0,16,4,0,137,113,98
,,M,11,11,19,17,18,13,21,9,11,16,11,4,11,12,5,7,6,10,4,7,12,9,8,5,7,10,0,4,1,0,9,8,0,9,4,0,125,105,79
MARCHIGIANA,Non Dairy,F,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
,,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
MARCHIGIANA X,Non Dairy,F,2,0,2,1,0,1,1,0,6,6,8,11,6,3,1,1,1,0,2,1,0,0,0,1,2,1,0,8,1,0,1,0,0,0,0,0,30,15,22
,,M,3,4,0,0,0,4,4,2,4,7,2,8,6,5,2,4,0,4,9,1,4,3,1,1,0,2,0,4,1,0,0,1,0,0,0,0,40,19,27
MEUSE RHINE ISSEL,Non Dairy,F,56,74,72,86,66,83,78,86,109,89,97,50,92,82,83,71,75,76,101,103,93,118,118,76,144,118,0,137,81,0,96,88,0,86,98,0,"1,154","1,086",642
,,M,66,84,123,85,93,64,79,116,109,109,100,78,92,97,79,102,100,78,114,120,108,140,121,103,144,129,0,130,102,0,88,86,0,123,106,0,"1,272","1,254",742
MEUSE RHINE ISSEL X,Non Dairy,F,106,95,86,99,100,56,114,87,118,125,85,90,117,142,144,161,115,82,149,104,76,138,145,108,126,89,0,134,99,0,119,91,0,91,79,0,"1,479","1,231",760
,,M,123,108,105,120,130,80,161,137,113,135,152,118,160,169,141,184,161,107,206,143,123,164,151,140,162,128,0,164,147,0,134,110,0,101,113,0,"1,814","1,649",927
MONTBELIARDE,Non Dairy,F,108,136,121,88,138,117,111,159,141,82,123,144,82,94,141,95,114,169,115,149,176,112,178,197,203,247,0,143,174,0,146,169,0,103,139,0,"1,388","1,820","1,206"
,,M,88,131,97,98,140,117,110,140,169,104,112,147,89,98,122,92,106,161,91,128,133,118,161,185,203,226,0,124,177,0,118,156,0,109,129,0,"1,344","1,704","1,131"
MONTBELIARDE X,Non Dairy,F,351,391,368,412,386,458,543,522,621,528,441,502,368,473,437,370,423,462,515,577,601,602,613,641,467,594,0,497,537,0,418,440,0,350,449,0,"5,421","5,846","4,090"
,,M,341,397,403,386,421,465,575,598,639,469,475,530,356,497,464,349,436,395,501,617,598,623,726,679,554,699,0,558,572,0,491,481,0,397,431,0,"5,600","6,350","4,173"
MURRAY GREY,Non Dairy,F,9,7,4,16,26,22,44,44,26,40,52,58,39,48,37,17,22,20,28,11,19,12,11,14,16,12,0,2,6,0,2,7,0,2,3,0,227,249,200
,,M,10,6,6,16,22,23,28,22,42,26,60,42,39,42,36,13,25,22,18,14,11,14,16,8,12,15,0,5,0,0,1,8,0,2,8,0,184,238,190
MURRAY GREY X,Non Dairy,F,6,11,14,15,7,16,15,23,36,32,48,29,46,16,13,35,8,18,15,12,10,9,13,9,9,16,0,25,15,0,10,6,0,15,8,0,232,183,145
,,M,9,14,12,12,11,11,21,18,21,26,40,22,25,15,14,26,14,13,13,16,7,8,18,11,7,10,0,27,10,0,12,10,0,24,12,0,210,188,111
NORMANDE,Non Dairy,F,2,2,7,3,6,9,13,7,15,5,5,3,4,0,4,7,11,10,4,5,5,2,0,3,10,4,0,8,6,0,4,2,0,5,3,0,67,51,56
,,M,2,1,0,7,11,7,9,11,11,5,7,5,2,1,2,8,10,10,7,7,9,4,3,3,5,3,0,9,7,0,2,8,0,1,4,0,61,73,47
NORMANDE X,Non Dairy,F,6,7,3,3,13,10,12,8,11,25,16,7,5,7,10,5,2,1,12,2,1,28,5,17,13,5,0,7,4,0,11,5,0,4,8,0,131,82,60
,,M,10,4,5,5,12,4,12,16,23,17,12,6,6,7,7,5,2,2,13,4,6,29,9,6,14,9,0,6,2,0,10,6,0,9,5,0,136,88,59
NORTHERN DAIRY SH,Dairy,F,1,0,0,0,1,2,0,6,2,1,4,2,1,5,2,1,0,2,0,0,0,0,3,0,0,4,0,0,0,0,0,2,0,0,0,0,4,25,10
,,M,1,1,0,0,2,1,0,4,4,1,4,4,0,0,1,1,0,2,0,0,0,1,2,1,2,1,0,0,0,0,2,2,0,0,0,0,8,16,13
NORWEGIAN RED,Non Dairy,F,4,2,3,8,2,27,1,4,10,4,4,6,2,2,1,0,1,2,1,4,2,2,7,7,18,58,0,17,15,0,5,6,0,3,4,0,65,109,58
,,M,0,4,2,0,2,19,0,3,12,1,5,6,2,3,0,2,2,0,7,3,7,6,10,6,12,48,0,10,33,0,5,9,0,3,4,0,48,126,52
NORWEGIAN RED X,Non Dairy,F,100,85,87,120,109,162,103,84,102,49,67,68,55,40,80,47,32,60,105,71,120,204,459,472,175,311,0,148,176,0,77,54,0,59,63,0,"1,242","1,551","1,151"
,,M,60,63,69,93,63,80,68,59,87,46,57,68,40,28,66,57,22,62,81,56,106,210,410,409,130,338,0,122,154,0,69,57,0,57,56,0,"1,033","1,363",947
OLD ENGLISH,Non Dairy,F,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
,,M,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
OLD ENGLISH X,Non Dairy,F,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,4,0
,,M,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2
OTHER DAIRY,Dairy,M,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
PARTHENAIS,Non Dairy,F,2,4,2,2,3,4,6,4,9,5,9,7,2,9,11,3,9,7,2,2,6,0,6,1,2,4,0,0,2,0,3,0,0,1,2,0,28,54,47
,,M,1,5,6,3,3,4,6,10,5,7,12,9,6,8,8,6,14,6,2,1,2,1,14,0,2,0,0,3,1,0,9,0,0,5,1,0,51,69,40
PARTHENAIS X,Non Dairy,F,8,19,20,25,31,25,70,81,98,87,84,84,62,42,82,41,41,34,27,37,20,29,20,12,19,17,0,8,20,0,14,32,0,8,19,0,398,443,375
,,M,5,14,23,21,28,18,68,106,78,92,83,100,57,48,60,49,30,42,26,34,30,17,19,8,25,18,0,15,14,0,15,32,0,9,22,0,399,448,359
PIEMONTESE,Non Dairy,F,4,2,2,5,3,2,2,2,4,8,14,7,13,11,19,6,2,8,2,5,4,4,5,2,6,8,0,3,2,0,2,1,0,4,15,0,59,70,48
,,M,2,0,5,2,3,0,4,3,2,9,12,10,12,11,12,5,2,18,8,3,3,3,4,2,0,2,0,2,1,0,1,1,0,1,3,0,49,45,52
PIEMONTESE X,Non Dairy,F,19,18,8,27,42,20,92,86,86,114,81,89,59,56,53,36,66,47,22,23,25,37,12,9,25,10,0,42,42,0,27,21,0,18,26,0,518,483,337
,,M,15,11,15,26,28,24,79,83,74,134,101,87,62,68,56,27,56,44,26,36,11,35,15,10,17,17,0,36,45,0,30,32,0,25,16,0,512,508,321
PINZGAUER,Non Dairy,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0
PINZGAUER X,Non Dairy,F,0,2,2,0,0,1,0,0,0,0,2,1,0,0,7,1,1,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,3,0,4,10,14
,,M,0,2,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,4,8,4
RED & WHITE FRIESIAN,Dairy,F,8,0,0,8,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
,,M,5,0,0,3,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
RED POLL,Non Dairy,F,38,60,60,70,106,73,195,196,204,184,185,269,134,145,133,80,82,102,71,70,79,46,62,69,58,51,0,45,38,0,55,42,0,59,48,0,"1,035","1,085",989
,,M,41,44,38,73,90,74,186,197,207,188,195,243,144,151,154,101,69,91,67,82,73,37,56,76,59,43,0,54,48,0,42,43,0,39,58,0,"1,031","1,076",956
RED POLL X,Non Dairy,F,24,20,23,31,17,25,40,39,55,55,34,71,61,41,41,27,39,33,23,27,36,18,11,25,28,13,0,15,20,0,18,20,0,29,26,0,369,307,309
,,M,22,5,16,26,27,23,46,49,68,52,34,72,64,56,57,39,31,40,24,22,35,23,27,28,34,14,0,14,17,0,11,20,0,20,18,0,375,320,339
RIGGIT GALLOWAY,Dairy,F,0,0,0,0,1,1,1,5,2,0,8,11,7,4,2,2,0,5,0,1,3,2,6,3,0,3,0,0,0,0,0,0,0,0,0,0,12,28,27
,,M,1,0,0,1,0,1,2,4,0,0,4,9,5,3,8,3,4,4,2,2,3,0,7,0,2,3,0,0,0,0,1,1,0,2,0,0,19,28,25
RIGGITGALLOWAY CROSS,Dairy,F,0,1,0,0,0,0,0,0,1,0,1,2,0,1,2,0,0,6,0,1,0,0,0,4,0,3,0,0,0,0,2,1,0,1,2,0,3,10,15
,,M,0,0,1,1,0,0,1,0,0,0,6,1,0,0,0,0,0,2,0,0,0,0,3,1,0,2,0,0,0,0,2,0,0,0,0,0,4,11,5
ROMAGNOLA,Non Dairy,F,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,1,1
,,M,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
ROMAGNOLA X,Non Dairy,F,0,0,0,1,2,3,3,13,2,1,9,3,3,10,13,1,7,3,0,1,3,0,6,3,1,2,0,0,1,0,0,0,0,2,0,0,12,51,30
,,M,0,1,0,0,0,2,4,6,6,5,7,5,3,14,10,0,10,4,0,1,2,1,10,1,0,2,0,0,0,0,0,0,0,1,0,0,14,51,30
ROTEBUNDE X,Non Dairy,F,2,0,0,3,0,0,3,1,0,4,1,0,7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,2,0,0,26,2,1
,,M,3,0,0,5,0,0,4,0,0,1,1,0,1,0,1,3,0,0,4,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,27,1,1
SALERS,Non Dairy,F,32,55,48,67,61,89,168,212,242,249,271,398,226,296,341,181,166,345,151,145,141,97,152,131,76,94,0,63,55,0,39,64,0,44,53,0,"1,393","1,624","1,735"
,,M,36,71,64,67,79,119,182,208,243,270,311,346,245,314,334,165,197,337,141,149,139,87,142,119,69,104,0,57,64,0,20,71,0,34,52,0,"1,373","1,762","1,701"
SALERS X,Non Dairy,F,214,203,266,407,410,324,954,"1,025",897,"1,166","1,277","1,446",833,"1,029",988,510,633,685,325,418,420,346,372,405,315,457,0,332,410,0,250,254,0,211,214,0,"5,863","6,702","5,431"
,,M,272,220,255,390,410,346,935,997,946,"1,139","1,235","1,492",793,"1,000","1,020",511,580,611,334,382,395,329,400,399,395,453,0,357,400,0,271,247,0,205,209,0,"5,931","6,533","5,464"
SHETLAND,Non Dairy,F,8,6,2,7,8,9,31,48,46,53,29,34,38,22,28,17,27,27,15,19,14,11,16,15,12,14,0,5,15,0,13,5,0,6,3,0,216,212,175
,,M,4,6,10,10,18,6,27,43,38,44,34,50,48,26,24,16,27,26,12,15,19,11,11,11,8,8,0,3,9,0,11,5,0,7,1,0,201,203,184
SHETLAND X,Non Dairy,F,5,8,7,4,15,8,10,17,16,11,25,9,10,21,9,3,12,12,6,8,8,6,6,6,0,2,0,3,1,0,8,5,0,4,4,0,70,124,75
,,M,3,4,9,5,6,3,15,11,15,13,19,3,7,24,5,3,15,10,4,8,6,6,12,6,3,2,0,3,0,0,8,0,0,0,1,0,70,102,57
SHORTHORN,Non Dairy,F,78,99,104,93,130,106,225,203,181,206,199,223,172,209,292,185,195,136,202,155,177,143,190,141,150,188,0,110,137,0,91,117,0,80,113,0,"1,735","1,935","1,360"
,,M,91,113,129,115,145,129,232,245,186,219,214,248,200,234,271,225,181,206,193,206,198,211,228,199,203,233,0,145,148,0,152,133,0,107,114,0,"2,093","2,194","1,566"
SHORTHORN X,Non Dairy,F,185,185,191,289,306,270,723,689,621,936,894,945,721,716,675,484,443,461,316,426,361,319,285,344,281,274,0,229,245,0,222,186,0,153,174,0,"4,858","4,823","3,868"
,,M,202,212,180,271,348,347,771,672,654,970,963,952,713,768,727,478,474,493,346,377,414,344,311,357,334,366,0,282,306,0,251,198,0,153,192,0,"5,115","5,187","4,124"
SIMMENTAL,Non Dairy,F,607,643,624,825,925,930,"1,946","2,025","2,100","2,120","2,197","2,218","1,561","1,458","1,577",986,962,990,698,677,746,600,731,678,669,644,0,595,534,0,519,492,0,446,502,0,"11,572","11,790","9,863"
,,M,654,641,664,792,909,899,"1,968","2,002","2,256","2,181","2,241","2,327","1,660","1,469","1,619","1,011","1,015",979,779,764,776,633,674,636,699,702,0,597,610,0,514,515,0,450,455,0,"11,938","11,997","10,156"
SIMMENTAL X,Non Dairy,F,"3,522","3,424","3,398","4,583","4,861","5,001","12,075","12,301","12,290","13,695","13,695","14,693","10,570","10,339","10,631","6,333","6,323","6,121","4,881","4,937","5,026","4,383","4,746","4,388","4,696","4,764",0,"4,179","4,267",0,"3,922","3,455",0,"3,054","3,101",0,"75,893","76,213","61,548"
,,M,"3,653","3,654","3,571","4,811","4,823","4,890","11,922","12,380","12,734","14,222","14,058","15,112","11,363","11,044","11,152","6,488","6,956","6,573","5,107","5,119","5,312","4,589","4,885","4,802","4,897","5,022",0,"4,318","4,328",0,"4,040","3,758",0,"3,174","3,405",0,"78,584","79,432","64,146"
SOUTH DEVON,Non Dairy,F,258,216,264,465,479,504,"1,484","1,446","1,557","1,578","1,672","1,739","1,037","1,067","1,191",706,588,614,405,453,418,360,351,345,269,321,0,251,288,0,199,192,0,179,144,0,"7,191","7,217","6,632"
,,M,254,239,250,382,460,487,"1,330","1,491","1,420","1,583","1,662","1,780","1,038","1,095","1,189",692,624,638,433,445,454,383,384,347,258,336,0,281,282,0,214,209,0,160,163,0,"7,008","7,390","6,565"
SOUTH DEVON X,Non Dairy,F,228,206,239,362,429,426,"1,059","1,170","1,058","1,179","1,286","1,212",888,834,892,495,530,536,401,361,320,303,315,312,278,289,0,232,273,0,155,164,0,148,161,0,"5,728","6,018","4,995"
,,M,229,205,221,321,416,410,"1,063","1,079","1,109","1,116","1,275","1,248",928,818,924,504,565,482,364,378,361,286,314,334,299,297,0,274,262,0,177,157,0,150,166,0,"5,711","5,932","5,089"
SPECKLE PARK,Non Dairy,F,0,0,0,0,1,2,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,1,0,0,0,0,0,0,0,3,5,8
,,M,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,7
SPECKLE PARK CROSS,Non Dairy,F,0,0,1,0,2,4,0,0,5,0,2,3,0,2,3,0,4,0,0,1,6,0,3,2,0,5,0,0,2,0,0,0,0,0,1,0,0,22,24
,,M,0,0,4,0,0,2,0,0,6,0,1,4,0,1,4,0,1,2,0,4,3,0,3,0,0,2,0,0,2,0,0,3,0,0,4,0,0,21,25
STABILISER,Non Dairy,F,13,18,24,81,108,124,333,370,344,397,437,546,314,375,413,125,111,183,41,64,66,45,68,50,62,67,0,39,48,0,38,17,0,12,8,0,"1,500","1,691","1,750"
,,M,12,18,19,83,127,133,311,356,331,395,489,581,257,399,370,119,106,213,36,66,84,63,81,43,60,69,0,40,40,0,31,20,0,8,12,0,"1,415","1,783","1,774"
STABILISER X,Non Dairy,F,45,48,75,162,199,287,933,989,"1,026","1,397","1,376","1,526",820,776,751,242,268,271,154,207,126,139,163,102,319,322,0,166,168,0,80,71,0,53,47,0,"4,510","4,634","4,164"
,,M,39,52,66,157,171,256,933,"1,017",984,"1,355","1,498","1,441",878,908,875,290,318,300,148,196,137,147,172,106,318,306,0,177,176,0,78,98,0,50,59,0,"4,570","4,971","4,165"
SUSSEX,Non Dairy,F,37,43,65,155,168,164,392,369,435,349,407,436,253,246,271,167,169,169,112,107,120,125,109,111,103,130,0,71,69,0,33,38,0,29,25,0,"1,826","1,880","1,771"
,,M,51,52,58,143,156,157,359,413,418,393,440,427,240,272,285,137,192,194,107,139,116,134,125,110,134,130,0,77,93,0,28,38,0,32,28,0,"1,835","2,078","1,765"
SUSSEX X,Non Dairy,F,53,57,53,97,121,96,301,287,294,386,374,342,189,233,234,132,141,106,83,114,105,87,122,123,129,95,0,107,115,0,86,89,0,58,63,0,"1,708","1,811","1,353"
,,M,53,49,52,100,137,112,261,293,296,397,381,352,221,210,261,147,155,138,90,120,101,94,136,168,160,115,0,105,103,0,104,86,0,52,93,0,"1,784","1,878","1,480"
SWEDISH RED,Dairy,F,17,20,29,24,26,28,24,34,61,22,34,19,18,45,36,25,40,34,39,33,39,27,36,58,61,36,0,31,27,0,53,42,0,36,44,0,377,417,304
,,M,15,26,13,29,15,42,32,43,45,29,30,53,18,55,28,21,36,25,34,38,33,30,28,40,60,32,0,26,29,0,22,25,0,15,9,0,331,366,279
SWEDISH RED & WHITE,Non Dairy,F,29,42,20,41,36,33,39,46,30,38,27,12,15,35,29,22,5,30,19,26,18,23,32,19,48,86,0,34,51,0,40,32,0,57,22,0,405,440,191
,,M,41,28,25,26,17,40,34,29,22,19,19,10,8,36,26,11,6,23,12,8,5,18,26,5,55,70,0,35,37,0,26,22,0,52,7,0,337,305,156
SWEDISH RED CROSS,Dairy,F,161,247,190,243,302,397,198,311,302,184,230,213,194,222,238,169,241,239,218,281,376,273,448,604,280,489,0,256,372,0,222,257,0,186,226,0,"2,584","3,626","2,559"
,,M,134,226,178,181,270,283,182,258,247,151,199,177,202,208,172,159,202,218,255,240,279,268,439,484,263,438,0,260,321,0,202,233,0,164,197,0,"2,421","3,231","2,038"
SWEDISH RED POLLED,Dairy,F,1,0,0,0,0,0,3,3,0,1,5,0,0,0,1,0,0,0,0,1,3,1,0,2,2,0,0,0,0,0,1,2,0,1,1,0,10,12,6
,,M,0,0,0,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,5,5,2
SWEDISH RED&WHITE X,Non Dairy,F,275,164,150,333,508,369,278,381,282,195,176,169,168,168,140,163,160,139,194,202,138,392,374,304,360,397,0,311,225,0,190,175,0,148,130,0,"3,007","3,060","1,691"
,,M,188,156,121,263,379,328,214,311,214,142,178,133,122,166,105,143,140,133,192,152,114,369,361,286,381,363,0,274,216,0,165,133,0,149,109,0,"2,602","2,664","1,434"
SWISS BRAUNVIEH,Non Dairy,F,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,3,6,3
,,M,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,1
SWISS BRAUNVIEH X,Non Dairy,F,0,1,0,2,0,0,0,1,0,2,1,1,0,1,2,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0,4,10,5
,,M,0,2,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3
SWISS GREY X,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,M,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
SWISS ORIG BRAUNV X,Non Dairy,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
SWISS ORIG BRAUNVIEH,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TARANTAISE0TARINA,Non Dairy,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
VAYNOL,Non Dairy,F,0,0,0,0,0,0,0,0,0,2,2,1,1,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3
,,M,0,0,0,0,0,0,1,0,1,0,2,0,1,2,1,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,7,2
VAYNOL X,Non Dairy,F,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
,,M,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WAGYU,Non Dairy,F,0,1,0,0,1,4,1,7,3,3,11,22,17,8,12,4,5,10,2,4,2,0,3,1,9,3,0,7,0,0,0,0,0,2,0,0,45,43,54
,,M,1,1,2,0,0,1,0,10,2,8,11,19,16,7,18,4,6,10,3,3,0,3,2,1,7,3,0,2,0,0,1,1,0,0,0,0,45,44,53
WAGYU CROSS,Non Dairy,F,0,2,43,0,2,48,2,11,52,13,19,68,6,22,61,1,10,59,1,14,85,3,37,69,1,19,0,0,53,0,0,59,0,1,54,0,28,302,485
,,M,0,3,59,3,3,56,1,13,61,17,22,59,11,25,76,5,20,53,3,14,54,0,50,91,1,25,0,0,48,0,2,65,0,3,53,0,46,341,509
WATER BUFFALO,Non Dairy,F,16,12,15,8,12,5,26,19,11,44,24,19,26,50,39,52,84,59,91,87,70,77,61,75,75,69,0,48,42,0,49,40,0,19,18,0,531,518,293
,,M,36,7,9,12,10,4,34,26,8,56,32,28,32,47,39,50,90,68,80,90,62,81,82,78,91,62,0,58,55,0,44,34,0,31,14,0,605,549,296
WELSH BLACK,Non Dairy,F,130,136,121,193,186,158,543,555,548,"1,060","1,012","1,030",911,989,949,600,578,506,301,459,433,266,320,328,271,215,0,184,214,0,130,127,0,140,142,0,"4,729","4,933","4,073"
,,M,128,158,140,161,163,133,540,555,533,"1,149","1,046","1,034",956,991,"1,006",578,632,586,362,434,475,302,346,354,295,256,0,232,223,0,136,139,0,170,137,0,"5,009","5,080","4,261"
WELSH BLACK X,Non Dairy,F,78,77,85,68,100,107,175,187,135,304,304,277,294,281,271,190,169,143,144,146,122,106,113,103,119,144,0,95,110,0,73,93,0,109,70,0,"1,755","1,794","1,243"
,,M,77,78,69,76,95,111,152,165,154,302,339,251,309,275,277,198,169,146,149,128,137,129,112,139,123,124,0,109,95,0,88,99,0,89,80,0,"1,801","1,759","1,284"
WELSH WHITE,Non Dairy,F,1,0,0,0,2,0,2,2,5,2,2,6,2,2,4,0,5,4,4,2,1,1,5,2,0,2,0,2,0,0,0,1,0,0,0,0,14,23,22
,,M,0,0,0,0,1,0,2,6,3,2,5,5,1,3,4,4,3,2,1,0,3,3,1,3,2,1,0,0,1,0,0,2,0,3,0,0,18,23,20
WELSH WHITE X,Non Dairy,F,0,0,0,0,0,0,0,1,1,4,1,0,1,1,1,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3
,,M,0,0,0,0,0,0,1,0,1,6,3,0,0,0,2,0,1,0,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10,6,4
WHITE GALLOWAY,Non Dairy,F,1,1,4,3,10,13,12,18,13,17,24,23,22,37,30,7,19,21,7,7,8,4,1,7,13,12,0,6,4,0,2,3,0,1,2,0,95,138,119
,,M,1,2,3,7,11,12,10,5,10,17,11,23,26,18,26,12,18,11,6,5,7,7,5,8,11,16,0,4,3,0,10,0,0,1,2,0,112,96,100
WHITE GALLOWAY X,Non Dairy,F,0,0,1,0,0,0,1,5,2,3,3,0,1,3,1,1,4,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,19,8
,,M,0,1,0,0,1,0,0,3,2,3,0,6,0,1,0,5,3,2,0,2,1,1,3,1,1,0,0,0,1,0,0,2,0,0,0,0,10,17,12
WHITE PARK,Non Dairy,F,6,4,6,26,18,26,44,59,61,62,67,47,76,43,57,36,35,28,30,39,38,23,55,30,20,12,0,17,6,0,10,9,0,1,5,0,351,352,293
,,M,4,9,5,29,26,17,40,60,71,54,48,51,62,52,53,37,31,34,34,32,32,25,50,39,12,21,0,20,15,0,7,9,0,4,6,0,328,359,302
WHITE PARK X,Non Dairy,F,3,0,2,2,4,9,4,12,10,18,9,7,4,8,7,5,15,5,1,8,7,8,11,4,1,5,0,0,1,0,4,5,0,0,2,0,50,80,51
,,M,1,2,1,2,5,9,14,16,13,6,6,8,4,10,13,6,9,1,2,5,10,10,8,5,4,3,0,1,3,0,4,0,0,2,0,0,56,67,60
WHITEBRED S/HORN X,Non Dairy,F,12,5,7,41,33,32,85,80,89,90,74,90,99,69,79,42,25,42,19,18,18,19,14,9,7,25,0,9,16,0,24,20,0,18,3,0,465,382,366
,,M,12,6,13,37,31,42,80,87,77,93,57,90,113,74,97,46,25,38,23,11,36,37,16,7,11,24,0,17,11,0,22,18,0,12,3,0,503,363,400
WHITEBRED SHORTHORN,Non Dairy,F,1,2,2,1,0,4,15,8,10,26,35,35,8,8,15,5,8,14,3,7,5,2,3,3,1,2,0,3,6,0,1,1,0,3,1,0,69,81,88
,,M,3,2,4,0,2,2,15,15,14,27,37,39,11,8,14,4,9,8,6,7,6,2,6,2,6,2,0,6,5,0,0,0,0,0,0,0,80,93,89
YAK,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
,,M,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1
