Government Regions,Breed Type,Sex,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,,Totals to Date,,
,,M,"3,910","4,188","3,889","4,518","5,016","5,108","9,087","9,928","10,265","10,977","10,981","11,213","8,575","8,789","9,082","6,461","6,749","6,659","5,414","5,913","5,558","4,478","4,968","4,815","4,485","4,924",0,"4,445","4,289",0,"3,973","3,744",0,"3,554","3,431",0,"69,877","72,920","56,589"
Yorkshire and the Humber,Dairy,F,"2,056","1,826","1,996","1,651","1,697","1,755","1,916","2,056","2,061","1,882","1,909","1,976","1,873","1,881","1,938","2,119","2,205","2,122","2,493","2,723","2,548","2,774","2,893","2,675","2,668","2,819",0,"2,496","2,424",0,"2,445","2,309",0,"1,991","2,118",0,"26,364","26,860","17,071"
,,M,"1,680","1,638","1,488","1,500","1,523","1,504","1,695","1,828","1,683","1,732","1,628","1,659","1,663","1,701","1,643","1,911","1,871","1,779","2,305","2,343","2,192","2,447","2,500","2,232","2,470","2,354",0,"2,276","1,961",0,"2,139","1,835",0,"1,800","1,665",0,"23,618","22,847","14,180"
,Non Dairy,F,"3,033","2,965","3,221","3,513","3,723","4,027","7,229","7,691","7,749","8,773","8,621","8,864","6,703","7,058","6,969","4,450","4,603","4,628","3,449","3,818","3,674","2,907","3,229","2,939","2,743","2,896",0,"2,759","2,594",0,"2,632","2,574",0,"2,425","2,568",0,"50,616","52,340","42,071"
,,M,"3,227","3,046","3,179","3,633","3,732","3,854","7,415","7,835","7,776","8,934","8,967","9,150","6,947","7,165","7,198","4,528","4,840","4,835","3,593","3,959","3,948","2,868","3,134","2,997","2,916","3,013",0,"2,968","2,757",0,"2,711","2,659",0,"2,517","2,532",0,"52,257","53,639","42,937"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breed,Breed Type,Sex,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,,Totals to Date,,
,,,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011
ABERDEEN ANGUS,Non Dairy,F,976,"1,002","1,047","1,307","1,570","1,572","3,636","3,855","4,053","4,298","4,922","5,072","3,254","3,325","3,701","2,075","2,064","2,083","1,334","1,447","1,521","1,268","1,166","1,208","1,000","1,039",0,864,944,0,885,809,0,622,720,0,"21,519","22,863","20,257"
,,M,"1,001",997,"1,040","1,346","1,578","1,647","3,914","4,107","4,198","4,674","5,072","5,491","3,487","3,597","3,950","2,137","2,228","2,281","1,455","1,547","1,578","1,284","1,332","1,338","1,135","1,163",0,866,956,0,871,868,0,717,825,0,"22,887","24,270","21,523"
ABERDEEN ANGUS X,Non Dairy,F,"4,187","4,444","4,696","5,991","6,611","6,555","12,507","13,848","14,429","14,669","15,460","16,754","11,664","12,513","13,476","7,919","7,800","8,251","6,134","6,497","7,117","6,051","6,526","6,804","6,070","6,501",0,"5,549","5,550",0,"4,879","5,332",0,"3,819","4,501",0,"89,439","95,583","78,082"
,,M,"4,160","4,528","5,048","6,181","6,618","6,929","12,834","14,360","15,003","15,690","16,419","17,550","12,560","13,202","14,417","8,080","8,346","8,905","6,510","7,159","7,621","6,412","6,820","7,224","6,387","6,863",0,"5,882","5,865",0,"5,128","5,441",0,"4,110","4,708",0,"93,934","100,329","82,697"
ANGLER ROTVIEH,Non Dairy,F,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1
,,M,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,1,0
ANGLER ROTVIEH X,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,25,0,1,0,0,0,0,0,0,0,0,1,37,0
,,M,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,18,0,0,25,0,0,0,0,0,0,0,0,0,0,1,46,2
ANKOLE,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
,,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ARMORICAINE X,Non Dairy,F,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
,,M,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
AUBRAC,Non Dairy,F,0,0,0,0,0,0,3,9,10,11,5,7,4,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,18
,,M,0,0,0,0,0,0,2,6,6,7,1,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,8,16
AUBRAC X,Non Dairy,F,0,0,0,0,0,0,2,4,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,8,1
,,M,0,0,0,0,0,0,0,4,0,2,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1
AUSTRALIAN LOWLINE,Dairy,F,0,0,0,0,1,2,0,3,1,0,1,1,0,0,1,0,0,3,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,2,1,0,2,8,10
,,M,0,0,0,0,0,1,1,0,0,0,1,3,0,1,1,0,1,4,0,1,1,0,0,2,0,1,0,0,0,0,0,2,0,1,1,0,2,8,12
AYRSHIRE,Dairy,F,490,517,539,482,551,547,648,750,715,602,670,647,544,603,616,557,609,619,613,714,716,727,753,775,794,856,0,706,691,0,624,631,0,551,596,0,"7,338","7,941","5,174"
,,M,232,290,189,231,314,197,368,460,347,366,369,367,353,343,361,421,394,354,448,432,436,467,418,516,494,524,0,432,298,0,393,324,0,321,280,0,"4,526","4,446","2,767"
AYRSHIRE X,Dairy,F,93,109,139,207,169,219,230,177,199,184,133,184,125,167,180,98,126,148,90,161,120,115,154,215,178,201,0,132,168,0,116,122,0,102,102,0,"1,670","1,789","1,404"
,,M,52,62,56,107,135,105,128,132,123,84,90,114,64,69,97,61,78,80,63,115,84,90,93,125,122,130,0,73,91,0,54,59,0,56,52,0,954,"1,106",784
BALTATA ROMANEASCA,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
BAZADAISE,Non Dairy,F,7,21,19,16,23,21,15,25,23,43,51,73,40,44,25,15,20,26,11,22,21,11,18,14,7,22,0,3,11,0,11,8,0,7,11,0,186,276,222
,,M,10,18,16,11,13,16,23,23,23,45,44,68,53,25,27,19,21,24,10,18,22,18,12,18,7,16,0,6,5,0,14,9,0,8,10,0,224,214,214
BAZADAISE X,Non Dairy,F,92,89,116,78,111,110,169,190,279,302,286,306,222,252,272,147,123,133,90,113,126,92,120,72,83,91,0,59,73,0,59,48,0,36,64,0,"1,429","1,560","1,414"
,,M,88,81,107,78,106,104,157,188,257,309,304,297,246,231,243,129,156,115,118,149,143,83,110,80,73,87,0,65,70,0,71,56,0,56,63,0,"1,473","1,601","1,346"
BEEF SHORTHORN,Non Dairy,F,60,81,88,125,153,165,481,528,492,518,601,717,383,371,443,178,189,224,126,147,152,100,102,145,105,110,0,82,75,0,38,46,0,35,30,0,"2,231","2,433","2,426"
,,M,63,94,90,115,152,144,539,517,537,532,627,670,391,371,496,206,201,277,136,119,179,111,109,137,133,120,0,86,68,0,54,53,0,39,44,0,"2,405","2,475","2,530"
