Country,Breed,Breed Type,Sex,Age Groups,Number of Cattle
 Wales , BRITISH WHITE X , Non Dairy , M , 18 to 24 months ,4
 Wales , BROWN SWISS , Dairy , F , 0 to 6 months ,133
 Wales , BROWN SWISS , Dairy , F , 6 to 12 months ,81
 Wales , BROWN SWISS , Dairy , F , 12 to 18 months ,142
 Wales , BROWN SWISS , Dairy , F , 18 to 24 months ,85
 Wales , BROWN SWISS , Dairy , F , 24 to 30 months ,110
 Wales , BROWN SWISS , Dairy , F , 30 to 36 months ,206
 Wales , BROWN SWISS , Dairy , F , 36 to 42 months ,179
 Wales , BROWN SWISS , Dairy , F , 42 to 48 Months ,99
 Wales , BROWN SWISS , Dairy , F , 48 to 54 months ,58
 Wales , BROWN SWISS , Dairy , F , 54 to 60 months ,75
 Wales , BROWN SWISS , Dairy , F , 60 to 66 months ,66
 Wales , BROWN SWISS , Dairy , F , 66 to 72 months ,72
 Wales , BROWN SWISS , Dairy , F , 72 to 78 months ,67
 Wales , BROWN SWISS , Dairy , F , 78 to 84 months ,54
 Wales , BROWN SWISS , Dairy , F , 84 to 90 months ,49
 Wales , BROWN SWISS , Dairy , F , 90 to 96 months ,28
 Wales , BROWN SWISS , Dairy , F , 96 to102 months ,20
 Wales , BROWN SWISS , Dairy , F , 102+months ,66
 Wales , BROWN SWISS , Dairy , M , 0 to 6 months ,90
 Wales , BROWN SWISS , Dairy , M , 6 to 12 months ,43
 Wales , BROWN SWISS , Dairy , M , 12 to 18 months ,77
 Wales , BROWN SWISS , Dairy , M , 18 to 24 months ,48
 Wales , BROWN SWISS , Dairy , M , 24 to 30 months ,27
 Wales , BROWN SWISS , Dairy , M , 30 to 36 months ,10
 Wales , BROWN SWISS , Dairy , M , 36 to 42 months ,4
 Wales , BROWN SWISS , Dairy , M , 42 to 48 Months ,2
 Wales , BROWN SWISS , Dairy , M , 72 to 78 months ,1
 Wales , BROWN SWISS , Dairy , M , 90 to 96 months ,1
 Wales , BROWN SWISS , Dairy ,, 12 to 18 months ,1
 Wales , BROWN SWISS X , Dairy , F , 0 to 6 months ,117
 Wales , BROWN SWISS X , Dairy , F , 6 to 12 months ,131
 Wales , BROWN SWISS X , Dairy , F , 12 to 18 months ,88
 Wales , BROWN SWISS X , Dairy , F , 18 to 24 months ,173
 Wales , BROWN SWISS X , Dairy , F , 24 to 30 months ,175
 Wales , BROWN SWISS X , Dairy , F , 30 to 36 months ,92
 Wales , BROWN SWISS X , Dairy , F , 36 to 42 months ,111
 Wales , BROWN SWISS X , Dairy , F , 42 to 48 Months ,211
 Wales , BROWN SWISS X , Dairy , F , 48 to 54 months ,142
 Wales , BROWN SWISS X , Dairy , F , 54 to 60 months ,145
 Wales , BROWN SWISS X , Dairy , F , 60 to 66 months ,120
 Wales , BROWN SWISS X , Dairy , F , 66 to 72 months ,182
 Wales , BROWN SWISS X , Dairy , F , 72 to 78 months ,102
 Wales , BROWN SWISS X , Dairy , F , 78 to 84 months ,86
 Wales , BROWN SWISS X , Dairy , F , 84 to 90 months ,75
 Wales , BROWN SWISS X , Dairy , F , 90 to 96 months ,27
 Wales , BROWN SWISS X , Dairy , F , 96 to102 months ,52
 Wales , BROWN SWISS X , Dairy , F , 102+months ,91
 Wales , BROWN SWISS X , Dairy , M , 0 to 6 months ,135
 Wales , BROWN SWISS X , Dairy , M , 6 to 12 months ,103
 Wales , BROWN SWISS X , Dairy , M , 12 to 18 months ,104
 Wales , BROWN SWISS X , Dairy , M , 18 to 24 months ,56
 Wales , BROWN SWISS X , Dairy , M , 24 to 30 months ,39
 Wales , BROWN SWISS X , Dairy , M , 30 to 36 months ,14
 Wales , BROWN SWISS X , Dairy , M , 36 to 42 months ,3
 Wales , BROWN SWISS X , Dairy , M , 42 to 48 Months ,1
 Wales , BROWN SWISS X , Dairy , M , 54 to 60 months ,1
 Wales , BROWN SWISS X , Dairy , M , 72 to 78 months ,1
 Wales , BROWN SWISS X , Dairy , M , 102+months ,1
 Wales , CANADIAN ANGUS X , Non Dairy , F , 102+months ,2
 Wales , CHAROLAIS , Non Dairy , F , 0 to 6 months ,782
 Wales , CHAROLAIS , Non Dairy , F , 6 to 12 months ,"1,066"
 Wales , CHAROLAIS , Non Dairy , F , 12 to 18 months ,700
 Wales , CHAROLAIS , Non Dairy , F , 18 to 24 months ,875
 Wales , CHAROLAIS , Non Dairy , F , 24 to 30 months ,348
 Wales , CHAROLAIS , Non Dairy , F , 30 to 36 months ,407
 Wales , CHAROLAIS , Non Dairy , F , 36 to 42 months ,176
 Wales , CHAROLAIS , Non Dairy , F , 42 to 48 Months ,346
 Wales , CHAROLAIS , Non Dairy , F , 48 to 54 months ,175
 Wales , CHAROLAIS , Non Dairy , F , 54 to 60 months ,278
 Wales , CHAROLAIS , Non Dairy , F , 60 to 66 months ,178
 Wales , CHAROLAIS , Non Dairy , F , 66 to 72 months ,250
 Wales , CHAROLAIS , Non Dairy , F , 72 to 78 months ,165
 Wales , CHAROLAIS , Non Dairy , F , 78 to 84 months ,231
 Wales , CHAROLAIS , Non Dairy , F , 84 to 90 months ,120
 Wales , CHAROLAIS , Non Dairy , F , 90 to 96 months ,215
 Wales , CHAROLAIS , Non Dairy , F , 96 to102 months ,117
 Wales , CHAROLAIS , Non Dairy , F , 102+months ,"1,031"
 Wales , CHAROLAIS , Non Dairy , F ,,2
 Wales , CHAROLAIS , Non Dairy , M , 0 to 6 months ,890
 Wales , CHAROLAIS , Non Dairy , M , 6 to 12 months ,"1,040"
 Wales , CHAROLAIS , Non Dairy , M , 12 to 18 months ,598
 Wales , CHAROLAIS , Non Dairy , M , 18 to 24 months ,694
 Wales , CHAROLAIS , Non Dairy , M , 24 to 30 months ,268
 Wales , CHAROLAIS , Non Dairy , M , 30 to 36 months ,267
 Wales , CHAROLAIS , Non Dairy , M , 36 to 42 months ,119
 Wales , CHAROLAIS , Non Dairy , M , 42 to 48 Months ,174
 Wales , CHAROLAIS , Non Dairy , M , 48 to 54 months ,108
 Wales , CHAROLAIS , Non Dairy , M , 54 to 60 months ,168
 Wales , CHAROLAIS , Non Dairy , M , 60 to 66 months ,78
 Wales , CHAROLAIS , Non Dairy , M , 66 to 72 months ,112
 Wales , CHAROLAIS , Non Dairy , M , 72 to 78 months ,79
 Wales , CHAROLAIS , Non Dairy , M , 78 to 84 months ,114
 Wales , CHAROLAIS , Non Dairy , M , 84 to 90 months ,51
 Wales , CHAROLAIS , Non Dairy , M , 90 to 96 months ,78
 Wales , CHAROLAIS , Non Dairy , M , 96 to102 months ,48
 Wales , CHAROLAIS , Non Dairy , M , 102+months ,281
 Wales , CHAROLAIS X , Non Dairy , F , 0 to 6 months ,"6,437"
 Wales , CHAROLAIS X , Non Dairy , F , 6 to 12 months ,"12,366"
 Wales , CHAROLAIS X , Non Dairy , F , 12 to 18 months ,"5,103"
 Wales , CHAROLAIS X , Non Dairy , F , 18 to 24 months ,"7,933"
 Wales , CHAROLAIS X , Non Dairy , F , 24 to 30 months ,"1,664"
 Wales , CHAROLAIS X , Non Dairy , F , 30 to 36 months ,"1,250"
 Wales , CHAROLAIS X , Non Dairy , F , 36 to 42 months ,475
 Wales , CHAROLAIS X , Non Dairy , F , 42 to 48 Months ,825
 Wales , CHAROLAIS X , Non Dairy , F , 48 to 54 months ,425
 Wales , CHAROLAIS X , Non Dairy , F , 54 to 60 months ,641
 Wales , CHAROLAIS X , Non Dairy , F , 60 to 66 months ,316
 Wales , CHAROLAIS X , Non Dairy , F , 66 to 72 months ,631
 Wales , CHAROLAIS X , Non Dairy , F , 72 to 78 months ,403
 Wales , CHAROLAIS X , Non Dairy , F , 78 to 84 months ,670
 Wales , CHAROLAIS X , Non Dairy , F , 84 to 90 months ,396
 Wales , CHAROLAIS X , Non Dairy , F , 90 to 96 months ,544
 Wales , CHAROLAIS X , Non Dairy , F , 96 to102 months ,345
 Wales , CHAROLAIS X , Non Dairy , F , 102+months ,"3,606"
 Wales , CHAROLAIS X , Non Dairy , F ,,19
 Wales , CHAROLAIS X , Non Dairy , M , 0 to 6 months ,"6,641"
 Wales , CHAROLAIS X , Non Dairy , M , 6 to 12 months ,"12,412"
 Wales , CHAROLAIS X , Non Dairy , M , 12 to 18 months ,"4,912"
 Wales , CHAROLAIS X , Non Dairy , M , 18 to 24 months ,"7,358"
 Wales , CHAROLAIS X , Non Dairy , M , 24 to 30 months ,"1,618"
 Wales , CHAROLAIS X , Non Dairy , M , 30 to 36 months ,529
 Wales , CHAROLAIS X , Non Dairy , M , 36 to 42 months ,88
 Wales , CHAROLAIS X , Non Dairy , M , 42 to 48 Months ,70
 Wales , CHAROLAIS X , Non Dairy , M , 48 to 54 months ,12
 Wales , CHAROLAIS X , Non Dairy , M , 54 to 60 months ,22
 Wales , CHAROLAIS X , Non Dairy , M , 60 to 66 months ,11
 Wales , CHAROLAIS X , Non Dairy , M , 66 to 72 months ,33
 Wales , CHAROLAIS X , Non Dairy , M , 72 to 78 months ,10
 Wales , CHAROLAIS X , Non Dairy , M , 78 to 84 months ,29
 Wales , CHAROLAIS X , Non Dairy , M , 84 to 90 months ,8
 Wales , CHAROLAIS X , Non Dairy , M , 90 to 96 months ,15
 Wales , CHAROLAIS X , Non Dairy , M , 96 to102 months ,12
 Wales , CHAROLAIS X , Non Dairy , M , 102+months ,117
 Wales , CHAROLAIS X , Non Dairy , M ,,3
 Wales , CHIANINA , Non Dairy , F , 6 to 12 months ,2
 Wales , CHIANINA , Non Dairy , F , 102+months ,1
 Wales , CHIANINA X , Non Dairy , F , 6 to 12 months ,1
 Wales , CHIANINA X , Non Dairy , F , 12 to 18 months ,2
 Wales , CHIANINA X , Non Dairy , F , 30 to 36 months ,2
 Wales , CHIANINA X , Non Dairy , F , 48 to 54 months ,1
 Wales , CHIANINA X , Non Dairy , M , 0 to 6 months ,1
 Wales , CHIANINA X , Non Dairy , M , 6 to 12 months ,2
 Wales , CHIANINA X , Non Dairy , M , 12 to 18 months ,1
 Wales , CHIANINA X , Non Dairy , M , 18 to 24 months ,5
 Wales , CHIANINA X , Non Dairy , M , 30 to 36 months ,1
 Wales , CHIANINA X , Non Dairy , M , 54 to 60 months ,1
 Wales , CHILLINGHAM X , Non Dairy , F , 12 to 18 months ,1
 Wales , CHILLINGHAM X , Non Dairy , F , 54 to 60 months ,1
 Wales , CHILLINGHAM X , Non Dairy , M , 6 to 12 months ,2
 Wales , CHILLINGHAM X , Non Dairy , M , 12 to 18 months ,1
 Wales , CHILLINGHAM X , Non Dairy , M , 18 to 24 months ,1
 Wales , COLOURED WELSH , Non Dairy , F , 0 to 6 months ,4
 Wales , COLOURED WELSH , Non Dairy , F , 6 to 12 months ,4
 Wales , COLOURED WELSH , Non Dairy , F , 18 to 24 months ,2
 Wales , COLOURED WELSH , Non Dairy , F , 24 to 30 months ,3
 Wales , COLOURED WELSH , Non Dairy , F , 30 to 36 months ,1
 Wales , COLOURED WELSH , Non Dairy , F , 36 to 42 months ,1
 Wales , COLOURED WELSH , Non Dairy , M , 0 to 6 months ,2
 Wales , COLOURED WELSH , Non Dairy , M , 12 to 18 months ,1
 Wales , COLOURED WELSH , Non Dairy , M , 18 to 24 months ,4
 Wales , COLOURED WELSH CROSS , Non Dairy , F , 0 to 6 months ,1
 Wales , COLOURED WELSH CROSS , Non Dairy , F , 18 to 24 months ,2
 Wales , COLOURED WELSH CROSS , Non Dairy , M , 30 to 36 months ,1
 Wales , CROSS BREED BEEF , Non Dairy , F , 6 to 12 months ,8
 Wales , CROSS BREED BEEF , Non Dairy , F , 18 to 24 months ,7
 Wales , CROSS BREED BEEF , Non Dairy , F , 24 to 30 months ,2
 Wales , CROSS BREED BEEF , Non Dairy , F , 30 to 36 months ,1
 Wales , CROSS BREED BEEF , Non Dairy , F , 36 to 42 months ,3
 Wales , CROSS BREED BEEF , Non Dairy , F , 42 to 48 Months ,8
 Wales , CROSS BREED BEEF , Non Dairy , F , 48 to 54 months ,1
 Wales , CROSS BREED BEEF , Non Dairy , F , 54 to 60 months ,10
 Wales , CROSS BREED BEEF , Non Dairy , F , 60 to 66 months ,2
 Wales , CROSS BREED BEEF , Non Dairy , F , 72 to 78 months ,2
 Wales , CROSS BREED BEEF , Non Dairy , F , 78 to 84 months ,4
 Wales , CROSS BREED BEEF , Non Dairy , F , 84 to 90 months ,1
 Wales , CROSS BREED BEEF , Non Dairy , F , 96 to102 months ,2
 Wales , CROSS BREED BEEF , Non Dairy , F , 102+months ,7
 Wales , CROSS BREED BEEF , Non Dairy , F ,,1
 Wales , CROSS BREED BEEF , Non Dairy , M , 0 to 6 months ,2
 Wales , CROSS BREED BEEF , Non Dairy , M , 6 to 12 months ,7
 Wales , CROSS BREED BEEF , Non Dairy , M , 12 to 18 months ,2
 Wales , CROSS BREED BEEF , Non Dairy , M , 18 to 24 months ,1
 Wales , CROSS BREED BEEF , Non Dairy , M , 24 to 30 months ,4
 Wales , CROSS BREED BEEF , Non Dairy , M , 36 to 42 months ,1
 Wales , CROSS BREED DAIRY , Dairy , F , 0 to 6 months ,129
 Wales , CROSS BREED DAIRY , Dairy , F , 6 to 12 months ,559
 Wales , CROSS BREED DAIRY , Dairy , F , 12 to 18 months ,138
 Wales , CROSS BREED DAIRY , Dairy , F , 18 to 24 months ,612
 Wales , CROSS BREED DAIRY , Dairy , F , 24 to 30 months ,154
 Wales , CROSS BREED DAIRY , Dairy , F , 30 to 36 months ,356
 Wales , CROSS BREED DAIRY , Dairy , F , 36 to 42 months ,172
 Wales , CROSS BREED DAIRY , Dairy , F , 42 to 48 Months ,186
 Wales , CROSS BREED DAIRY , Dairy , F , 48 to 54 months ,66
 Wales , CROSS BREED DAIRY , Dairy , F , 54 to 60 months ,192
 Wales , CROSS BREED DAIRY , Dairy , F , 60 to 66 months ,35
 Wales , CROSS BREED DAIRY , Dairy , F , 66 to 72 months ,130
 Wales , CROSS BREED DAIRY , Dairy , F , 72 to 78 months ,25
 Wales , CROSS BREED DAIRY , Dairy , F , 78 to 84 months ,180
 Wales , CROSS BREED DAIRY , Dairy , F , 84 to 90 months ,3
 Wales , CROSS BREED DAIRY , Dairy , F , 90 to 96 months ,96
 Wales , CROSS BREED DAIRY , Dairy , F , 96 to102 months ,8
 Wales , CROSS BREED DAIRY , Dairy , F , 102+months ,47
 Wales , CROSS BREED DAIRY , Dairy , F ,,116
 Wales , CROSS BREED DAIRY , Dairy , M , 0 to 6 months ,1
 Wales , CROSS BREED DAIRY , Dairy , M , 6 to 12 months ,36
 Wales , CROSS BREED DAIRY , Dairy , M , 12 to 18 months ,8
 Wales , CROSS BREED DAIRY , Dairy , M , 18 to 24 months ,26
 Wales , CROSS BREED DAIRY , Dairy , M , 24 to 30 months ,3
 Wales , CROSS BREED DAIRY , Dairy , M , 30 to 36 months ,8
 Wales , CROSS BREED DAIRY , Dairy , M , 36 to 42 months ,1
 Wales , CROSS BREED DAIRY , Dairy , M , 42 to 48 Months ,3
 Wales , CROSS BREED DAIRY , Dairy , M , 60 to 66 months ,1
 Wales , CROSS BREED DAIRY , Dairy , M , 72 to 78 months ,1
 Wales , DAIRY SHORTHORN , Dairy , F , 0 to 6 months ,182
 Wales , DAIRY SHORTHORN , Dairy , F , 6 to 12 months ,230
 Wales , DAIRY SHORTHORN , Dairy , F , 12 to 18 months ,172
 Wales , DAIRY SHORTHORN , Dairy , F , 18 to 24 months ,218
 Wales , DAIRY SHORTHORN , Dairy , F , 24 to 30 months ,144
 Wales , DAIRY SHORTHORN , Dairy , F , 30 to 36 months ,165
 Wales , DAIRY SHORTHORN , Dairy , F , 36 to 42 months ,123
 Wales , DAIRY SHORTHORN , Dairy , F , 42 to 48 Months ,142
 Wales , DAIRY SHORTHORN , Dairy , F , 48 to 54 months ,93
 Wales , DAIRY SHORTHORN , Dairy , F , 54 to 60 months ,136
 Wales , DAIRY SHORTHORN , Dairy , F , 60 to 66 months ,84
 Wales , DAIRY SHORTHORN , Dairy , F , 66 to 72 months ,116
 Wales , DAIRY SHORTHORN , Dairy , F , 72 to 78 months ,58
 Wales , DAIRY SHORTHORN , Dairy , F , 78 to 84 months ,65
 Wales , DAIRY SHORTHORN , Dairy , F , 84 to 90 months ,42
 Wales , DAIRY SHORTHORN , Dairy , F , 90 to 96 months ,47
 Wales , DAIRY SHORTHORN , Dairy , F , 96 to102 months ,31
 Wales , DAIRY SHORTHORN , Dairy , F , 102+months ,150
 Wales , DAIRY SHORTHORN , Dairy , M , 0 to 6 months ,49
 Wales , DAIRY SHORTHORN , Dairy , M , 6 to 12 months ,60
 Wales , DAIRY SHORTHORN , Dairy , M , 12 to 18 months ,50
 Wales , DAIRY SHORTHORN , Dairy , M , 18 to 24 months ,16
 Wales , DAIRY SHORTHORN , Dairy , M , 24 to 30 months ,35
 Wales , DAIRY SHORTHORN , Dairy , M , 30 to 36 months ,15
 Wales , DAIRY SHORTHORN , Dairy , M , 36 to 42 months ,5
 Wales , DAIRY SHORTHORN , Dairy , M , 42 to 48 Months ,6
 Wales , DAIRY SHORTHORN , Dairy , M , 48 to 54 months ,5
 Wales , DAIRY SHORTHORN , Dairy , M , 54 to 60 months ,2
 Wales , DAIRY SHORTHORN , Dairy , M , 60 to 66 months ,2
 Wales , DAIRY SHORTHORN , Dairy , M , 66 to 72 months ,1
 Wales , DAIRY SHORTHORN , Dairy , M , 78 to 84 months ,1
 Wales , DAIRY SHORTHORN , Dairy , M , 84 to 90 months ,1
 Wales , DAIRY SHORTHORN , Dairy , M , 90 to 96 months ,1
 Wales , DAIRY SHORTHORN , Dairy , M , 96 to102 months ,4
 Wales , DAIRY SHORTHORN , Dairy , M , 102+months ,1
 Wales , DAIRY SHORTHORN X , Dairy , F , 0 to 6 months ,43
 Wales , DAIRY SHORTHORN X , Dairy , F , 6 to 12 months ,81
 Wales , DAIRY SHORTHORN X , Dairy , F , 12 to 18 months ,56
 Wales , DAIRY SHORTHORN X , Dairy , F , 18 to 24 months ,82
 Wales , DAIRY SHORTHORN X , Dairy , F , 24 to 30 months ,65
 Wales , DAIRY SHORTHORN X , Dairy , F , 30 to 36 months ,100
 Wales , DAIRY SHORTHORN X , Dairy , F , 36 to 42 months ,57
 Wales , DAIRY SHORTHORN X , Dairy , F , 42 to 48 Months ,120
 Wales , DAIRY SHORTHORN X , Dairy , F , 48 to 54 months ,63
 Wales , DAIRY SHORTHORN X , Dairy , F , 54 to 60 months ,79
 Wales , DAIRY SHORTHORN X , Dairy , F , 60 to 66 months ,24
 Wales , DAIRY SHORTHORN X , Dairy , F , 66 to 72 months ,74
 Wales , DAIRY SHORTHORN X , Dairy , F , 72 to 78 months ,21
 Wales , DAIRY SHORTHORN X , Dairy , F , 78 to 84 months ,29
 Wales , DAIRY SHORTHORN X , Dairy , F , 84 to 90 months ,21
 Wales , DAIRY SHORTHORN X , Dairy , F , 90 to 96 months ,18
 Wales , DAIRY SHORTHORN X , Dairy , F , 96 to102 months ,19
 Wales , DAIRY SHORTHORN X , Dairy , F , 102+months ,34
 Wales , DAIRY SHORTHORN X , Dairy , M , 0 to 6 months ,28
 Wales , DAIRY SHORTHORN X , Dairy , M , 6 to 12 months ,36
 Wales , DAIRY SHORTHORN X , Dairy , M , 12 to 18 months ,10
 Wales , DAIRY SHORTHORN X , Dairy , M , 18 to 24 months ,19
 Wales , DAIRY SHORTHORN X , Dairy , M , 24 to 30 months ,24
 Wales , DAIRY SHORTHORN X , Dairy , M , 30 to 36 months ,15
 Wales , DAIRY SHORTHORN X , Dairy , M , 36 to 42 months ,1
 Wales , DANISH RED , Non Dairy , F , 0 to 6 months ,5
 Wales , DANISH RED , Non Dairy , F , 6 to 12 months ,2
 Wales , DANISH RED , Non Dairy , F , 12 to 18 months ,4
 Wales , DANISH RED , Non Dairy , F , 18 to 24 months ,11
 Wales , DANISH RED , Non Dairy , F , 24 to 30 months ,2
 Wales , DANISH RED , Non Dairy , F , 30 to 36 months ,12
 Wales , DANISH RED , Non Dairy , F , 36 to 42 months ,8
 Wales , DANISH RED , Non Dairy , F , 42 to 48 Months ,19
 Wales , DANISH RED , Non Dairy , F , 48 to 54 months ,23
 Wales , DANISH RED , Non Dairy , F , 54 to 60 months ,4
 Wales , DANISH RED , Non Dairy , F , 60 to 66 months ,16
 Wales , DANISH RED , Non Dairy , F , 66 to 72 months ,1
 Wales , DANISH RED , Non Dairy , F , 72 to 78 months ,1
 Wales , DANISH RED , Non Dairy , F , 78 to 84 months ,4
 Wales , DANISH RED , Non Dairy , F , 84 to 90 months ,8
 Wales , DANISH RED , Non Dairy , F , 90 to 96 months ,2
 Wales , DANISH RED , Non Dairy , F , 96 to102 months ,1
 Wales , DANISH RED , Non Dairy , F , 102+months ,27
 Wales , DANISH RED , Non Dairy , M , 0 to 6 months ,2
 Wales , DANISH RED , Non Dairy , M , 6 to 12 months ,2
 Wales , DANISH RED , Non Dairy , M , 12 to 18 months ,5
 Wales , DANISH RED , Non Dairy , M , 18 to 24 months ,10
 Wales , DANISH RED , Non Dairy , M , 30 to 36 months ,4
 Wales , DANISH RED X , Non Dairy , F , 0 to 6 months ,1
 Wales , DANISH RED X , Non Dairy , F , 6 to 12 months ,5
 Wales , DANISH RED X , Non Dairy , F , 12 to 18 months ,12
 Wales , DANISH RED X , Non Dairy , F , 18 to 24 months ,18
 Wales , DANISH RED X , Non Dairy , F , 24 to 30 months ,5
 Wales , DANISH RED X , Non Dairy , F , 30 to 36 months ,5
 Wales , DANISH RED X , Non Dairy , F , 42 to 48 Months ,1
 Wales , DANISH RED X , Non Dairy , F , 48 to 54 months ,3
 Wales , DANISH RED X , Non Dairy , F , 54 to 60 months ,3
 Wales , DANISH RED X , Non Dairy , F , 60 to 66 months ,2
 Wales , DANISH RED X , Non Dairy , F , 66 to 72 months ,2
 Wales , DANISH RED X , Non Dairy , F , 72 to 78 months ,19
 Wales , DANISH RED X , Non Dairy , F , 78 to 84 months ,2
 Wales , DANISH RED X , Non Dairy , F , 84 to 90 months ,3
 Wales , DANISH RED X , Non Dairy , F , 96 to102 months ,4
 Wales , DANISH RED X , Non Dairy , F , 102+months ,1
 Wales , DANISH RED X , Non Dairy , M , 0 to 6 months ,3
 Wales , DANISH RED X , Non Dairy , M , 6 to 12 months ,1
 Wales , DANISH RED X , Non Dairy , M , 12 to 18 months ,9
 Wales , DANISH RED X , Non Dairy , M , 18 to 24 months ,1
 Wales , DANISH RED X , Non Dairy , M , 24 to 30 months ,1
 Wales , DEVON , Non Dairy , F , 0 to 6 months ,5
 Wales , DEVON , Non Dairy , F , 6 to 12 months ,21
 Wales , DEVON , Non Dairy , F , 12 to 18 months ,18
 Wales , DEVON , Non Dairy , F , 18 to 24 months ,27
 Wales , DEVON , Non Dairy , F , 24 to 30 months ,6
 Wales , DEVON , Non Dairy , F , 30 to 36 months ,40
 Wales , DEVON , Non Dairy , F , 36 to 42 months ,18
 Wales , DEVON , Non Dairy , F , 42 to 48 Months ,17
 Wales , DEVON , Non Dairy , F , 48 to 54 months ,3
 Wales , DEVON , Non Dairy , F , 54 to 60 months ,12
 Wales , DEVON , Non Dairy , F , 60 to 66 months ,11
 Wales , DEVON , Non Dairy , F , 66 to 72 months ,13
 Wales , DEVON , Non Dairy , F , 72 to 78 months ,5
 Wales , DEVON , Non Dairy , F , 78 to 84 months ,18
 Wales , DEVON , Non Dairy , F , 84 to 90 months ,1
 Wales , DEVON , Non Dairy , F , 90 to 96 months ,10
 Wales , DEVON , Non Dairy , F , 96 to102 months ,1
 Wales , DEVON , Non Dairy , F , 102+months ,18
 Wales , DEVON , Non Dairy , M , 0 to 6 months ,16
 Wales , DEVON , Non Dairy , M , 6 to 12 months ,29
 Wales , DEVON , Non Dairy , M , 12 to 18 months ,16
 Wales , DEVON , Non Dairy , M , 18 to 24 months ,40
 Wales , DEVON , Non Dairy , M , 24 to 30 months ,5
 Wales , DEVON , Non Dairy , M , 30 to 36 months ,1
 Wales , DEVON , Non Dairy , M , 42 to 48 Months ,2
 Wales , DEVON , Non Dairy , M , 48 to 54 months ,1
 Wales , DEVON , Non Dairy , M , 78 to 84 months ,2
 Wales , DEVON X , Non Dairy , F , 0 to 6 months ,12
 Wales , DEVON X , Non Dairy , F , 6 to 12 months ,21
 Wales , DEVON X , Non Dairy , F , 12 to 18 months ,21
 Wales , DEVON X , Non Dairy , F , 18 to 24 months ,17
 Wales , DEVON X , Non Dairy , F , 24 to 30 months ,14
 Wales , DEVON X , Non Dairy , F , 30 to 36 months ,5
 Wales , DEVON X , Non Dairy , F , 36 to 42 months ,1
 Wales , DEVON X , Non Dairy , F , 42 to 48 Months ,4
 Wales , DEVON X , Non Dairy , F , 48 to 54 months ,7
 Wales , DEVON X , Non Dairy , F , 54 to 60 months ,5
 Wales , DEVON X , Non Dairy , F , 60 to 66 months ,3
 Wales , DEVON X , Non Dairy , F , 66 to 72 months ,8
 Wales , DEVON X , Non Dairy , F , 72 to 78 months ,5
 Wales , DEVON X , Non Dairy , F , 78 to 84 months ,3
 Wales , DEVON X , Non Dairy , F , 84 to 90 months ,3
 Wales , DEVON X , Non Dairy , F , 90 to 96 months ,5
 Wales , DEVON X , Non Dairy , F , 96 to102 months ,3
 Wales , DEVON X , Non Dairy , F , 102+months ,18
 Wales , DEVON X , Non Dairy , M , 0 to 6 months ,13
 Wales , DEVON X , Non Dairy , M , 6 to 12 months ,13
 Wales , DEVON X , Non Dairy , M , 12 to 18 months ,19
 Wales , DEVON X , Non Dairy , M , 18 to 24 months ,24
 Wales , DEVON X , Non Dairy , M , 24 to 30 months ,10
 Wales , DEVON X , Non Dairy , M , 30 to 36 months ,7
 Wales , DEXTER , Non Dairy , F , 0 to 6 months ,68
 Wales , DEXTER , Non Dairy , F , 6 to 12 months ,120
 Wales , DEXTER , Non Dairy , F , 12 to 18 months ,90
 Wales , DEXTER , Non Dairy , F , 18 to 24 months ,135
 Wales , DEXTER , Non Dairy , F , 24 to 30 months ,54
 Wales , DEXTER , Non Dairy , F , 30 to 36 months ,109
 Wales , DEXTER , Non Dairy , F , 36 to 42 months ,46
 Wales , DEXTER , Non Dairy , F , 42 to 48 Months ,108
 Wales , DEXTER , Non Dairy , F , 48 to 54 months ,43
 Wales , DEXTER , Non Dairy , F , 54 to 60 months ,78
 Wales , DEXTER , Non Dairy , F , 60 to 66 months ,38
 Wales , DEXTER , Non Dairy , F , 66 to 72 months ,75
 Wales , DEXTER , Non Dairy , F , 72 to 78 months ,32
 Wales , DEXTER , Non Dairy , F , 78 to 84 months ,41
 Wales , DEXTER , Non Dairy , F , 84 to 90 months ,32
 Wales , DEXTER , Non Dairy , F , 90 to 96 months ,72
 Wales , DEXTER , Non Dairy , F , 96 to102 months ,19
 Wales , DEXTER , Non Dairy , F , 102+months ,291
 Wales , DEXTER , Non Dairy , F ,,8
 Wales , DEXTER , Non Dairy , M , 0 to 6 months ,84
 Wales , DEXTER , Non Dairy , M , 6 to 12 months ,140
 Wales , DEXTER , Non Dairy , M , 12 to 18 months ,80
 Wales , DEXTER , Non Dairy , M , 18 to 24 months ,136
 Wales , DEXTER , Non Dairy , M , 24 to 30 months ,33
 Wales , DEXTER , Non Dairy , M , 30 to 36 months ,73
 Wales , DEXTER , Non Dairy , M , 36 to 42 months ,16
 Wales , DEXTER , Non Dairy , M , 42 to 48 Months ,18
 Wales , DEXTER , Non Dairy , M , 48 to 54 months ,1
 Wales , DEXTER , Non Dairy , M , 54 to 60 months ,14
 Wales , DEXTER , Non Dairy , M , 60 to 66 months ,4
 Wales , DEXTER , Non Dairy , M , 66 to 72 months ,4
 Wales , DEXTER , Non Dairy , M , 72 to 78 months ,3
 Wales , DEXTER , Non Dairy , M , 78 to 84 months ,5
 Wales , DEXTER , Non Dairy , M , 84 to 90 months ,2
