,Breed Type,Sex,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,,Totals to Date,,
GUERNSEY,Dairy,F,5,5,3,3,4,3,4,1,6,5,5,0,2,0,2,3,1,1,3,3,0,3,1,0,6,5,0,1,1,0,4,5,0,4,4,,43,35,15
,,M,3,1,3,2,2,3,4,0,4,3,1,5,3,6,5,0,2,0,1,3,0,7,4,0,3,3,0,1,6,0,4,6,0,2,4,,33,38,20
GUERNSEY X,Dairy,F,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,3,0,4
,,M,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0
HECK,Non Dairy,F,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1
HECK CROSS,Non Dairy,F,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1
HEREFORD,Non Dairy,F,9,2,10,6,7,9,13,17,24,20,12,26,14,19,9,9,12,3,4,4,0,4,4,0,5,4,0,6,6,0,3,8,0,2,7,,95,102,81
,,M,5,5,8,2,10,11,12,27,28,13,24,34,19,13,22,9,5,9,8,3,0,5,7,0,5,7,0,3,4,0,6,5,0,1,10,,88,120,112
HEREFORD X,Non Dairy,F,60,48,60,39,58,53,84,80,81,75,87,115,44,74,68,40,44,30,27,35,0,40,32,0,38,29,0,34,50,0,36,48,0,34,56,,551,641,407
,,M,64,68,52,64,92,71,85,97,113,87,115,134,68,96,90,46,43,37,35,41,0,45,37,0,38,44,0,41,49,0,57,50,0,58,76,,688,808,497
HIGHLAND,Non Dairy,F,0,1,3,3,4,5,6,5,8,6,3,2,5,5,4,4,2,6,2,1,0,3,2,0,1,4,0,2,0,0,0,0,0,0,1,,32,28,28
,,M,1,4,2,1,1,1,5,5,12,8,15,11,11,6,7,1,4,1,6,0,0,3,0,0,1,0,0,0,0,0,2,2,0,1,0,,40,37,34
