,Breed Type,Sex,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,,Totals to Date,,
,,M,3,0,0,1,0,0,1,4,6,4,3,4,5,3,5,0,1,0,2,3,0,1,4,0,0,2,0,3,1,0,0,2,0,0,0,,20,23,15
LONGHORN X,Non Dairy,F,0,0,0,0,0,0,0,0,2,0,2,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2,5,4
,,M,0,1,0,1,1,0,1,0,5,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2,7,7
LUING,Non Dairy,F,0,0,0,0,0,0,0,2,5,6,4,2,1,3,4,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,9,12,12
,,M,0,0,0,0,0,0,1,5,10,6,5,6,0,6,4,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,,11,18,21
LUING X,Non Dairy,F,0,0,1,0,0,0,2,0,0,0,1,2,2,3,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,8,4,3
,,M,0,1,0,0,0,0,0,0,0,1,1,1,1,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,5,4,4
MAINE ANJOU X,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,1,0
,,M,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,2,0
MARCHIGIANA X,Non Dairy,F,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,4,1,0
,,M,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,0
MEUSE RHINE ISSEL,Non Dairy,F,3,1,1,0,1,3,2,2,1,4,1,1,1,0,1,0,0,0,2,0,0,2,2,0,1,3,0,0,1,0,1,1,0,0,1,,16,13,7
,,M,2,4,1,4,3,2,3,4,2,1,5,2,3,1,2,3,1,1,0,1,0,5,0,0,4,1,0,1,1,0,3,2,0,1,1,,30,24,10
MEUSE RHINE ISSEL X,Non Dairy,F,2,0,0,2,0,1,0,3,4,1,1,1,0,0,3,0,1,0,0,1,0,0,3,0,0,1,0,0,0,0,1,0,0,0,2,,6,12,9
,,M,4,3,1,0,1,1,6,2,3,2,0,3,2,3,1,3,0,0,2,2,0,3,2,0,3,2,0,0,0,0,2,1,0,1,2,,28,18,9
MONTBELIARDE,Non Dairy,F,15,6,5,7,5,6,6,2,6,3,5,5,0,3,3,5,6,5,3,8,0,1,3,0,8,6,0,8,6,0,4,7,0,5,11,,65,68,30
,,M,9,15,6,6,8,5,14,6,11,1,5,2,2,4,8,1,1,1,4,6,0,5,3,0,9,6,0,6,8,0,7,6,0,12,10,,76,78,33
MONTBELIARDE X,Non Dairy,F,27,15,15,13,17,30,19,18,34,8,18,9,10,11,10,9,10,5,10,9,0,10,9,0,14,15,0,9,15,0,10,19,0,20,13,,159,169,103
,,M,27,15,15,12,22,19,29,26,30,21,18,23,15,19,19,16,6,8,9,7,0,18,20,0,17,17,0,18,20,0,15,19,0,29,18,,226,207,114
MURRAY GREY,Non Dairy,F,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,2,3,0
,,M,1,2,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,2,3,6
MURRAY GREY X,Non Dairy,F,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,3,3,0
,,M,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,,2,3,2
NORMANDE,Non Dairy,F,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,0,2
,,M,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2
NORMANDE X,Non Dairy,F,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,1,0
,,M,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,4
NORTHERN DAIRY SH,Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1
,,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1
NORWEGIAN RED,Non Dairy,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1
,,M,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,,0,4,0
NORWEGIAN RED X,Non Dairy,F,1,3,3,3,6,10,5,4,4,0,0,3,1,0,1,2,1,1,3,2,0,1,7,0,8,11,0,5,12,0,6,8,0,2,6,,37,60,22
,,M,6,4,2,3,4,5,7,11,5,1,3,8,1,3,2,0,1,3,3,1,0,6,11,0,16,21,0,6,9,0,3,11,0,4,5,,56,84,25
PARTHENAIS X,Non Dairy,F,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1
,,M,1,0,0,0,0,1,1,0,2,2,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,1,3
PIEMONTESE,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,1,0
,,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0
PIEMONTESE X,Non Dairy,F,1,0,0,0,0,1,0,0,0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,5,2,3
,,M,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2,2,0
RED POLL,Non Dairy,F,1,0,0,1,2,3,2,4,4,2,1,2,1,1,1,1,2,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,,10,13,11
,,M,1,1,1,0,0,1,0,2,4,3,2,1,0,3,1,0,3,2,2,1,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,,8,15,10
RED POLL X,Non Dairy,F,1,1,0,0,0,0,2,0,1,0,0,2,0,5,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,,7,7,4
,,M,0,0,1,0,0,1,2,1,1,0,1,2,1,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,,4,5,8
ROMAGNOLA X,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0
,,M,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1
SALERS,Non Dairy,F,1,0,1,1,2,1,1,0,2,1,1,2,3,4,2,0,1,1,1,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,,12,10,9
,,M,1,0,0,2,0,1,5,5,1,4,1,2,0,3,3,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,,14,13,7
SALERS X,Non Dairy,F,6,1,3,4,3,5,10,8,7,10,8,23,5,3,11,7,4,6,2,3,0,4,3,0,0,1,0,7,0,0,2,5,0,2,6,,59,45,55
,,M,4,4,13,2,6,5,13,9,10,13,16,20,15,10,17,2,4,8,3,8,0,0,4,0,2,3,0,6,2,0,3,5,0,4,7,,67,78,73
SHETLAND,Non Dairy,F,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,4,1
,,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0
SHETLAND X,Non Dairy,F,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0
,,M,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0
SHORTHORN,Non Dairy,F,8,3,0,6,6,1,4,4,7,5,6,5,8,4,4,6,2,1,3,0,0,4,2,0,4,0,0,1,1,0,1,3,0,2,0,,52,31,18
,,M,13,4,2,14,11,8,9,10,11,6,7,5,9,10,3,6,6,5,10,7,0,3,3,0,4,5,0,3,8,0,3,3,0,7,4,,87,78,34
SHORTHORN X,Non Dairy,F,2,3,4,2,5,3,2,15,8,10,10,20,5,8,12,6,3,1,2,2,0,5,2,0,6,1,0,4,1,0,4,2,0,1,5,,49,57,48
,,M,7,8,6,6,6,8,12,13,12,12,11,14,13,17,18,9,7,6,4,9,0,4,5,0,4,5,0,7,6,0,8,6,0,7,4,,93,97,64
SIMMENTAL,Non Dairy,F,8,7,10,13,11,11,17,21,16,22,21,28,17,20,17,13,12,7,9,8,0,9,9,0,9,5,0,12,11,0,9,10,0,3,9,,141,144,89
,,M,14,12,12,20,20,12,26,21,25,30,33,33,21,25,23,12,12,12,10,2,0,6,6,0,13,6,0,11,4,0,14,8,0,15,15,,192,164,117
SIMMENTAL X,Non Dairy,F,60,76,62,88,76,54,121,97,113,150,166,138,105,127,151,61,77,58,54,55,0,58,43,0,58,47,0,37,44,0,54,52,0,78,62,,924,922,576
,,M,103,90,85,86,94,70,160,151,117,173,179,210,146,132,167,97,102,67,53,59,0,54,67,0,52,59,0,64,43,0,94,75,0,94,91,,"1,176","1,142",716
SOUTH DEVON,Non Dairy,F,2,1,3,2,2,5,11,4,12,19,14,16,15,17,13,3,6,4,5,8,0,1,0,0,2,2,0,2,1,0,3,1,0,2,2,,67,58,53
,,M,3,0,6,6,2,9,15,13,15,28,24,17,6,15,19,13,7,7,9,5,0,2,6,0,4,4,0,0,2,0,1,3,0,2,2,,89,83,73
SOUTH DEVON X,Non Dairy,F,1,5,1,2,5,2,3,8,9,11,9,18,7,11,9,3,6,2,1,2,0,1,1,0,2,4,0,5,2,0,3,8,0,1,2,,40,63,41
,,M,3,4,5,3,7,3,5,6,12,16,10,12,13,9,10,4,7,7,4,5,0,1,2,0,1,4,0,2,4,0,0,4,0,4,2,,56,64,49
SPECKLE PARK CROSS,Non Dairy,F,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0
,,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,0
STABILISER,Non Dairy,F,0,0,0,0,0,1,3,1,4,1,2,13,2,3,6,1,0,4,1,2,0,0,0,0,2,1,0,1,3,0,0,4,0,0,0,,11,16,28
,,M,0,0,0,0,1,0,1,0,6,1,3,7,6,8,10,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,9,17,27
STABILISER X,Non Dairy,F,1,1,0,2,0,0,5,7,3,14,7,19,8,7,14,3,5,3,0,0,0,1,0,0,3,1,0,1,3,0,1,0,0,2,2,,41,33,39
,,M,2,0,0,2,1,0,13,6,14,13,10,16,6,11,18,4,4,3,0,0,0,0,0,0,3,1,0,2,4,0,1,0,0,1,0,,47,37,51
SUSSEX,Non Dairy,F,0,0,1,1,3,2,4,1,5,3,6,1,0,6,3,2,4,4,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,11,23,16
,,M,1,0,0,1,0,1,1,1,3,3,3,5,4,5,2,2,4,2,1,3,0,0,2,0,1,3,0,0,1,0,0,0,0,0,0,,14,22,13
SUSSEX X,Non Dairy,F,1,2,2,1,2,1,0,1,0,3,3,4,2,2,2,0,0,0,0,0,0,3,1,0,1,1,0,2,0,0,2,3,0,1,2,,16,17,9
,,M,3,5,1,1,2,0,3,1,2,4,3,2,1,3,6,2,3,1,0,2,0,0,0,0,1,2,0,2,0,0,4,5,0,0,0,,21,26,12
SWEDISH RED,Dairy,F,1,4,0,0,0,0,0,0,0,2,2,3,0,0,0,0,1,2,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,,7,9,5
,,M,1,0,1,1,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1,2,0,0,0,0,0,1,0,3,1,0,2,1,0,0,0,,9,7,7
SWEDISH RED & WHITE,Non Dairy,F,1,2,0,0,0,0,6,0,1,1,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,,15,4,1
,,M,0,2,0,1,2,0,3,1,1,0,2,1,4,1,0,2,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,1,0,0,3,,14,14,2
SWEDISH RED CROSS,Dairy,F,11,12,12,5,12,13,7,11,10,5,8,8,5,7,5,3,5,2,5,7,0,8,9,0,18,14,0,9,12,0,12,13,0,13,8,,101,118,50
,,M,11,6,4,8,6,10,11,5,17,10,5,8,8,7,10,4,6,4,4,9,0,6,4,0,11,9,0,21,15,0,15,10,0,11,7,,120,89,53
SWEDISH RED POLLED,Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,1,0
,,M,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,5
SWEDISH RED&WHITE X,Non Dairy,F,2,4,3,4,11,2,11,7,4,8,3,1,6,4,1,2,5,0,6,2,0,6,4,0,5,4,0,4,5,0,11,1,0,3,1,,68,51,11
,,M,6,5,3,9,11,3,19,13,6,6,5,3,5,10,1,5,2,2,5,2,0,3,6,0,8,6,0,6,2,0,10,4,0,2,5,,84,71,18
SWISS BRAUNVIEH X,Non Dairy,M,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0
VAYNOL,Non Dairy,M,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0
WAGYU,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,2,2
,,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,1,0
WAGYU CROSS,Non Dairy,F,14,0,6,9,4,0,12,3,4,2,1,3,3,3,4,3,1,2,1,2,0,7,1,0,3,5,0,3,7,0,2,1,0,0,6,,59,34,19
,,M,13,1,5,10,5,4,13,2,9,6,3,3,6,4,4,4,4,3,2,3,0,5,3,0,5,5,0,4,1,0,3,4,0,0,6,,71,41,28
WATER BUFFALO,Non Dairy,F,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,1,4,0,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,3,,10,9,3
,,M,0,1,1,0,0,0,0,0,2,1,1,0,0,1,1,3,1,1,2,2,0,2,1,0,2,1,0,2,1,0,0,4,0,1,0,,13,13,5
WELSH BLACK,Non Dairy,F,0,0,0,2,4,1,3,6,0,6,12,4,6,7,4,5,8,10,1,1,0,1,2,0,2,3,0,1,1,0,3,1,0,3,1,,33,46,19
,,M,2,0,0,2,2,1,5,5,2,4,8,6,10,12,11,0,4,6,2,1,0,6,3,0,1,3,0,1,2,0,0,1,0,1,1,,34,42,26
WELSH BLACK X,Non Dairy,F,2,2,2,1,0,2,4,0,2,4,5,1,5,2,2,1,2,3,0,1,0,0,0,0,0,2,0,2,1,0,1,2,0,2,3,,22,20,12
,,M,4,2,1,3,1,1,2,1,3,4,2,3,3,6,3,3,3,1,1,1,0,0,3,0,0,2,0,2,3,0,1,1,0,1,4,,24,29,12
WELSH WHITE X,Non Dairy,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1
WHITE GALLOWAY,Non Dairy,F,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1
,,M,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,2,1
WHITE PARK,Non Dairy,F,1,0,0,0,0,0,5,2,0,2,3,2,3,1,2,0,1,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,,15,8,4
,,M,0,0,0,0,0,0,0,1,1,1,3,2,2,3,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,,5,9,4
WHITE PARK X,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,2
,,M,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0
WHITEBRED S/HORN X,Non Dairy,F,1,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,4,0
,,M,0,1,0,2,0,0,0,1,4,3,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,3,7
WHITEBRED SHORTHORN,Non Dairy,F,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,1,1
,,M,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,2
ZEBU,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0
Totals,,,"4,847","3,871","4,074","3,861","4,544","4,495","5,487","5,475","6,051","5,248","5,892","6,593","4,234","5,050","4,905","3,123","3,448","2,725","2,710","2,868",0,"2,960","3,083",0,"3,237","3,178",0,"3,099","3,671",0,"3,606","4,019",0,"3,974","4,280",0,"46,386","49,379","28,843"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total of deaths - 2011 to date:,,,"124,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
