Quarter_Year,Detached_Mean_Price,Detached_Median_Price,Detached_Standardised_Price,Semi_Detached_Mean_Price,Semi_Detached_Median_Price,Semi_Detached_Standardised_Price,Terrace_Mean_Price,Terrace_Median_Price,Terrace_Standardised_Price,Apartment_Mean_Price,Apartment_Median_Price,Apartment_Standardised_Price,All_Properties_Mean_Price,All_Properties_Median_Price,All_Properties_Standardised_Price
Q4 2007,354714.87397541,305000,314060.575171835,209511.346704871,195000,198507.253157382,168748.824313726,159450,157849.666438552,184301.121546961,168750,177088.195653799,231538.757923497,191000,214269.003437179
Q1 2008,329234.340729002,275000,285012.015994087,193269.286103542,180000,185264.093012357,152712.332967033,145000,145742.591426096,174973.815217391,162500,172740.099965177,211781.183407889,175000,198361.812161542
Q2 2008,282737.446455505,249950,265410.43561341,179444.105438402,170000,177863.149038276,140093.648460775,135000,133963.113791475,167789.759541985,156475,165108.388724072,188552.519237557,165000,185844.822884214
Q3 2008,258042.050607287,225000,237370.408301282,164135.838762215,160000,157775.60335514,133076.082633053,125000,123977.287308606,160826.295774648,150000,149475.249597389,176224.966904276,152500,168075.932423841
Q4 2008,232342.560521415,210000,224760.076680286,151008.244712991,145000,143288.182175038,120258.636090226,110000,111368.936179664,139408.492957747,130000,136151.489169967,161766.406779661,144887,153774.103600043
Q1 2009,211187.457777778,187500,198957.100196842,135075.483870968,130000,130872.775790781,109126.465849387,100000,103688.038945401,135510.586956522,120000,123589.297343521,146227.396453089,130000,140189.965821031
Q2 2009,216079.791862285,192500,204236.296011971,136592.412924425,130000,132478.624258802,110010.826739427,100000,103333.309947592,131782.092896175,120413,122995.359483471,148921.36102107,132000,141488.694010231
Q3 2009,208829.952879581,190000,204150.335675181,138872.168297456,133550,132422.589573984,112356.492099323,105000,104013.798286565,142196.112299465,128000,123983.429250722,149566.969220007,135000,141863.993642714
Q4 2009,211068.476571429,186000,207190.786960464,141176.176834659,135000,133514.619223858,111152.684599156,105000,102886.54026774,140474.5,127500,121144.359594799,151490.420468948,137500,141993.778817469
Q1 2010,228900.353680431,191000,205306.857400197,135344.860082304,125000,127163.303136752,103001.423868313,93000,95468.1878176998,133737.581818182,115000,118023.070952314,148311.302293578,124000,135701.480720058
Q2 2010,205095.065625,183750,201921.511622786,133286.05952381,125000,128970.681169907,99783.2489740081,90000,92952.2269822471,136017.724637681,120000,116304.784897052,142585.412090252,125000,134514.84506543
Q3 2010,204300.114516129,185000,202034.091555766,131352.38592233,125000,125961.219524067,95802.5953079179,85000,90102.5679861134,132380.6875,120750,116108.110284315,140779.465594281,125000,132163.508725364
Q4 2010,199034.756164383,176250,189960.764624151,127106.591203105,120000,120606.100490303,90307.1855921856,80000,84943.733218064,113396.350877193,100000,101389.95357716,135138.839951865,120000,124515.077492122
Q1 2011,194650.057093425,171517.5,184006.224778199,118245.808972504,115000,114377.616246096,84191.1640953716,75000,79956.029818544,112461.376811594,105000,102260.930877428,127246.960849057,111750,119023.876409115
Q2 2011,184184.196165192,166750,176436.515052348,118227.070080863,115000,114694.245606287,82253.3977900553,72500,79596.7714811316,101060.301507538,90000,96942.3667372257,124739.151088348,112000,117142.398597522
Q3 2011,186058.690866511,167000,178980.824482056,116621.061844864,112000,111793.939020617,82166.2845433255,73000,76462.222980675,105484.772151899,97500,96291.8368871051,126016.044498103,111500,115107.89875652
Q4 2011,180877.889312977,158500,175235.630054519,115529.698113208,109950,108961.086822818,77180.4282208589,68000,73896.4906355281,100767.029661017,90000,91653.7391359671,121601.660701242,106000,111871.009626912
Q1 2012,175069.118562874,160000,162141.43681087,111009.023463687,110000,105889.580252542,70797.586622807,63500,67833.3330075952,91572.0138248848,80000,81608.8726761251,115415.990206366,100000,104711.74662579
Q2 2012,165773.504358655,148500,163200.061642297,106196.156424581,100000,102123.690184432,74206.8618721461,65000,69826.1158535433,92694.1228070176,79950,85144.7467746638,112170.290863669,98500,104986.806713718
Q3 2012,168910.855721393,150000,157937.760905695,107562.78425656,101000,100702.199785218,74261.3569892473,65000,68008.4025674496,91845.0720338983,80000,79249.0076676954,115992.504375,100000,102085.764282578
Q4 2012,167283.400565504,150000,153053.415372642,102428.251428571,95000,98576.0711088493,71313.5948522401,62500,66229.684177516,87503.0125523013,76000,79271.2616116833,112020.751103266,96000,99646.6373473247
Q1 2013,167359.981359649,150000,152822.656095038,102718.684638861,95000,97364.3011569719,70987.3901156677,61000,63735.1393827908,83455.9176954732,75000,73091.6054289059,110519.121398511,95000,97428.3936556151
Q2 2013,167237.214149139,150000,156012.736463318,105402.871268657,97500,97530.0474480112,70503.6402671756,60000,65829.922564226,86161.6724137931,74950,74578.7488750728,112360.013831666,98000,99229.4087828964
Q3 2013,170346.98366294,153000,157930.69594308,108066.643417611,102500,99978.0139453776,74369.4589235129,63000,67631.0467013332,82645.1577181208,71000,74245.9606802221,116021.678756476,102500,101164.642676601
Q4 2013,169369.640602583,150000,157398.002869575,107738.651030561,102000,99910.5270615904,74459.4596518988,65250,68247.3645355733,89669.9571045577,80500,79902.7770021197,116100.318161334,102500,101879.401334235
