"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Transport","Maritime & Coastguard Agency","Office of the Chairman & Chief Executive","3","SEO Surveyor","44105","50719","Marine Surveyor","2.00","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Office of the Chairman & Chief Executive","3","Grade 7","46696","53700","Business Manager","2.00","Communications"
"Department for Transport","Maritime & Coastguard Agency","Office of the Chairman & Chief Executive","3","Grade 7","46696","53700","Communications Manager","4.00","Communications"
"Department for Transport","Maritime & Coastguard Agency","Office of the Chairman & Chief Executive","3","Grade 7","46696","53700","Manager","1.00","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of UK Ship Register","2","AA","17275","17275","Admin Support Officer","1.00","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of UK Ship Register","2","AO","20855","20855","Admin Support Officer","43.36","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of UK Ship Register","2","EO","25259","26120","Business Support Manager","22.05","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of UK Ship Register","2","HEO","29832","32367","Business Support Team Manager","6.81","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of UK Ship Register","2","SEO","37428","41173","Business Manager","9.80","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of UK Ship Register","2","SEO Surveyor","44105","50719","Marine Surveyor","1.61","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of UK Ship Register","2","SEO Senior Surveyor","47972","55166","Marine Surveyor","8.61","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of UK Ship Register","2","Grade 7","46696","53700","Manager","2.00","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of UK Ship Register","2","Grade 7 Surveyor","54723","64665","Marine Surveyor","2.00","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of UK Ship Register","2","Grade 6","57855","66533","Senior Manager","1.00","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of UK Ship Register","2","Grade 6 Surveyor","65480","75299","Marine Surveyor","1.00","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Maritime Safety and Standards","6","AO","20855","20855","Admin Support Officer","4.01","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Maritime Safety and Standards","6","AO","20855","20855","Business Support Officer","25.45","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Maritime Safety and Standards","6","EO","25259","26120","Business Support Manager","32.75","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Maritime Safety and Standards","6","HEO","29832","32367","Business Support Team Manager","12.21","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Maritime Safety and Standards","6","HEO Surveyor","30678","35278","Marine Surveyor","10.20","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Maritime Safety and Standards","6","HEO Senior Surveyor","34250","38000","Marine Surveyor","2.00","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Maritime Safety and Standards","6","SEO","37428","41173","Business Manager","32.42","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Maritime Safety and Standards","6","SEO Surveyor","44105","50719","Marine Surveyor","69.80","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Maritime Safety and Standards","6","SEO Senior Surveyor","47972","55166","Marine Surveyor","8.00","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Maritime Safety and Standards","6","Grade 7","46696","53700","Manager","11.81","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Maritime Safety and Standards","6","Grade 7 Surveyor","54723","64665","Marine Surveyor","47.07","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Maritime Safety and Standards","6","Grade 6","57855","66533","Senior Manager","4.00","Operational Delivery"
"Department for Transport","Maritime & Coastguard Agency","Directorate of Maritime Safety and Standards","6","Grade 6 Surveyor","65480","75299","Marine Surveyor","3.00","Operational Delivery"
