Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Information Technology,3303,Temporary Staff,02/04/2020,0000227664,1610.00,Revenue,Austin Fraser Ltd,09925
Rushmoor Borough Council,Democratic Services,1302,Canvas Fees,02/04/2020,0000227666,4261.20,Revenue,Twofold Limited,13140
Rushmoor Borough Council,Community,2551,Cameo Mercury Abatement,02/04/2020,0000227667,39545.00,Revenue,Cameo,13129
Rushmoor Borough Council,Planning,2604,Esso Pipeline Consultancy,09/04/2020,0000227668,950.00,Revenue,Landmark Chambers,08237
Rushmoor Borough Council,Community,2518,Payment to Artistes,02/04/2020,0000227669,8059.30,Revenue,Jendagi Productions Ltd,15070
Rushmoor Borough Council,Community,2508,Promotions,02/04/2020,0000227670,1100.00,Revenue,Stephanie Twell/April Blossoms Ltd,15351
Rushmoor Borough Council,Environmental Health and Housing,2402,Non Statutory Homeless Rent Deposit,02/04/2020,0000227671,425.00,Revenue,Mr Walter Dunphy,08692
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,02/04/2020,0000227675,2040.00,Revenue,Pjk Solutions Ltd,14615
Rushmoor Borough Council,Strategy and Communiations,1413,Grants to Enterprise First,02/04/2020,0000227676,2000.00,Revenue,Enterprise First,00155
Rushmoor Borough Council,Community,2536,Direct Grants,16/04/2020,0000227677,2500.00,Revenue,Age Concern Hampshire,02254
Rushmoor Borough Council,Legal,1211,Promotions,16/04/2020,0000227679,1438.00,Revenue,North Lane (Aldershot) Mgmt Co Ltd,10557
Rushmoor Borough Council,Director of Resources,3103,Temporary Staff,09/04/2020,0000227680,940.00,Revenue,Nss Partners Limited,15033
Rushmoor Borough Council,Information Technology,3304,Covid19,09/04/2020,0000227681,2126.25,Revenue,Nss Partners Limited,15033
Rushmoor Borough Council,Strategy and Communiations,1415,Commission,09/04/2020,0000227691,641.16,Revenue,Avc Wise Ltd,15680
Rushmoor Borough Council,Community,2537,Farnborough Leisure Centre Parking Rebates,09/04/2020,0000227697,284.25,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Community,2537,Farnborough Leisure Centre Parking Rebates,09/04/2020,0000227698,6153.42,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Director of Community and Environment Services,2110,ICE Rushmoor Customer Services,23/04/2020,0000227701,8340.00,Revenue,Goss Interactive Limited,05830
Rushmoor Borough Council,Community,2513,Community Matters Grant,16/04/2020,0000227706,2500.00,Revenue,The Community Matters Partnership,13092
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,09/04/2020,0000227707,270.00,Revenue,Tango Security Ltd,01412
Rushmoor Borough Council,Community,2551,Memorial Expenses,09/04/2020,0000227711,505.00,Revenue,Vivedia Ltd,13434
Rushmoor Borough Council,Community,2556,Contract Performance Inspection,09/04/2020,0000227717,4508.40,Revenue,Wyg Environment Planning Transport Ltd,11470
Rushmoor Borough Council,Environmental Health and Housing,2203,Subscriptions,09/04/2020,0000227718,342.00,Revenue,Ferret Information Systems Ltd,04028
Rushmoor Borough Council,Legal,1232,Non Domestic Rates,16/04/2020,0000227720,2227.20,Revenue,Hart District Council,14520
Rushmoor Borough Council,Legal,1241,Agents Fees,09/04/2020,0000227727,11987.85,Revenue,Hampshire Lift Ltd,15674
Rushmoor Borough Council,Environmental Health and Housing,2218,Housing Medical Reports,09/04/2020,0000227728,357.06,Revenue,Hml Independent Medical Advice Ltd,15214
Rushmoor Borough Council,Legal,1203,Temporary Staff,16/04/2020,0000227733,610.50,Revenue,The Oyster Partnership Limited,13970
Rushmoor Borough Council,Community,2531,Twinning Events,09/04/2020,0000227734,264.00,Revenue,Vgt Ltd,12541
Rushmoor Borough Council,Community,2534,Grant to Dial a Ride,16/04/2020,0000227740,3683.00,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Community,2518,Publicity and Advertising,23/04/2020,0000227746,400.00,Revenue,Destination Southampton Conference Ltd,15813
Rushmoor Borough Council,Control Accounts,9362,Local Enterprise Partnership,09/04/2020,0000227747,1181.30,Control Accounts,Cyan Solutions Ltd,13258
