OrganisationLabel,OrganisationURI,PublishedDate,DurationFrom,DurationTo,LatestData,ReportingPeriodType,GeoEntityName,GeoCode,GeoName,GeoURI,Year,Provisional,TotalGDHIPoundsBillion,GDHIPoundsPerHead,GDHIPoundsPerHeadIndex_PercentageOfUK
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:38,2017-01-01T00:00:07,2017-12-31T23:59:59,,Calendar Year,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,2017,,2.748,19395,96.4
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:39,2017-01-01T00:00:07,2017-12-31T23:59:59,,Calendar Year,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,2017,,1.78,18870,93.8
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:40,2016-01-01T00:00:07,2016-12-31T23:59:59,,Calendar Year,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,2016,,12.814,17204,87.4
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:41,2016-01-01T00:00:07,2016-12-31T23:59:59,,Calendar Year,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,2016,,1.137,16792,85.3
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:42,2016-01-01T00:00:07,2016-12-31T23:59:59,,Calendar Year,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,2016,,2.35,16939,86
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:43,2016-01-01T00:00:07,2016-12-31T23:59:59,,Calendar Year,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,2016,,1.395,14326,72.8
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:44,2016-01-01T00:00:07,2016-12-31T23:59:59,,Calendar Year,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,2016,,2.019,17764,90.2
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:45,2016-01-01T00:00:07,2016-12-31T23:59:59,,Calendar Year,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,2016,,1.545,16700,84.8
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:46,2016-01-01T00:00:07,2016-12-31T23:59:59,,Calendar Year,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,2016,,2.658,18864,95.8
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:47,2016-01-01T00:00:07,2016-12-31T23:59:59,,Calendar Year,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,2016,,1.71,18209,92.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:48,2015-01-01T00:00:07,2015-12-31T23:59:59,,Calendar Year,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,2015,,12.711,17239,88.3
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:49,2015-01-01T00:00:07,2015-12-31T23:59:59,,Calendar Year,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,2015,,1.13,16902,86.5
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:50,2015-01-01T00:00:07,2015-12-31T23:59:59,,Calendar Year,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,2015,,2.336,16918,86.6
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:51,2015-01-01T00:00:07,2015-12-31T23:59:59,,Calendar Year,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,2015,,1.379,14273,73.1
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:52,2015-01-01T00:00:07,2015-12-31T23:59:59,,Calendar Year,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,2015,,2,17824,91.3
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:53,2015-01-01T00:00:07,2015-12-31T23:59:59,,Calendar Year,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,2015,,1.531,16782,85.9
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:54,2015-01-01T00:00:07,2015-12-31T23:59:59,,Calendar Year,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,2015,,2.639,18933,96.9
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:55,2015-01-01T00:00:07,2015-12-31T23:59:59,,Calendar Year,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,2015,,1.696,18243,93.4
