"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Solent and South Downs","EA_DDSLTSDN","SG6","44477","55631","Senior Advisor Solent and South Downs","2.00","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - National Services Flood and Coastal Risk Management - National Capital Programme Management Service - National Programme","EA_DDNCPMS","SG5","34879","42955","Officer Operational Services","3.81","Programme and Project Management (PPM)"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Wessex - Environment Management  Bristol Avon - Environmental Permitting Regulations Installations","EA_DDWSX","SG2","18392","22274","Team Member Wessex","1.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Solent and South Downs - Environment Management  Hydrology","EA_DDSLTSDN","SG4","27572","33869","Officer Solent and South Downs","2.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Devon Cornwall and Isles of Scilly","EA_DDCDS","SG4","27572","33869","Team Member Devon Cornwall and Isles of Scilly","1.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Water Land and Biodiversity - Agriculture Fisheries and the Natural environment - Agrultural Regulation","EA_DDAFNE","SG5","34879","42955","Advisor Environment and Business","2.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Legal","EA_DDLSN","SG5","34879","42955","Senior Specialist Legal Services","0.81","Law"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Devon Cornwall and Isles of Scilly","EA_DDCDS","SG7","55819","69471","Manager Devon Cornwall and Isles of Scilly","0.92","Planning"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - East Anglia - Flood and Coastal Risk Management Operations West - Asset Performance Kings Lynn","EA_DDEN","SG4","27572","33869","Officer East Anglia","3.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Research Analysis and Evaluation - Evidence Analysis and Evaluation - Statutory Assessment and Reporting","EA_DDRAEEAE","SG6","44477","55631","Senior Officer Environment and Business","1.60","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Regulated Industry - Radioactive Substance and Installations Regulation - Oil and Gas Programme","EA_DDRSIR","SG5","34879","42955","Advisor Environment and Business","1.00","Programme and Project Management (PPM)"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Wessex","EA_DDWSX","SG5","34879","42955","Team Leader Wessex","1.00","Communications"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - National Services Environment and Business - Permitting  - Central","EA_DDPC","SG6","44477","55631","Senior Advisor Operational Services","3.80","Policy"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - West Midlands - Environment Management Herefordshire - Land and Water 3","EA_DDWM","SG6","44477","55631","Team Leader West Midlands","1.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - West Midlands - Waterways","EA_DDWM","SG5","34879","42955","Officer West Midlands","1.86","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Operations National Services - Fleet Operations - Management","EA_DDFO","SG7","55819","69471","Manager Operations National Services","4.86","Property and Asset Management"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - East Midlands","EA_DDEMD","SG5","34879","42955","Team Leader East Midlands","1.00","Planning"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Water Land and Biodiversity - Integrated Water Planning - Management - Estuaries and Coasts Planning","EA_DDIWP","SG5","34879","42955","Advisor Environment and Business","1.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - London - Area Flood and Coastal Risk Management - Management","EA_DDLDN","SG4","27572","33869","Officer London","1.95","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Flood and Coastal Risk Management Directorate - Allocation and Asset Management - Allocation and National Programme Management","EA_DDANPM","SG7","55819","69471","Manager Flood and Coastal Risk Management","1.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - National Services Environment and Business - Monitoring","EA_DDM","SG6","44477","55631","Senior Advisor Operational Services","2.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Incident Management and Resilience - Flood Incident Management - National Flood Risk Systems","EA_DDFIM","SG6","44477","55631","Team Leader Incident Management and Resilience","2.00","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Water Land and Biodiversity - Agriculture Fisheries and the Natural environment - Agrcultural Advice and Incentives","EA_DDAFNE","SG6","44477","55631","Senior Advisor Environment and Business","5.87","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Chief Executives Directorate - Governance and Engagement - Customer Engagement Market Research","EA_DDGE","SG6","44477","55631","Senior Advisor Chief Executives Directorate","3.00","Communications"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Sustainable Business and Development - European Union International Relations and Environment Strategy - Environment Strategy","EA_DDEUIR","SG7","55819","69471","Manager Environment and Business","1.00","Communications"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Chief Executives Directorate - Pension Fund Management","EA_DDPF","SG5","34879","42955","Officer Chief Executives Directorate","2.00","Finance"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - National Services Environment and Business - Monitoring - Environmental Monitoring Services","EA_DDM","SG7","55819","69471","Manager Operational Services","1.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Water Land and Biodiversity - Agriculture Fisheries and the Natural environment - Fisheries","EA_DDAFNE","SG7","55819","69471","Manager Environment and Business","1.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Chief Executives Directorate - Change","EA_DDC","SG4","27572","33869","Officer Chief Executives Directorate","2.57","Communications"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Research Analysis and Evaluation - Hub","EA_DDRAER","SG6","44477","55631","Senior Advisor Environment and Business","2.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Legal","EA_DDLSN","SG7","55819","69471","Senior Specialist Legal Services","7.70","Law"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Research Analysis and Evaluation - Hub","EA_DDRAER","SG6","44477","55631","Senior Specialist Environment and Business","1.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - National Services Environment and Business","EA_DNSEB","N","36611","100754","Nuclear Regulator Operational Services","1.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Chief Executives Directorate - Governance and Engagement - Executive Support","EA_DDGE","SG5","34879","42955","Advisor Chief Executives Directorate","3.60","Communications"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Incident Management and Resilience - Incident Management Resilience","EA_DDIMR","SG3","22792","27223","Team Member Incident Management and Resilience","1.00","Operational Delivery"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - Operations National Services - Operations Business Services - Operations Planning and Performance","EA_DDOBS","SG6","44477","55631","Senior Officer Operations National Services","2.00","Planning"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Operations - National Services Environment and Business - Monitoring","EA_DDM","SG6","44477","55631","Team Leader Operational Services","2.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Future Funding - Future Funding","EA_DFF","SG7","55819","69471","Manager Future Funding","2.69","Finance"
"Department for Environment, Food and Rural Affairs","Environment Agency","Environment Agency Environment and Business - Legal","EA_DDCP","SG5","34879","42955","Officer Legal Services","2.00","Law"
