ORGANISATION NAME,EFFECTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION NO.
ROCHDALE BOROUGH COUNCIL,07/11/2018,CHILDREN’S SOCIAL CARE,CRESTA WORLD TRAVEL LIMITED,07/11/2018,9.00 ,PUBLIC TRANSPORT,V001314144
ROCHDALE BOROUGH COUNCIL,07/11/2018,CHILDREN’S SOCIAL CARE,CRESTA WORLD TRAVEL LIMITED,07/11/2018,72.75 ,PUBLIC TRANSPORT,V001314144
ROCHDALE BOROUGH COUNCIL,14/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,PROTON SOUTHERN LIMITED,14/11/2018,91.88 ,REPAIRS & ALTS OF BUILDINGS,V001314417
ROCHDALE BOROUGH COUNCIL,08/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,INLAND AND COASTAL MARINA SYSTEMS LTD UK,08/11/2018,3500.00 ,REPAIRS & ALTS OF BUILDINGS,V001314430
ROCHDALE BOROUGH COUNCIL,05/11/2018,ECONOMY DIRECTORATE,LANCASHIRE LOCK AND SAFE COMPANY LIMITED,05/11/2018,96.00 ,EQUIPMENT - GENERAL,V001314433
ROCHDALE BOROUGH COUNCIL,14/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,KEN TAYLOR SUPPLIES LTD,14/11/2018,111.60 ,TRANSACTIONS-EXPENDITURE,V001317798
ROCHDALE BOROUGH COUNCIL,26/11/2018,PROPERTY AND HIGHWAYS,E ON SUSTAINABLE ENERGY,26/11/2018,23.24 ,MINOR BUILDING WORKS,V001317874
ROCHDALE BOROUGH COUNCIL,26/11/2018,PROPERTY AND HIGHWAYS,E ON SUSTAINABLE ENERGY,26/11/2018,25.73 ,MINOR BUILDING WORKS,V001317876
ROCHDALE BOROUGH COUNCIL,26/11/2018,PROPERTY AND HIGHWAYS,E ON SUSTAINABLE ENERGY,26/11/2018,26.56 ,MINOR BUILDING WORKS,V001317878
ROCHDALE BOROUGH COUNCIL,26/11/2018,PROPERTY AND HIGHWAYS,E ON SUSTAINABLE ENERGY,26/11/2018,20.75 ,MINOR BUILDING WORKS,V001317879
ROCHDALE BOROUGH COUNCIL,26/11/2018,PROPERTY AND HIGHWAYS,E ON SUSTAINABLE ENERGY,26/11/2018,31.15 ,MINOR BUILDING WORKS,V001317880
ROCHDALE BOROUGH COUNCIL,16/11/2018,EARLY HELP AND SCHOOLS,ROCHDALE OCCUPATIONAL HEALTH SERVICE LTD,16/11/2018,195.00 ,TRAINING-QUALIFICATION,V001317897
ROCHDALE BOROUGH COUNCIL,22/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,REDACTED - PERSONAL DATA,22/11/2018,150.00 ,EXPENSES - GENERAL,V001317993
ROCHDALE BOROUGH COUNCIL,07/11/2018,NEIGHBOURHOODS AND ENVIRONMENT,RCD LEAFLET DISTRIBUTION,07/11/2018,742.50 ,EQUIPMENT - GENERAL,V001318054
ROCHDALE BOROUGH COUNCIL,06/11/2018,PROPERTY AND HIGHWAYS,ABC INDUSTRIAL DOORS LTD,06/11/2018,109.25 ,PROPERTY - WORKS ELEMENT,V001318668
ROCHDALE BOROUGH COUNCIL,06/11/2018,PROPERTY AND HIGHWAYS,ABC INDUSTRIAL DOORS LTD,06/11/2018,95.50 ,PROPERTY - WORKS ELEMENT,V001318670
