SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLC_Result_PS_NG,PSPMBAResultMBA1,PSPMBAResultMBA2,PSPAverageMBAResult,DSPResultPositive,DSPResultNegative,DomoicAcid,ActionRequired,SampleNumber2
BTX/2007/2026,The Thames,B16AK,London PHA,TR01198614,Maplin Sands West,2007-07-30,2007-07-31,Cockles,ND,,,,,NEGATIVE,<RL,,BTX/2007/2026
BTX/2007/2027,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2007-07-30,2007-07-31,Cockles,ND,,,,,NEGATIVE,<RL,,BTX/2007/2027
BTX/2007/2028,The Thames,B16AF,London PHA,TR12929919,Foulness Sands,2007-07-30,2007-07-31,Cockles,ND,,,,,NEGATIVE,<RL,,BTX/2007/2028
BTX/2007/2029,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2007-07-30,2007-07-31,Pacific Oysters,ND,,,,,NEGATIVE,<RL,,BTX/2007/2029
BTX/2007/2030,Bigbury and Avon,B030B,South Hams DC,SX67324494,West Bank,2007-07-30,2007-07-31,Pacific Oysters,ND,,,,,NEGATIVE,<RL,,BTX/2007/2030
BTX/2007/2031,Milford Haven,B39AF,Pembrokeshire CC,SM89400210,Roscrowther/Kilpaison,2007-07-30,2007-07-31,Cockles,ND,,,,,NEGATIVE,<RL,,BTX/2007/2031
BTX/2007/2032,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2007-07-30,2007-07-31,Mussels,ND,,,,,NEGATIVE,<RL,,BTX/2007/2032
BTX/2007/2033,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2007-07-30,2007-07-31,Mussels,ND,,,,,NEGATIVE,<RL,,BTX/2007/2033
BTX/2007/2034,Helford,B034A,Falmouth and Truro PHA,SW75282664,Calamansack Bar,2007-07-30,2007-07-31,Native Oysters,ND,,,,Insufficient,,<RL,Flesh sample required,BTX/2007/2034
BTX/2007/2035,Yealm,B031H,Plymouth PHA,SX54414955,Fox Cove,2007-07-30,2007-07-31,Mussels,PS ,ND,ND,ND,,NEGATIVE,<RL,,BTX/2007/2035
