SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLC_Result_PS_NG,PSPMBAResultMBA1,PSPMBAResultMBA2,PSPAverageMBAResult,DSPResultPositive,DSPResultNegative,DomoicAcid,ActionRequired,SampleNumber2
BTX/2007/0568,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre,2007-03-26,2007-03-27,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0568
BTX/2007/0569,Newtown,B022E,Isle of Wight Council,SZ42709110,Clamerkin Creek,2007-03-26,2007-03-27,Hard Clams,,,,,,NEGATIVE,,,BTX/2007/0569
BTX/2007/0578,Portland,B25AA,Weymouth PHA,SY69317746,Lyme Bay Shellfish,2007-03-27,2007-03-27,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0578
BTX/2007/0579,Milford Haven,B39AF,Pembrokeshire CC,SM89400210,Roscrowther/Kilpaison,2007-03-26,2007-03-28,Cockles,,,,,,NEGATIVE,<RL,,BTX/2007/0579
BTX/2007/0580,Crouch,B015B,Maldon DC,TR00109540,Outer Crouch,2007-03-27,2007-03-28,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0580
BTX/2007/0581,Conwy,B044H,Conwy CBC,SH76107970,Morfa,2007-03-27,2007-03-28,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0581
BTX/2007/0582,Poole,B54BF,Poole BC,SZ09119017,Bournemouth Pier,2007-03-27,2007-03-28,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0582
BTX/2007/0583,Morecambe Bay - Barrow,B077B,Barrow-in-Furness BC,SD18507060,Cocken Tunnel,2007-03-27,2007-03-28,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0583
BTX/2007/0584,Lune,B066G,Wyre BC,SD34004870,Knott Spit,2007-03-26,2007-03-28,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0584
BTX/2007/0585,Beaulieu,B023B,New Forest DC,SZ42729773,Needs Ore,2007-03-27,2007-03-28,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0585
BTX/2007/0586,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD23306470,Roa Island,2007-03-27,2007-03-28,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0586
BTX/2007/0597,The Wash,,Kings Lynn & W Norfolk BC,,Zone 4,2007-03-28,2007-03-29,Cockles,PS,ND,ND,ND,,NEGATIVE,,,BTX/2007/0597
BTX/2007/0625,Roach,B073C,London PHA,TQ95699247,Paglesham Reach,2007-04-02,2007-04-03,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0625
BTX/2007/0626,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2007-04-02,2007-04-03,Pacific Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0626
BTX/2007/0627,North Kent Coast,B17AM,Canterbury CC,TR08206690,Pollard,2007-04-02,2007-04-03,Pacific Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0627
BTX/2007/0628,North Kent Coast,B17BL,Canterbury CC,TR08206690,Pollard,2007-04-02,2007-04-03,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0628
BTX/2007/0629,Yealm,B031F,Plymouth PHA,SX54104883,Thorn,2007-04-02,2007-04-03,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0629
BTX/2007/0630,Chichester Harbour,B018C,Chichester DC,SU78400160,Chichester Channel,2007-04-02,2007-04-03,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0630
BTX/2007/0631,Chichester Harbour,B018E,Havant BC,SU74600050,Mill Rythe,2007-04-02,2007-04-03,Native Oysters,NG,,,,Insufficient,,<RL,Follow up sample requested,BTX/2007/0631
BTX/2007/0632,Brancaster,B005F,Kings Lynn & W Norfolk BC,TF79364451,Loose J,2007-04-02,2007-04-03,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0632
BTX/2007/0663,Dart,B028F,South Hams DC,SX87415599,Waddeton,2007-04-03,2007-04-04,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0663
BTX/2007/0664,Exe,B26AT,East Devon DC,SY99698050,Beacon Point,2007-04-10,2007-04-11,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0664
BTX/2007/0665,Milford Haven,B39AF,Pembrokeshire CC,SM89400210,Roscrowther/Kilpaison,2007-04-10,2007-04-11,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2007/0665
BTX/2007/0666,Blackwater,B014H,Maldon DC,TM05000000,Ray Sands,2007-04-10,2007-04-11,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0666
BTX/2007/0667,Lune,B066A,Lancaster CC,SD42305430,Plover Scar,2007-04-10,2007-04-11,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0667
BTX/2007/0668,Poole,B054P,Poole BC,SY99538768,Hamworthy,2007-04-10,2007-04-11,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0668
BTX/2007/0669,Liverpool Bay - Wirral,B058D,Mersey PHA,SJ25009200,Leasowe Lighthouse,2007-04-10,2007-04-11,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0669
BTX/2007/0670,Fal,B033R,Falmouth and Truro PHA,SW85623321,Percuil,2007-04-10,2007-04-11,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0670
BTX/2007/0671,Fal,B033C,Falmouth and Truro PHA,SW84544276,Malpas,2007-04-10,2007-04-11,Mussels,PS,ND,ND,ND,,NEGATIVE,<RL,,BTX/2007/0671
BTX/2007/0672,Fal,B033Z,Falmouth and Truro PHA,SW84093878,T Pontoon,2007-04-10,2007-04-11,Mussels,PS,ND,ND,ND,,NEGATIVE,<RL,,BTX/2007/0672
BTX/2007/0673,Fal,B033P,Falmouth and Truro PHA,SW83883621,East Bank,2007-04-10,2007-04-11,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0673
BTX/2007/0674,The Solent,B24AV,Southampton PHA,SZ47509960,Stanswood,2007-04-10,2007-04-11,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0674
BTX/2007/0675,Southampton Water,B021D,Southampton PHA,SU45000770,Netley,2007-04-10,2007-04-11,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0675
BTX/2007/0676,Southampton Water,B021L,Southampton PHA,SU47800530,Hamble Estuary,2007-04-10,2007-04-11,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0676
BTX/2007/0696,Camel,B035K,North Cornwall DC,SW92387395,Little Petherick Creek,2007-04-11,2007-04-12,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2007/0696
BTX/2007/0697,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2007-04-10,2007-04-12,Pacific Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0697
BTX/2007/0717,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2007-04-16,2007-04-17,Pacific Oysters,NG,,,,,,,,BTX/2007/0717
BTX/2007/0718,West Mersea,B013L,Colchester BC,TM04521160,Mersea Shore,2007-04-16,2007-04-17,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0718
BTX/2007/0719,West Mersea,B013H,Colchester BC,TM00001370,Strood Channel,2007-04-16,2007-04-17,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0719
BTX/2007/0720,The Wash,,Kings Lynn & W Norfolk BC,,Zone 3,2007-04-16,2007-04-17,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2007/0720
BTX/2007/0721,The Wash,B004F,Kings Lynn & W Norfolk BC,TF60703390,Stylemans,2007-04-16,2007-04-17,Mussels,NG,,,,,NEGATIVE,<RL,Flesh and water requested,BTX/2007/0721
BTX/2007/0722,Taw/Torridge,B036F,North Devon DC,SS47303210,Cool Stone - Instow,2007-04-16,2007-04-17,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0722
BTX/2007/0723,Three Rivers,B071E,Carmarthenshire CC,SN35700730,St Ishmaels,2007-04-16,2007-04-17,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0723
BTX/2007/0724,Newtown,B022E,Isle of Wight Council,SZ42709110,Clamerkin Creek,2007-04-16,2007-04-17,Hard Clams,,ND,ND,ND,,NEGATIVE,<RL,,BTX/2007/0724
BTX/2007/0725,West Mersea,B013F,Maldon DC,TL98611115,Tollesbury North,2007-04-16,2007-04-17,Native Oysters,NG,,,,Insufficient,,<RL,Follow up sample requested,BTX/2007/0725
BTX/2007/0726,Lymington River,B24AF,New Forest DC,SZ34809375,No 3 Post,2007-04-16,2007-04-17,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0726
BTX/2007/0727,Camel,B035J,North Cornwall DC,SW92517775,Trebetherick Rocks,2007-04-16,2007-04-17,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0727
BTX/2007/0728,Yealm,B031F,Plymouth PHA,SX54104883,Thorn,2007-04-16,2007-04-17,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0728
BTX/2007/0729,Alde/Ore,B008E,Suffolk Coastal DC,TM46185505,Martello Tower,2007-04-16,2007-04-17,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0729
BTX/2007/0730,Butley,B009A,Suffolk Coastal DC,TM39704870,Butley Creek,2007-04-16,2007-04-17,Pacific Oysters,PS,ND,ND,ND,,NEGATIVE,<RL,,BTX/2007/0730
BTX/2007/0731,Morecambe Bay - Barrow,B077B,Barrow-in-Furness BC,SD18507060,Cocken Tunnel,2007-04-16,2007-04-17,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0731
BTX/2007/0732,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD23306470,Roa Island,2007-04-16,2007-04-17,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0732
BTX/2007/0733,The Wash,,Kings Lynn & W Norfolk BC,,Zone 4,2007-04-16,2007-04-17,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2007/0733
BTX/2007/0734,Blakeney,B006C,North Norfolk DC,TF99004530,Simpool,2007-04-16,2007-04-17,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0734
BTX/2007/0741,Portland,B25AA,Weymouth PHA,SY69317746,Lyme Bay Shellfish,2007-04-17,2007-04-17,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0741
BTX/2007/0742,Swansea,B037I,City and Council of Swansea,SS62908930,Swansea Bay S,2007-04-17,2007-04-18,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0742
BTX/2007/0743,Colwyn Bay,B069A,Conwy CBC,SH83208150,Rhos on Sea,2007-04-16,2007-04-18,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0743
BTX/2007/0744,Conwy,B044H,Conwy CBC,SH76107970,Morfa,2007-04-16,2007-04-18,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0744
BTX/2007/0745,Fal,B033Z,Falmouth and Truro PHA,SW84093878,T Pontoon,2007-04-17,2007-04-18,Mussels,PS,ND,ND,ND,,,,,BTX/2007/0745
BTX/2007/0746,Fal,B033P,Falmouth and Truro PHA,SW83883621,East Bank,2007-04-17,2007-04-18,Native Oysters,NG,,,,,,,,BTX/2007/0746
BTX/2007/0747,Fal,B033C,Falmouth and Truro PHA,SW84544276,Malpas,2007-04-17,2007-04-18,Mussels,PS,ND,ND,ND,,,,,BTX/2007/0747
BTX/2007/0748,Fal,B033R,Falmouth and Truro PHA,SW85623321,Percuil,2007-04-17,2007-04-18,Native Oysters,NG,,,,,,,,BTX/2007/0748
BTX/2007/0749,Helford,B034A,Falmouth and Truro PHA,SW75282664,Calamansack Bar,2007-04-17,2007-04-18,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0749
BTX/2007/0750,The Solent,B24BA,Isle of Wight Council,SZ59209390,Mother Bank - Church Spire,2007-04-17,2007-04-18,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0750
BTX/2007/0751,Medina,B063E,Isle of Wight Council,SZ51209680,Castle Point,2007-04-17,2007-04-18,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0751
BTX/2007/0752,Crouch,B015B,Maldon DC,TR00109540,Outer Crouch,2007-04-17,2007-04-18,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0752
BTX/2007/0753,Poole,B054P,Poole BC,SY99538768,Hamworthy,2007-04-17,2007-04-18,Mussels,NG,,,,,,,,BTX/2007/0753
BTX/2007/0754,Poole,B54BF,Poole BC,SZ09119017,Bournemouth Pier,2007-04-17,2007-04-18,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0754
BTX/2007/0755,Holy Island-Ross Links,B001O,Berwick upon Tweed BC,NU12333958,Ross Links,2007-04-17,2007-04-18,Mussels,PS,ND,ND,ND,,NEGATIVE,<RL,Flesh and water requested,BTX/2007/0755
BTX/2007/0756,Plymouth,B32AD,Plymouth PHA,SX41875721,East of Ajax,2007-04-17,2007-04-18,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0756
BTX/2007/0757,Taw/Torridge,B036N,Torridge DC,SS46603050,Appledore Lifeboat Slipway,2007-04-17,2007-04-18,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0757
BTX/2007/0758,The Wash,,Boston BC,,Zone 2,2007-04-17,2007-04-18,Cockles,NG,,,,,NEGATIVE,<RL,Flesh and water requested,BTX/2007/0758
BTX/2007/0759,The Wash,,Boston BC,,Zone 2,2007-04-17,2007-04-18,Mussels,NG,,,,,NEGATIVE,<RL,Flesh and water requested,BTX/2007/0759
BTX/2007/0760,The Wash,,Boston BC,,Zone 1,2007-04-17,2007-04-18,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2007/0760
BTX/2007/0778,Ribble,B046C,West Lancashire DC,SD32802590,Point 31,2007-04-18,2007-04-19,Mussels,PS,ND,ND,ND,,NEGATIVE,,,BTX/2007/0778
BTX/2007/0779,Menai Strait West,B042F,Gwynedd CC,SH49906587,Llanfairisgaer,2007-04-18,2007-04-19,Mussels,NG,,,,,NEGATIVE,,,BTX/2007/0779
BTX/2007/0805,Lune,B066G,Wyre BC,SD34004870,Knott Spit,2007-04-23,2007-04-24,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0805
BTX/2007/0806,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2007-04-22,2007-04-24,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0806
BTX/2007/0807,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2007-04-22,2007-04-24,Mussels,PS,ND,ND,ND,,NEGATIVE,<RL,,BTX/2007/0807
BTX/2007/0808,The Solent,B024Q,Portsmouth PHA,SZ63499696,Spit Bank,2007-04-23,2007-04-24,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0808
BTX/2007/0809,Portsmouth Harbour,B020B,Portsmouth PHA,SU60290411,Peewit Island W,2007-04-23,2007-04-24,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0809
BTX/2007/0810,Langstone Harbour,B019A,Portsmouth PHA,SU70600391,Main Channel,2007-04-23,2007-04-24,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0810
BTX/2007/0811,Exe,B026E,Teignbridge DC,SX97808090,Pool,2007-04-23,2007-04-24,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0811
BTX/2007/0812,Teign,B027G,Teignbridge DC,SX92737273,Gasworks Bank,2007-04-23,2007-04-24,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0812
BTX/2007/0813,Blackwater,B014D,Maldon DC,TL92500770,Goldhanger,2007-04-23,2007-04-24,Pacific Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0813
BTX/2007/0814,Crouch,B015M,Maldon DC,TQ90109730,Althorne Creek,2007-04-20,2007-04-24,Mussels,PS,ND,ND,ND,,NEGATIVE,<RL,,BTX/2007/0814
BTX/2007/0815,Fal,B033R,Falmouth and Truro PHA,SW85623321,Percuil,2007-04-23,2007-04-24,Native Oysters,NG,,,,,,,,BTX/2007/0815
BTX/2007/0816,Fal,B033Z,Falmouth and Truro PHA,SW84093878,T Pontoon,2007-04-23,2007-04-24,Mussels,PS,ND,ND,ND,,,,,BTX/2007/0816
BTX/2007/0817,Fal,B033C,Falmouth and Truro PHA,SW84544276,Malpas,2007-04-23,2007-04-24,Mussels,PS,ND,ND,ND,,,,,BTX/2007/0817
BTX/2007/0818,Fal,B033P,Falmouth and Truro PHA,SW83883621,East Bank,2007-04-23,2007-04-24,Native Oysters,NG,,,,,,,,BTX/2007/0818
BTX/2007/0819,The Solent,B024N,Isle of Wight Council,SZ34809020,Yarmouth - Blackrock,2007-04-23,2007-04-24,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0819
BTX/2007/0820,The Solent,B024H,Isle of Wight Council,SZ45209410,Thorness,2007-04-23,2007-04-24,Native Oysters,NG,,,,Insufficient,,<RL,Follow up sample requested,BTX/2007/0820
BTX/2007/0821,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre,2007-04-23,2007-04-24,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0821
BTX/2007/0822,Milford Haven,B39AF,Pembrokeshire CC,SM89400210,Roscrowther/Kilpaison,2007-04-22,2007-04-24,Cockles,NG,,,,,,,,BTX/2007/0822
BTX/2007/0823,The Wash,B004F,Kings Lynn & W Norfolk BC,TF60703390,Stylemans,2007-04-20,2007-04-24,Mussels,,,,,,NEGATIVE,,,BTX/2007/0823
BTX/2007/0834,Swale,B076F,Swale BC,TR04206510,River Swale #6,2007-04-24,2007-04-25,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0834
BTX/2007/0835,Bigbury and Avon,B030B,South Hams DC,SX67324494,West Bank,2007-04-24,2007-04-25,Pacific Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0835
BTX/2007/0836,Poole,B054P,Poole BC,SY99538768,Hamworthy,2007-04-24,2007-04-25,Mussels,,,,,,,<RL,,BTX/2007/0836
BTX/2007/0837,Poole,B54BF,Poole BC,SZ09119017,Bournemouth Pier,2007-04-24,2007-04-25,Mussels,,,,,,,<RL,,BTX/2007/0837
BTX/2007/0838,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2007-04-24,2007-04-25,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0838
BTX/2007/0839,Ravenglass,B053B,Copeland DC,SD08509610,Ravenglass,2007-04-24,2007-04-25,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0839
BTX/2007/0874,Fal,B033Z,Falmouth and Truro PHA,SW84093878,T Pontoon,2007-04-30,2007-05-01,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0874
BTX/2007/0875,Fal,B033R,Falmouth and Truro PHA,SW85623321,Percuil,2007-04-30,2007-05-01,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0875
BTX/2007/0876,Fal,B033P,Falmouth and Truro PHA,SW83883621,East Bank,2007-04-30,2007-05-01,Native Oysters,NG,,,,Insufficient,,<RL,Follow up sample requested,BTX/2007/0876
BTX/2007/0877,Fal,B033C,Falmouth and Truro PHA,SW84544276,Malpas,2007-04-30,2007-05-01,Mussels,PS,ND,ND,ND,,NEGATIVE,<RL,,BTX/2007/0877
BTX/2007/0878,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2007-04-30,2007-05-01,Pacific Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0878
BTX/2007/0879,North Kent Coast,B17AM,Canterbury CC,TR08206690,Pollard,2007-04-30,2007-05-01,Pacific Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0879
BTX/2007/0880,North Kent Coast,B17BL,Canterbury CC,TR08206690,Pollard,2007-04-30,2007-05-01,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0880
BTX/2007/0881,The Wash,,Boston BC,,Zone 2,2007-04-30,2007-05-01,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2007/0881
BTX/2007/0882,The Wash,,Boston BC,,Zone 2,2007-04-30,2007-05-01,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0882
BTX/2007/0883,Holy Island-Ross Links,B001O,Berwick upon Tweed BC,NU12333958,Ross Links,2007-04-30,2007-05-01,Mussels,PS,ND,ND,ND,,NEGATIVE,<RL,,BTX/2007/0883
BTX/2007/0884,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,2007-04-30,2007-05-01,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0884
BTX/2007/0885,Teign,B027G,Teignbridge DC,SX92737273,Gasworks Bank,2007-04-30,2007-05-01,Mussels,NG,,,,,,<RL,,BTX/2007/0885
BTX/2007/0894,Roach,B073C,London PHA,TQ95699247,Paglesham Reach,2007-05-01,2007-05-02,Native Oysters,Unable to analyse,,,,,NEGATIVE,<RL,,BTX/2007/0894
BTX/2007/0895,Swansea,B037I,City and Council of Swansea,SS62908930,Swansea Bay S,2007-05-01,2007-05-02,Mussels,Unable to analyse,,,,,NEGATIVE,<RL,,BTX/2007/0895
BTX/2007/0896,Ribble,B046C,West Lancashire DC,SD32802590,Point 31,2007-04-30,2007-05-02,Mussels,Unable to analyse,,,,,,,,BTX/2007/0896
BTX/2007/0897,Fowey,B070K,Fowey PHA,SX12605320,Wisemans,2007-05-01,2007-05-02,Pacific Oysters,Unable to analyse,,,,,NEGATIVE,<RL,,BTX/2007/0897
BTX/2007/0898,Fowey,B070S,Fowey PHA,SX12605320,Wisemans,2007-05-01,2007-05-02,Mussels,PS,ND,ND,ND,,NEGATIVE,<RL,,BTX/2007/0898
BTX/2007/0899,Milford Haven,B39AF,Pembrokeshire CC,SM89400210,Roscrowther/Kilpaison,2007-05-01,2007-05-02,Cockles,Unable to analyse,,,,,NEGATIVE,<RL,,BTX/2007/0899
BTX/2007/0900,Dart,B028F,South Hams DC,SX87415599,Waddeton,2007-05-01,2007-05-02,Mussels,Unable to analyse,,,,,NEGATIVE,<RL,,BTX/2007/0900
BTX/2007/0901,West Mersea,B013F,Maldon DC,TL98611115,Tollesbury North,2007-05-01,2007-05-02,Native Oysters,Unable to analyse,,,,,NEGATIVE,<RL,,BTX/2007/0901
BTX/2007/0902,Brancaster,B005F,Kings Lynn & W Norfolk BC,TF79364451,Loose J,2007-05-01,2007-05-02,Mussels,Unable to analyse,,,,,NEGATIVE,<RL,,BTX/2007/0902
BTX/2007/0935,Chichester Harbour,B018E,Havant BC,SU74600050,Mill Rythe,2007-05-02,2007-05-03,Native Oysters,PS,ND,ND,ND,,NEGATIVE,,,BTX/2007/0935
BTX/2007/0936,Chichester Harbour,B018C,Chichester DC,SU78400160,Chichester Channel,2007-05-02,2007-05-03,Native Oysters,NG,,,,,NEGATIVE,,,BTX/2007/0936
BTX/2007/0950,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2007-05-07,2007-05-09,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0950
BTX/2007/0951,Blackwater,B014D,Maldon DC,TL92500770,Goldhanger,2007-05-08,2007-05-09,Pacific Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0951
BTX/2007/0952,Lune,B066A,Lancaster CC,SD42305430,Plover Scar,2007-05-08,2007-05-09,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0952
BTX/2007/0953,Poole,B054P,Poole BC,SY99538768,Hamworthy,2007-05-08,2007-05-09,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0953
BTX/2007/0954,West Mersea,B013L,Colchester BC,TM04521160,Mersea Shore,2007-05-08,2007-05-09,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0954
BTX/2007/0955,West Mersea,B013D,Colchester BC,TL99101260,Salcott,2007-05-08,2007-05-09,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0955
BTX/2007/0956,West Mersea,B013H,Colchester BC,TM00001370,Strood Channel,2007-05-08,2007-05-09,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/0956
BTX/2007/0957,Fal,B033P,Falmouth and Truro PHA,SW83883621,East Bank,2007-05-08,2007-05-09,Native Oysters,NG,,,,,NEGATIVE,,,BTX/2007/0957
BTX/2007/0958,Fal,B033Z,Falmouth and Truro PHA,SW84093878,T Pontoon,2007-05-08,2007-05-09,Mussels,PS,ND,ND,ND,,,,,BTX/2007/0958
BTX/2007/0959,Fal,B033R,Falmouth and Truro PHA,SW85623321,Percuil,2007-05-08,2007-05-09,Native Oysters,NG,,,,,,,,BTX/2007/0959
BTX/2007/0960,Fal,B033C,Falmouth and Truro PHA,SW84544276,Malpas,2007-05-08,2007-05-09,Mussels,PS,ND,ND,ND,,,,,BTX/2007/0960
BTX/2007/0961,Exe,B26AT,East Devon DC,SY99698050,Beacon Point,2007-05-08,2007-05-09,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0961
BTX/2007/0962,Swale,B076F,Swale BC,TR04206510,River Swale #6,2007-05-08,2007-05-09,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0962
BTX/2007/0963,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2007-05-07,2007-05-09,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/0963
BTX/2007/0964,Milford Haven,B39AF,Pembrokeshire CC,SM89400210,Roscrowther/Kilpaison,2007-05-07,2007-05-09,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2007/0964
BTX/2007/1017,Portland,B025A,Weymouth PHA,SY66277626,Fleet Oyster Farm,2007-05-14,2007-05-14,Pacific Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/1017
BTX/2007/1018,Yealm,B031F,Plymouth PHA,SX54104883,Thorn,2007-05-14,2007-05-15,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/1018
BTX/2007/1019,Taw/Torridge,B036F,North Devon DC,SS47303210,Cool Stone - Instow,2007-05-14,2007-05-15,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/1019
BTX/2007/1020,Blakeney,B006C,North Norfolk DC,TF99004530,Simpool,2007-05-14,2007-05-15,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/1020
BTX/2007/1021,The Wash,,Kings Lynn & W Norfolk BC,,Zone 4,2007-05-14,2007-05-15,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2007/1021
BTX/2007/1022,The Wash,,Boston BC,,Zone 2,2007-05-14,2007-05-15,Cockles,PS,ND,ND,ND,,NEGATIVE,<RL,,BTX/2007/1022
BTX/2007/1023,The Wash,,Boston BC,,Zone 2,2007-05-14,2007-05-15,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2007/1023
BTX/2007/1024,The Wash,,Boston BC,,Zone 1,2007-05-14,2007-05-15,Cockles,NG,,,,,NEGATIVE,<RL,,BTX/2007/1024
BTX/2007/1025,Langstone Harbour,B019A,Portsmouth PHA,SU70600391,Main Channel,2007-05-14,2007-05-15,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/1025
BTX/2007/1026,Portsmouth Harbour,B020B,Portsmouth PHA,SU60290411,Peewit Island W,2007-05-14,2007-05-15,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2007/1026
