OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoY,GeoX,Easting,Northing,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-055,,Northern House Rougier Street,https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9590,-1.0877,459973,451809,0.22,not owned by a public authority,yes,permissioned,other,2020-01-03,https://www.york.gov.uk/SearchPlanningApplications,,58,Proposed change of use from offices to 58 no. flats (use class C3) under Class O Part 3 Schedule 2 of Article 3 of The Town and Country Planning (General Permitted Development) Order 2015.,,,,,,,"See planning application 19/02402/ORC
N.B. Application 22/00098/FULM approved at Planning Committee A on 05/10/2022 - subject to completion of a S106 agreement and the recommended conditions for the demolition of 1 - 9 Rougier Street and erection of mixed use development including 153 apartments (Use Class C3), offices (Use Class E), visitor attraction (Use Class F1), aparthotel with 88 rooms (Use Class C1) Recent events suggest this proposal may not proceed and the development site is up for sale as owners 'try and secure delivery’ of the project.",2020-12-10,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-063,,Duncombe Barracks Burton Stone Lane,https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9699,-1.0894,459842,453079,0.66,owned by a public authority,yes,permissioned,full planning permission,2021-04-16,https://www.york.gov.uk/SearchPlanningApplications,,34,"Erection of 34 dwellings (Use class C3)
N.B. This site forms part of the City of York Council's Housing Delivery Programme","Commercial unit (Use Class E), with associated parking, landscaping and access following demolition of existing buildings and structures",,,,,,"See planning application 20/01902/FULM
This site forms part of City of York Councils Housing Delivery Programme",2020-12-10,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-064,,Hospital Fields Road and Ordnance Lane,https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9459,-1.0766,460708,450362,1.29,owned by a public authority,yes,permissioned,full planning permission,2022-06-14,https://www.york.gov.uk/SearchPlanningApplications,,85,"Demolition of existing buildings, alterations to 'The Married Quarters Building', and erection of new buildings to provide no.85 residential dwellings (Use Class C3), 
This site forms part of the City of York Council's Housing Delivery Programme",457sqm of commercial / business floorspace (Use Class E) and 152sqm of community floorspace (Use Class F1/F2) with associated ancillary development,,,,,,"See planning application 21/02573/FULM
This site forms part of City of York Councils Housing Delivery Programme",2020-12-10,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-065,,York City Living Limited 22 - 26 Blossom Street,https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9553,-1.0922,459666,451399,0.06,not owned by a public authority,yes,permissioned,full planning permission,2020-11-03,https://www.york.gov.uk/SearchPlanningApplications,,16,Conversion of building to form 7no. apartments and 1no. studios and erection of detached three storey building to create 5no. apartments and 3no. studios ,,,,,,,"See planning application 19/01588/FULM
N.B. Planning application 23/00136/FUL currently pending consideration may reduce housing numbers for this site.",2021-12-01,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-068,,"Joseph Rowntree Housing Trust
Beverley House
17 Shipton Road
Clifton
",https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9718,-1.1028,458951,453228,0.30,not owned by a public authority,yes,permissioned,full planning permission,2021-08-19,https://www.york.gov.uk/SearchPlanningApplications,,21,Conversion of existing office building and erection of three detached buildings to provide 21 apartments in total,,,,,,,See Planning application 20/01084/FULM,2021-12-01,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-069,,"W L D Textiles
Granville Works
Lansdowne Terrace
",https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9558,-1.0657,461405,451476,0.10,not owned by a public authority,yes,permissioned,full planning permission,2021-10-14,https://www.york.gov.uk/SearchPlanningApplications,,8,"Erection of 8no.dwellinghouses, together with associated parking and landscaping following the demolition of the existing business premises",,,,,,,See Planning application 20/00821/FUL,2021-12-01,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-070,,"Barnett's
28A Colliergate
",https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9600,-1.0809,460479,451943,0.14,not owned by a public authority,yes,permissioned,full planning permission,2023-03-17,https://www.york.gov.uk/SearchPlanningApplications,,12,Conversion of Drill Hall and upper floors from retail to residential (Use class C3) creating 10no. townhouses and 2no. Apartments,,,,,,,Planning application 19/02753/FULM  ,2021-12-01,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-071,,"Plumbase
Waterloo House
Fawcett Street",https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9525,-1.0752,460790,451108,0.17,not owned by a public authority,yes,permissioned,full planning permission,2022-03-04,https://www.york.gov.uk/SearchPlanningApplications,,83,"Erection of student accommodation block (83no. student studios), ancillary storage building and landscaping following demolition of existing buildings",,,,,,,See planning application 21/01570/FULM  ,2021-12-01,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-072,,"Cherry Tree House 
218 Fifth Avenue",https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9601,-1.0559,462043,451963,0.36,not owned by a public authority,yes,permissioned,full planning permission,2022-09-30,https://www.york.gov.uk/SearchPlanningApplications,,48,Erection of three buildings to form 48no. apartments with associated works and infrastructure following the demolition of existing building.,,,,,,,See planning application 20/02034/FULM  ,2021-12-01,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-074,,"Mecca Bingo
68 Fishergate
York
YO10 4AR",https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9513,-1.0729,460729,451025,0.40,not owned by a public authority,yes,permissioned,full planning permission,2022-04-25,https://www.york.gov.uk/SearchPlanningApplications,,104,Demolition of existing buildings and redevelopment of the site to form 275no. room (104 cluster flats) purpose built student accommodation ,,,,,,,See planning application 21/01605/FULM,2022-12-01,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-075,,"Alton Cars York Ltd
3 James Street
York
YO10 3WW",https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9552,-1.0650,461245,451461,0.38,not owned by a public authority,yes,permissioned,full planning permission,2022-05-09,https://www.york.gov.uk/SearchPlanningApplications,,135,Demolition of existing buildings and redevelopment for purpose-built student accommodation with up to 303no. Bedrooms (135 Cluster flats),,,,,,,"See planning application 22/00367/FULM
N.B. Application 22/00367/FULM approved for the demolition of existing buildings and redevelopment of the site for purpose-built student accommodation with up to 303no. bedrooms whilst 23/00099/NONMAT for non-material amendment to permitted application 22/00367/FULM to change 36no. study bedrooms to 36no. studios  - this effectively increased student cluster flats to 135 in total from 104",2022-12-01,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-077,,"Shoezone
5 High Ousegate
York
YO1 8RZ",https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9576,-1.0788,460336,451717,0.03,not owned by a public authority,yes,permissioned,full planning permission,2022-06-28,https://www.york.gov.uk/SearchPlanningApplications,,8,"Conversion of upper floors to create 2 no. one bed flats and 6 no. bedsits/studios, single storey side extension with second and third floor rear extension",,,,,,,See planning application 21/01032/FUL,2022-12-01,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-081,,"Herbert Todd And Son
16 York Road
Acomb
York
YO24 4LU",https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9560,-1.1176,457787,45150,0.04,not owned by a public authority,yes,permissioned,full planning permission,2022-10-14,https://www.york.gov.uk/SearchPlanningApplications,,5,Change of use from shop (use class E) to 5no. flats (use class C3) including partial demolition works and extensions,,,,,,,See planning application 22/01617/FUL,2022-12-01,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-082,,"Bootham And Monk Ward Conservative Club
77 - 79 Clarence Street
York
YO31 7EL",https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9671,-1.0788,460318,452770,0.06,not owned by a public authority,yes,permissioned,full planning permission,2022-11-15,https://www.york.gov.uk/SearchPlanningApplications,,14,Erection of two and three storey 34no. room student accommodation building (14 No. student cluster flats) following demolition of existing buildings at 75-79 Clarence Street (revised scheme),,,,,,,See planning application 22/00599/FULM,2022-12-01,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-083,,"Dennings Of York
The Sidings
Wigginton Road
York
YO31 8JG",https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9725,-1.0805,460203,453378,0.420,not owned by a public authority,yes,permissioned,full planning permission,2023-02-17,https://www.york.gov.uk/SearchPlanningApplications,,9,"Erection of 9no. dwellings (use class C3) with associated highways, landscaping and boundary improvements, car and cycle parking and open space",,,,,,,See planning application 21/01154/FUL,2023-11-01,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-084,,"Royal Masonic Benevolent Institute
Connaught Court
St Oswalds Road
York
YO10 4QA",https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9377,-1.0723,460688,449521,0.300,not owned by a public authority,yes,permissioned,full planning permission,2022-12-22,https://www.york.gov.uk/SearchPlanningApplications,,10,Change of use of existing bungalows (Use Class C2) to residential accommodation where care is provided (Use Class C3(b)) with construction of associated parking court and access driveway from Fulford Park,,,,,,,See planning application 20/01471/FULM,2023-11-01,2023-11-01
http://opendatacommunities.org/id/unitary-authority/york,City of York Council,BR-085,,"Limes Hotel
135 Fulford Road
York
YO10 4HE",https://www.york.gov.uk/BrownfieldRegister,WGS84,53.9418,-1.0707,460887,449971,0.078,not owned by a public authority,yes,permissioned,full planning permission,2023-06-19,https://www.york.gov.uk/SearchPlanningApplications,,5,Conversion of hotel (use class C1) to 5no. apartments (C3) including single storey side extensions and demolition of existing garage.,,,,,,,See planning application 22/02259/FUL,2023-11-01,2023-11-01
