Allocated,1st Pref,2nd Pref,3rd Pref,4th Pref,5th Pref,CatchmentName,CatchmentCode,Year 
8162015,8162015,8162180,,,,Yearsley Grove Primary School,8162015,2022
8162004,8162004,8162012,,,,Park Grove Primary Academy,8162012,2022
8162018,8162018,,,,,Clifton Green Primary School,8162018,2022
8162015,8162015,,,,,Haxby Road Primary Academy,8162004,2022
8162028,8162028,,,,,Hob Moor Community Primary School,8162028,2022
8162027,8162027,8162007,,,,Hob Moor Community Primary School,8162028,2022
8162000,8162000,8162014,8162017,,,Acomb Primary School,8162000,2022
8163156,8163156,8162008,8163158,8162431,,St Oswald's CE Primary School,8163156,2022
8153153,8153153,8163380,8163159,,,Wheldrake with Thorganby CE Primary School,8163380,2022
8162012,8162012,,,,,Tang Hall Primary School,8162429,2022
8163158,8163158,,,,,Badger Hill Primary School,8162431,2022
8162027,8162027,,,,,Woodthorpe Primary School,8162027,2022
8163002,8163002,8163904,8162003,8162000,8162014,Acomb Primary School,8162000,2022
8162240,8162240,8162058,8162241,,,Wigginton Primary School,8162240,2022
8162240,8162240,8162058,8162241,,,Wigginton Primary School,8162240,2022
8162180,8162180,,,,,Huntington Primary Academy,8162180,2022
8163904,8163904,,,,,Acomb Primary School,8162000,2022
8163402,8163158,8163402,,,,St Lawrence's CE Primary School,8162020,2022
8162018,8162018,,,,,Clifton Green Primary School,8162018,2022
8162430,8162430,8162428,,,,Clifton with Rawcliffe Primary School,8162430,2022
8162430,8162430,,,,,Clifton with Rawcliffe Primary School,8162430,2022
8162180,8162180,8162227,,,,Stockton On The Forest Primary School,8162227,2022
8163380,8163380,,,,,Wheldrake with Thorganby CE Primary School,8163380,2022
8163156,8163156,,,,,Huntington Primary Academy,8162180,2022
8163156,8163156,8162008,,,,Fishergate Primary School,8162008,2022
8162429,8162429,8162008,,,,Tang Hall Primary School,8162429,2022
8162008,8162008,8163156,8163158,,,St Oswald's CE Primary School,8163156,2022
8162018,8162018,,,,,Clifton Green Primary School,8162018,2022
8162015,8162015,8162018,,,,Clifton Green Primary School,8162018,2022
8162014,8162014,,,,,Poppleton Road Primary School,8162014,2022
8162018,8162018,8162430,8162004,,,Burton Green Primary School,8162024,2022
8162017,8162017,,,,,Westfield Community Primary School,8162017,2022
8163002,8163002,8162017,8162014,,,St Barnabas' CE Primary School,8163002,2022
8162020,8162020,,,,,St Lawrence's CE Primary School,8162020,2022
8162017,8162017,,,,,Westfield Community Primary School,8162017,2022
8162017,8162017,,,,,Westfield Community Primary School,8162017,2022
8162013,8162013,,,,,Copmanthorpe Primary School,8162013,2022
8162180,8162180,,,,,Huntington Primary Academy,8162180,2022
8162027,8162027,,,,,Woodthorpe Primary School,8162027,2022
8162028,8162028,,,,,Westfield Community Primary School,8162017,2022
8162007,8162007,,,,,Woodthorpe Primary School,8162027,2022
8162016,8162001,8162011,8162016,,,Park Grove Primary Academy,8162012,2022
8162004,8162004,,,,,Park Grove Primary Academy,8162012,2022
8162028,8162028,8162017,,,,Hob Moor Community Primary School,8162028,2022
8162011,8162011,8162000,8162014,8162430,8162058,St Paul's CE Primary School,8163003,2022
8162003,8162003,,,,,Carr Infant School,8162003,2022
8162000,8162000,8162029,8163003,,,Acomb Primary School,8162000,2022
8162014,8162014,8163003,8162003,,,Poppleton Road Primary School,8162014,2022
8162386,8162386,8163159,,,,Bishopthorpe Infant School,8162386,2022
8163156,8163156,8163158,8162008,,,Fishergate Primary School,8162008,2022
8162007,8162007,,,,,Woodthorpe Primary School,8162027,2022
8162015,8162015,8162001,8162021,,,Tang Hall Primary School,8162429,2022
8162004,8162004,,,,,Skelton Primary School,8162169,2022
8162018,8162018,,,,,Clifton Green Primary School,8162018,2022
8162428,8162428,8162024,,,,Burton Green Primary School,8162024,2022
8162430,8162430,,,,,Clifton with Rawcliffe Primary School,8162430,2022
8162027,8162027,,,,,Woodthorpe Primary School,8162027,2022
8162024,8162024,8162018,,,,Burton Green Primary School,8162024,2022
8162012,8162012,8163403,,,,Park Grove Primary Academy,8162012,2022
8162169,8162169,,,,,Skelton Primary School,8162169,2022
8163002,8163002,8162014,,,,St Barnabas' CE Primary School,8163002,2022
8163002,8163002,8162014,,,,St Barnabas' CE Primary School,8163002,2022
8162018,8162018,8162024,,,,Clifton Green Primary School,8162018,2022
8162016,8163158,8162016,,,,Scarcroft Primary School,8162016,2022
8162430,8162430,8162428,,,,Lakeside Primary School,8162428,2022
8162008,8162008,,,,,St Lawrence's CE Primary School,8162020,2022
8163402,8163402,,,,,Osbaldwick Primary School,8162176,2022
8162020,8162020,,,,,Tang Hall Primary School,8162429,2022
8162008,8162008,,,,,St Lawrence's CE Primary School,8162020,2022
8162029,8162029,,,,,Woodthorpe Primary School,8162027,2022
8162180,8162180,,,,,Yearsley Grove Primary School,8162015,2022
8162017,8162017,8162028,,,,Westfield Community Primary School,8162017,2022
8163212,8163212,,,,,Robert Wilkinson Primary School,8163212,2022
8162024,8162024,8162018,,,,Clifton Green Primary School,8162018,2022
8162024,8162024,,,,,Burton Green Primary School,8162024,2022
8162024,8162024,,,,,Burton Green Primary School,8162024,2022
8162029,8162029,,,,,Poppleton Ousebank Primary School,8162029,2022
8162240,8162240,8162058,,,,Wigginton Primary School,8162240,2022
8162029,8162029,,,,,Poppleton Ousebank Primary School,8162029,2022
8162014,8162014,8162029,8162008,,,Carr Infant School,8162003,2022
8162004,8162004,8162024,8162015,8162012,,Haxby Road Primary Academy,8162004,2022
8162431,8162431,8163158,,,,Osbaldwick Primary School,8162176,2022
,,8163152,,,,,,2022
8162004,8163302,8162001,8162004,,,Haxby Road Primary Academy,8162004,2022
8162001,8162001,8163302,,,,Hempland Primary School,8162001,2022
8162018,8162018,8162024,,,,Burton Green Primary School,8162024,2022
8162015,8162015,8162021,8162004,,,Yearsley Grove Primary School,8162015,2022
8163003,8163003,8162000,,,,Acomb Primary School,8162000,2022
8162000,8162000,8163003,8162014,,,Acomb Primary School,8162000,2022
8162431,8162431,,,,,Osbaldwick Primary School,8162176,2022
8162017,8162017,8162027,8162028,8162000,8162007,Westfield Community Primary School,8162017,2022
8163151,8163151,8162001,8163158,,,Dunnington CE Primary School,8163151,2022
8162007,8162007,,,,,Hob Moor Community Primary School,8162028,2022
8163158,8163158,,,,,St Lawrence's CE Primary School,8162020,2022
8162029,8162029,,,,,Carr Infant School,8162003,2022
8163904,8163904,8162000,8163003,,,Acomb Primary School,8162000,2022
8163003,8163003,,,,,St Paul's CE Primary School,8163003,2022
8162008,8162008,,,,,Fishergate Primary School,8162008,2022
8162000,8162000,8162028,,,,Acomb Primary School,8162000,2022
8162029,8162029,8162027,8162007,8162014,,Woodthorpe Primary School,8162027,2022
8163212,8163212,8162227,8162021,,,Robert Wilkinson Primary School,8163212,2022
8163212,8163212,,,,,Robert Wilkinson Primary School,8163212,2022
8162169,8162169,8162029,,,,Clifton with Rawcliffe Primary School,8162430,2022
8163212,8163212,,,,,Robert Wilkinson Primary School,8163212,2022
8162021,8162021,8162180,,,,Huntington Primary Academy,8162180,2022
