Breed,Sex,UP TO 2 Months, 2 AND 4 Months, 4 AND 8 Months, 8 AND 12 Months, 12 AND 18 Months, 18 AND 24 Months, 24 AND 30 Months, 30 AND 36 Months, 36 AND 42 Months, 42 AND 48 Months,OVER 48 Months,Totals
RED POLL X, F ,0,0,0,4,10,56,42,17,3,7,42,181
, M ,1,0,0,1,40,121,133,6,5,3,5,315
ROMAGNOLA, F ,0,0,0,0,0,0,1,0,0,0,14,15
, M ,0,0,0,0,2,2,8,0,0,1,1,14
ROMAGNOLA X, F ,0,0,0,1,24,15,29,5,3,1,62,140
, M ,0,0,0,3,14,23,51,3,1,0,4,99
ROTEBUNDE, M ,0,0,0,0,0,1,0,0,0,0,0,1
ROTEBUNDE X, F ,0,0,0,0,0,0,1,0,3,3,3,10
, M ,0,0,0,0,1,2,1,0,0,0,0,4
SALERS, F ,1,0,0,2,37,179,271,22,22,12,367,913
, M ,0,0,1,0,178,411,534,6,11,9,44,"1,194"
SALERS X, F ,5,0,0,6,192,"1,282","1,602",127,95,64,"1,945","5,318"
, M ,1,0,1,26,944,"1,894","2,727",53,36,11,13,"5,706"
SHETLAND, F ,0,0,0,0,2,16,16,4,1,8,52,99
, M ,1,0,0,2,22,47,115,6,1,2,5,201
SHETLAND X, F ,0,0,0,0,5,18,16,0,1,1,64,105
, M ,0,0,0,1,19,23,40,2,2,0,0,87
SHORTHORN, F ,2,0,0,4,14,40,103,25,48,41,872,"1,149"
, M ,105,10,11,24,352,377,652,45,19,12,56,"1,663"
SHORTHORN X, F ,2,0,1,2,131,420,462,65,67,79,"1,447","2,676"
, M ,76,4,2,15,580,"1,326","1,917",78,34,12,14,"4,058"
SIMMENTAL, F ,4,3,5,20,693,"2,362","3,328",219,191,194,"3,622","10,641"
, M ,0,5,5,179,"3,409","2,963","4,952",152,103,84,742,"12,594"
SIMMENTAL X, F ,62,3,115,332,"6,132","23,704","29,937","1,496",968,809,"20,948","84,506"
, M ,14,12,112,"1,036","18,663","25,698","45,298","1,123",508,177,208,"92,849"
SOUTH DEVON, F ,0,0,6,13,98,580,"1,520",168,127,140,"2,385","5,037"
, M ,0,0,4,39,"1,111","1,281","3,459",119,57,18,128,"6,216"
SOUTH DEVON X, F ,3,0,4,34,290,"1,299","1,824",118,75,89,926,"4,662"
, M ,3,1,6,56,"1,042","1,581","2,835",66,35,10,28,"5,663"
STABILISER, F ,0,0,0,0,27,67,39,7,12,5,19,176
, M ,0,0,0,17,213,153,44,7,3,4,15,456
STABILISER X, F ,1,0,0,0,132,697,395,50,84,38,144,"1,541"
, M ,0,0,0,196,"1,132","1,242",440,11,0,0,0,"3,021"
SUSSEX, F ,0,0,0,0,9,133,184,19,7,25,359,736
, M ,0,0,0,6,106,500,613,25,17,11,20,"1,298"
SUSSEX X, F ,0,0,2,3,86,462,541,16,17,8,229,"1,364"
, M ,0,0,2,7,148,499,893,36,15,5,3,"1,608"
SWEDISH RED & WHITE, F ,1,0,0,0,0,2,3,1,3,3,36,49
, M ,21,0,0,1,41,15,41,5,4,0,0,128
SWEDISH RED CROSS, M ,3,0,0,0,0,0,0,0,0,0,0,3
SWEDISH RED&WHITE X, F ,12,2,0,2,3,4,20,15,20,18,123,219
, M ,301,13,14,4,414,166,180,4,2,0,0,"1,098"
SWISS BRAUNVIEH, F ,0,0,0,0,0,0,1,0,1,0,4,6
, M ,0,0,0,0,0,1,2,0,0,0,0,3
SWISS BRAUNVIEH X, F ,0,0,0,0,0,5,0,0,0,0,4,9
, M ,0,0,0,0,0,4,9,0,1,0,0,14
SWISS GREY, F ,0,0,0,0,0,0,0,0,0,0,1,1
, M ,0,0,0,0,1,0,0,0,0,0,0,1
SWISS GREY X, F ,0,0,0,0,0,0,0,0,1,0,1,2
