OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-02-01T00:00:00,2023-02-28T23:59:59,Month,2023-02,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,264236,322980,218303,178524,114129
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-02-01T00:00:00,2023-02-28T23:59:59,Month,2023-02,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,241497,301366,205640,165012,97317
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-02-01T00:00:00,2023-02-28T23:59:59,Month,2023-02,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,275311,390589,250882,201040,127343
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-02-01T00:00:00,2023-02-28T23:59:59,Month,2023-02,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,212249,281866,181187,146080,104446
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-01-01T00:00:00,2023-01-31T23:59:59,Month,2023-01,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,237075,316625,210086,167348,114064
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-01-01T00:00:00,2023-01-31T23:59:59,Month,2023-01,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,198489,274278,170548,136731,95298
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-01-01T00:00:00,2023-01-31T23:59:59,Month,2023-01,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,238870,297677,203235,160533,108764
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-01-01T00:00:00,2023-01-31T23:59:59,Month,2023-01,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,183379,296250,200507,153716,113141
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-01-01T00:00:00,2023-01-31T23:59:59,Month,2023-01,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,268952,328560,222208,182021,116403
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-01-01T00:00:00,2023-01-31T23:59:59,Month,2023-01,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,242075,302000,205967,165735,98060
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-01-01T00:00:00,2023-01-31T23:59:59,Month,2023-01,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,274987,389699,250467,201173,127569
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2023-01-01T00:00:00,2023-01-31T23:59:59,Month,2023-01,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,216914,287887,185049,149570,106962
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2024-03-19T00:00:00,,2022-12-01T00:00:00,2022-12-31T23:59:59,Month,2022-12,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,238495,317846,211518,169115,115010
