Birth Year,Birth Month,Country,Gov Region,County,Breed Type,Breed,Sex,Application Type,Number Of Births
2015,January  ,Wales,Wales,Gwynedd,Dairy,BRITISH FRIESIAN X,M,Birth Application,16
2015,January  ,Wales,Wales,Dyfed,Dairy,BRITISH FRIESIAN X,F,Birth Application,201
2015,January  ,Wales,Wales,South Glamorgan,Dairy,BRITISH FRIESIAN X,M,Birth Application,2
2015,January  ,Wales,Wales,Dyfed,Dairy,BRITISH FRIESIAN X,M,Birth Application,171
2015,January  ,Wales,Wales,Gwent,Dairy,BRITISH FRIESIAN X,M,Birth Application,6
2015,January  ,Wales,Wales,West Glamorgan,Dairy,BRITISH FRIESIAN X,F,Birth Application,1
2015,January  ,Wales,Wales,Gwynedd,Dairy,BRITISH FRIESIAN X,F,Birth Application,24
2015,January  ,Wales,Wales,Clwyd,Dairy,BRITISH FRIESIAN X,M,Birth Application,70
2015,January  ,Wales,Wales,Powys,Dairy,BRITISH FRIESIAN X,M,Birth Application,6
2015,January  ,Wales,Wales,West Glamorgan,Dairy,BRITISH FRIESIAN X,M,Birth Application,2
2015,January  ,Wales,Wales,Clwyd,Dairy,BRITISH FRIESIAN X,F,Birth Application,94
2015,January  ,Wales,Wales,Powys,Dairy,BRITISH FRIESIAN X,F,Birth Application,5
2015,January  ,Wales,Wales,Gwent,Non Dairy,BRITISH WHITE,M,Birth Application,1
2015,January  ,Wales,Wales,Powys,Non Dairy,BRITISH WHITE,F,Birth Application,2
2015,January  ,Wales,Wales,Dyfed,Non Dairy,BRITISH WHITE,F,Birth Application,1
2015,January  ,Wales,Wales,Clwyd,Dairy,BROWN SWISS,M,Birth Application,2
2015,January  ,Wales,Wales,Clwyd,Dairy,BROWN SWISS,F,Birth Application,3
2015,January  ,Wales,Wales,Dyfed,Dairy,BROWN SWISS,F,Birth Application,14
2015,January  ,Wales,Wales,Powys,Dairy,BROWN SWISS,F,Birth Application,7
2015,January  ,Wales,Wales,Powys,Dairy,BROWN SWISS,M,Birth Application,2
2015,January  ,Wales,Wales,Dyfed,Dairy,BROWN SWISS,M,Birth Application,2
2015,January  ,Wales,Wales,Powys,Dairy,BROWN SWISS X,F,Birth Application,5
2015,January  ,Wales,Wales,Clwyd,Dairy,BROWN SWISS X,F,Birth Application,6
2015,January  ,Wales,Wales,Gwynedd,Dairy,BROWN SWISS X,F,Birth Application,1
2015,January  ,Wales,Wales,Dyfed,Dairy,BROWN SWISS X,F,Birth Application,7
2015,January  ,Wales,Wales,Clwyd,Dairy,BROWN SWISS X,M,Birth Application,7
2015,January  ,Wales,Wales,Powys,Dairy,BROWN SWISS X,M,Birth Application,2
2015,January  ,Wales,Wales,Dyfed,Dairy,BROWN SWISS X,M,Birth Application,5
2015,January  ,Wales,Wales,Gwynedd,Dairy,BROWN SWISS X,M,Birth Application,5
2015,January  ,Wales,Wales,West Glamorgan,Non Dairy,CHAROLAIS,F,Birth Application,6
2015,January  ,Wales,Wales,Gwynedd,Non Dairy,CHAROLAIS,M,Birth Application,32
2015,January  ,Wales,Wales,Clwyd,Non Dairy,CHAROLAIS,F,Birth Application,12
2015,January  ,Wales,Wales,West Glamorgan,Non Dairy,CHAROLAIS,M,Birth Application,8
2015,January  ,Wales,Wales,Mid Glamorgan,Non Dairy,CHAROLAIS,M,Birth Application,1
2015,January  ,Wales,Wales,Powys,Non Dairy,CHAROLAIS,M,Birth Application,15
2015,January  ,Wales,Wales,Clwyd,Non Dairy,CHAROLAIS,M,Birth Application,11
2015,January  ,Wales,Wales,Dyfed,Non Dairy,CHAROLAIS,F,Birth Application,27
2015,January  ,Wales,Wales,Gwynedd,Non Dairy,CHAROLAIS,F,Birth Application,20
2015,January  ,Wales,Wales,Powys,Non Dairy,CHAROLAIS,F,Birth Application,6
2015,January  ,Wales,Wales,Gwent,Non Dairy,CHAROLAIS,M,Birth Application,5
2015,January  ,Wales,Wales,Gwent,Non Dairy,CHAROLAIS,F,Birth Application,3
2015,January  ,Wales,Wales,Dyfed,Non Dairy,CHAROLAIS,M,Birth Application,26
2015,January  ,Wales,Wales,South Glamorgan,Non Dairy,CHAROLAIS X,M,Birth Application,8
2015,January  ,Wales,Wales,Powys,Non Dairy,CHAROLAIS X,M,Birth Application,276
2015,January  ,Wales,Wales,Clwyd,Non Dairy,CHAROLAIS X,M,Birth Application,74
2015,January  ,Wales,Wales,West Glamorgan,Non Dairy,CHAROLAIS X,F,Birth Application,34
2015,January  ,Wales,Wales,Powys,Non Dairy,CHAROLAIS X,F,Birth Application,259
2015,January  ,Wales,Wales,Dyfed,Non Dairy,CHAROLAIS X,F,Birth Application,134
2015,January  ,Wales,Wales,Gwent,Non Dairy,CHAROLAIS X,F,Birth Application,57
2015,January  ,Wales,Wales,Gwynedd,Non Dairy,CHAROLAIS X,F,Birth Application,125
2015,January  ,Wales,Wales,Dyfed,Non Dairy,CHAROLAIS X,M,Birth Application,119
2015,January  ,Wales,Wales,Gwent,Non Dairy,CHAROLAIS X,M,Birth Application,85
2015,January  ,Wales,Wales,Mid Glamorgan,Non Dairy,CHAROLAIS X,M,Birth Application,12
2015,January  ,Wales,Wales,Gwynedd,Non Dairy,CHAROLAIS X,M,Birth Application,129
