Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip (specific),Mode of transport,Class of travel,Accommodation / Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Tracey Waltho,11/07/18,2,London - Newcastle,Conference Attendance - CS Live,Rail,Standard,Y,,£315.10,
Guy lester,27/09/18,2,"Warren House, New Malden",ExCo Away Day ,Rail / Taxi,Standard,,,£31.30,
David Cook,19/09/18,3,Jersey,Conference Attendance - CALC Regional Drafting Conference,Air,Standard,Y,,£270.00,
Simon Tse,01/07/18,2,London,SCS Development Centre on 2nd July,Rail,Standard,Y,,£103.80,
Simon Tse,04/07/18,2,London ,Commercial Director Group,Rail,Standard,Y,,£109.63,
Simon Tse,09/07/18,1,London,Senior Leadership Team Meeting,Rail,Standard,Y,,£267.70,
Simon Tse,16/07/18,3,Westminster,Informal Roundtable ,Rail,Standard,Y,,£272.40,
Simon Tse,18/07/18,3,Westminster,MHCLG Meeting,Rail,Standard,Y,,£132.60,
Simon Tse,24/07/18,3,London,Senior Leadership Team Meeting,Rail,Standard,Y,,£494.00,
Simon Tse,30/07/18,3,Westminster,CEX Team Meeting,Rail,Standard,Y,,£492.10,
Simon Tse,01/08/18,1,London,Meeting with NED,Rail,Standard,Y,,£5.00,
Simon Tse,02/08/18,1,Newport,Homeworker - Handover with Colin Morrow,Car,,,,£45.90,
Simon Tse,03/08/18,1,Bristol,Meeting with Proxima,Rail,Standard,Y,,£43.05,
Simon Tse,06/08/18,3,Westminster,CEX Team Meeting,Rail,Standard,Y,,£445.20,
Simon Tse,07/08/18,3,Leeds,Coaching Masterclass - Leeds,Rail,Standard,Y,,£278.89,
Simon Tse,09/08/18,1,Newport,Homeworker Mileage Claim - Site Visit,Car,,,,£91.80,
Simon Tse,13/08/18,4,London,Meeting with NED,Rail,Standard,Y,,£481.70,
Simon Tse,14/08/18,4,London,121's with staff,Rail,Standard,Y,,£134.80,
Simon Tse,15/08/18,4,London,Senior Leadership Team Meeting,Rail,Standard,Y,,£24.50,
Simon Tse,16/08/18,4,London,Gov Department Meetings,Rail,Standard,Y,,£136.20,
Simon Tse,17/08/18,1,Newport,Homeworker Mileage Claim - Site Visit,Car,,,,£50.90,
Simon Tse,20/08/18,4,Westminster,CEX Team Meeting,Rail,Standard,Y,,£789.77,
Simon Tse,21/08/18,4,Norwich,121's with staff,Rail,Standard,Y,,£398.70,
Simon Tse,22/08/18,4,London,121's with staff,Rail,Standard,Y,,£27.50,
Simon Tse,23/08/18,4,London,CMP Programme Board,Rail,Standard,Y,,£5.00,
Simon Tse,28/08/18,3,London,Proxima Meeting,Rail,Standard,Y,,£392.74,
Simon Tse,29/08/18,3,London,Meetings with Cabinet Office and new staff,Rail,Standard,Y,,£28.00,
Simon Tse,30/08/18,3,London,McKinsey Meeting,Rail,Standard,Y,,£197.60,
Simon Tse,31/08/18,1,Newport,Homeworker Mileage Claim - Site Visit,Rail,Standard,Y,,£45.90,
Simon Tse,13/09/18,1,London,Technology Committee,Rail,Standard,Y,,£267.70,
Simon Tse,17/09/18,1,London,Senior Leadership Team Meeting,Rail,Standard,Y,,£551.65,
Simon Tse,25/09/18,1,London,SLT & Board Strategy Day,Rail,Standard,Y,,£489.40,
Simon Tse,27/09/18,1,London,NED Meeting,Rail,Standard,Y,,£269.10,
Sue Gray,02/07/18,1,London,Meeting with Officials,Air,Economy,,,£353.95,
Sue Gray,07/07/18,2,London,IDP Training Session,Air ,Economy,,,£345.88,
Sue Gray,11/07/18,1,Belfast,Meeting with Officials,Air ,Economy,,,£418.95,
Sue Gray,2018-07-01 to 2018-08-30,8,Belfast - London,* NICS reimburses CO for costs incurred travelling from London to NI Office,Air,Economy,,,"£1,765.09",
Lucy Smith ,06/09/18,1,London - Glasgow,CBI Scotland Annual Dinner ,Air,Standard ,Y,,£327.18,
Lucy Smith,07/09/18,2,Glasgow - Oxford ,British Irish Association Conference ,Rail ,Standard ,,,£207.60,
Lucy Smith,11/09/18,3,London - Edinburgh,Meetings with Scottish Government officials and stakeholders ,Air,Standard ,Y,,£487.48,
Lucy Smith,26/09/18,1,London - Birmingham ,Meeting with stakeholders,Rail ,Standard ,,,£146.00,
Janette Durbin,20/07/18,1,London - Swindon,Leadership and Learning Board ,Rail ,Standard ,,,£98.20,
Janette Durbin,03/09/18,1,London - Basingstoke,Management team meeting ,Rail ,Standard ,,,£27.60,
Alison Pritchard,24/09/18,2,London - Cardiff,Transforming Together conference,Rail ,Standard,,,£252.30,
Alison Pritchard,27/08/18,1,London - York - Crewe,Export Health Certificates IPA Assurance Review,Rail ,Standard  /  First,,,£504.60,
Melinda Johnson,12/07/18,1,Grantham - London,DHSC Commercial & SCCL Meetings ,Rail ,Standard ,,,£135.00,
Melinda Johnson,13/07/18,1,Grantham - London,DHSC Commercial & GCO Meetings ,Rail ,Standard ,,,£135.00,
Melinda Johnson,16/07/18,1,Grantham - London,DHSC Commercial & SoFs Meetings,Rail ,Standard ,,,£135.00,
Melinda Johnson,18/07/18,1,Grantham - London,DHSC Commercial & SCCL Meetings ,Rail ,Standard ,,,£135.00,
Melinda Johnson,19/07/18,1,Grantham - London,"DHSC Commercial, ALB & GCO Meetings ",Rail ,Standard ,,,£141.50,
Melinda Johnson,30/07/18,1,Grantham - Manchester,DHSC COMMERCIAL & Manchester University NHS Foundation Trust,Rail ,Standard ,,,£79.60,
Melinda Johnson,31/07/18,1,Grantham - London,DHSC Commercial & SCCL Meetings ,Rail ,Standard ,,,£145.70,
