Birth Year,Birth Month,Country,Gov Region,County,Breed Type,Breed,Sex,Application Type,Number Of Births
2015,April    ,Scotland,Scotland,Argyll,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,305
2015,April    ,Scotland,Scotland,Fife,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,359
2015,April    ,Scotland,Scotland,Perth,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,345
2015,April    ,Scotland,Scotland,West Lothian,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,70
2015,April    ,Scotland,Scotland,Peebles,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,95
2015,April    ,Scotland,Scotland,Renfrew,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,88
2015,April    ,Scotland,Scotland,Inverness,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,92
2015,April    ,Scotland,Scotland,Kirkcudbright,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,480
2015,April    ,Scotland,Scotland,Lanark,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,284
2015,April    ,Scotland,Scotland,Orkney,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,636
2015,April    ,Scotland,Scotland,Kinross,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,5
2015,April    ,Scotland,Scotland,Banff,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,121
2015,April    ,Scotland,Scotland,Selkirk,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,40
2015,April    ,Scotland,Scotland,Sutherland,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,51
2015,April    ,Scotland,Scotland,Kincardine,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,93
2015,April    ,Scotland,Scotland,Dumfries,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,544
2015,April    ,Scotland,Scotland,Nairn,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,56
2015,April    ,Scotland,Scotland,Shetland,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,28
2015,April    ,Scotland,Scotland,Wigtown,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,621
2015,April    ,Scotland,Scotland,Stirling,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,74
2015,April    ,Scotland,Scotland,Mid Lothian,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,304
2015,April    ,Scotland,Scotland,Banff,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,135
2015,April    ,Scotland,Scotland,Berwick,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,919
2015,April    ,Scotland,Scotland,Ayr,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,374
2015,April    ,Scotland,Scotland,Fife,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,388
2015,April    ,Scotland,Scotland,Orkney,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,691
2015,April    ,Scotland,Scotland,East Lothian,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,149
2015,April    ,Scotland,Scotland,Bute,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,97
2015,April    ,Scotland,Scotland,Selkirk,Non Dairy,ABERDEEN ANGUS X,M,Birth Application,54
2015,April    ,Scotland,Scotland,Inverness,Non Dairy,ABERDEEN ANGUS X,F,Birth Application,101
