ORGANISATION NAME,EFEFCTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,CHILDREN’S SOCIAL CARE,REED SPECIALIST RECRUITMENT LTD,27/12/2023,1573.61 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,CHILDREN’S SOCIAL CARE,REED SPECIALIST RECRUITMENT LTD,27/12/2023,1396.31 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,EARLY HELP AND SCHOOLS,REED SPECIALIST RECRUITMENT LTD,27/12/2023,1515.90 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,CHILDREN’S SOCIAL CARE,REED SPECIALIST RECRUITMENT LTD,27/12/2023,1758.61 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,CHILDREN’S SOCIAL CARE,REED SPECIALIST RECRUITMENT LTD,27/12/2023,1758.61 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,CHILDREN’S SOCIAL CARE,REED SPECIALIST RECRUITMENT LTD,27/12/2023,1758.61 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,CHILDREN’S SOCIAL CARE,REED SPECIALIST RECRUITMENT LTD,27/12/2023,1515.85 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,CHILDREN’S SOCIAL CARE,REED SPECIALIST RECRUITMENT LTD,27/12/2023,1536.61 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,CHILDREN’S SOCIAL CARE,REED SPECIALIST RECRUITMENT LTD,27/12/2023,1396.01 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,REED SPECIALIST RECRUITMENT LTD,27/12/2023,592.87 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,REED SPECIALIST RECRUITMENT LTD,27/12/2023,550.82 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,REED SPECIALIST RECRUITMENT LTD,27/12/2023,553.13 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,REED SPECIALIST RECRUITMENT LTD,27/12/2023,971.70 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,REED SPECIALIST RECRUITMENT LTD,27/12/2023,550.82 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,ADULT CARE LCO FUNCTIONS,REED SPECIALIST RECRUITMENT LTD,27/12/2023,744.61 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,RESOURCES,REED SPECIALIST RECRUITMENT LTD,27/12/2023,537.15 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,CHILDREN’S SOCIAL CARE,REED SPECIALIST RECRUITMENT LTD,27/12/2023,1499.61 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,PROPERTY AND HIGHWAYS,REED SPECIALIST RECRUITMENT LTD,27/12/2023,771.20 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,REED SPECIALIST RECRUITMENT LTD,27/12/2023,590.57 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,CHILDREN’S SOCIAL CARE,REED SPECIALIST RECRUITMENT LTD,27/12/2023,1766.01 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,CHILDREN’S SOCIAL CARE,REED SPECIALIST RECRUITMENT LTD,27/12/2023,1499.61 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,REED SPECIALIST RECRUITMENT LTD,27/12/2023,628.51 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,REED SPECIALIST RECRUITMENT LTD,27/12/2023,659.66 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,REED SPECIALIST RECRUITMENT LTD,27/12/2023,590.57 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,REED SPECIALIST RECRUITMENT LTD,27/12/2023,59.80 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,REED SPECIALIST RECRUITMENT LTD,27/12/2023,659.66 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,REED SPECIALIST RECRUITMENT LTD,27/12/2023,478.38 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,REED SPECIALIST RECRUITMENT LTD,27/12/2023,553.13 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,REED SPECIALIST RECRUITMENT LTD,27/12/2023,553.13 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,CHILDREN’S SOCIAL CARE,REED SPECIALIST RECRUITMENT LTD,27/12/2023,1775.26 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,REED SPECIALIST RECRUITMENT LTD,27/12/2023,459.69 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,CHILDREN’S SOCIAL CARE,REED SPECIALIST RECRUITMENT LTD,27/12/2023,1573.61 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,REED SPECIALIST RECRUITMENT LTD,27/12/2023,541.59 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,REED SPECIALIST RECRUITMENT LTD,27/12/2023,590.57 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,REED SPECIALIST RECRUITMENT LTD,27/12/2023,372.17 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,REED SPECIALIST RECRUITMENT LTD,27/12/2023,550.82 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,REED SPECIALIST RECRUITMENT LTD,27/12/2023,550.82 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,REED SPECIALIST RECRUITMENT LTD,27/12/2023,659.66 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,REED SPECIALIST RECRUITMENT LTD,27/12/2023,659.66 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,CHILDREN’S SOCIAL CARE,REED SPECIALIST RECRUITMENT LTD,27/12/2023,357.98 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,REED SPECIALIST RECRUITMENT LTD,27/12/2023,622.50 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,REED SPECIALIST RECRUITMENT LTD,27/12/2023,659.66 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,ADULT CARE LCO FUNCTIONS,REED SPECIALIST RECRUITMENT LTD,27/12/2023,1396.01 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,CHILDREN’S SOCIAL CARE,REED SPECIALIST RECRUITMENT LTD,27/12/2023,1276.02 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,CHILDREN’S SOCIAL CARE,REED SPECIALIST RECRUITMENT LTD,27/12/2023,732.21 ,AGENCY STAFF,V002179549,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,21/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,GERASPHERE CONSULTING LIMITED,21/12/2023,120.00 ,ROOM HIRE,V002179551,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,21/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,JONES AND BROOKS LTD,21/12/2023,113.50 ,PRINTING & STATIONERY,V002179563,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,ACTION FIRST ASSESSMENTS LTD,22/12/2023,975.00 ,FEES / COMMISSION,V002179567,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,PROPERTY AND HIGHWAYS,MARCHBRIDGE BUILDERS LIMITED,27/12/2023,8051.00 ,MINOR BUILDING WORKS,V002179574,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,PROPERTY AND HIGHWAYS,MARCHBRIDGE BUILDERS LIMITED,27/12/2023,500.04 ,MINOR BUILDING WORKS,V002179575,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,21/12/2023,EARLY HELP AND SCHOOLS,DIAMOND NO1 CARS,21/12/2023,989.56 ,TAXI HIRE,V002179577,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,HEATHCOTES CARE LTD,22/12/2023,6120.66 ,RESIDENTIAL LONG TERM,V002179587,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,HEATHCOTES CARE LTD,22/12/2023,5403.70 ,RESIDENTIAL LONG TERM,V002179588,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,LITTLEBOROUGH CARE HOME LIMITED,22/12/2023,1336.00 ,RESIDENTIAL LONG TERM,V002179589,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,THE JOSEPH COX CHARITY,22/12/2023,1755.20 ,RESIDENTIAL LONG TERM,V002179590,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,THE JOSEPH COX CHARITY,22/12/2023,1755.20 ,RESIDENTIAL LONG TERM,V002179590,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,THE JOSEPH COX CHARITY,22/12/2023,1755.20 ,RESIDENTIAL LONG TERM,V002179591,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,THE JOSEPH COX CHARITY,22/12/2023,1755.20 ,RESIDENTIAL LONG TERM,V002179591,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,CARETECH COMMUNITY SERVICES LTD,22/12/2023,4618.92 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002179592,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,CARETECH COMMUNITY SERVICES LTD,22/12/2023,333.48 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002179593,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,CARETECH COMMUNITY SERVICES LTD,22/12/2023,333.48 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002179594,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,CARETECH COMMUNITY SERVICES LTD,22/12/2023,6128.16 ,RESIDENTIAL LONG TERM,V002179595,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,CARETECH COMMUNITY SERVICES LTD,22/12/2023,10413.60 ,RESIDENTIAL LONG TERM,V002179596,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,CARETECH COMMUNITY SERVICES LTD,22/12/2023,10413.60 ,RESIDENTIAL LONG TERM,V002179597,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,22/12/2023,3344.50 ,RESIDENTIAL LONG TERM,V002179598,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,22/12/2023,3344.50 ,RESIDENTIAL LONG TERM,V002179598,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,MARANTOMARK LTD,22/12/2023,2122.20 ,NURSING LONG TERM - MARKET FACTOR,V002179599,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,MARANTOMARK LTD,22/12/2023,2122.20 ,NURSING LONG TERM - MARKET FACTOR,V002179600,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,MARANTOMARK LTD,22/12/2023,1450.00 ,NURSING LONG TERM,V002179601,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,MARANTOMARK LTD,22/12/2023,1450.00 ,NURSING LONG TERM,V002179602,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,MARTON CARE HOMES,22/12/2023,1336.00 ,RESIDENTIAL LONG TERM,V002179603,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,GENHAWK LIMITED,22/12/2023,225.40 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002179604,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,GENHAWK LIMITED,22/12/2023,3174.60 ,RESIDENTIAL LONG TERM,V002179605,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,EAST AND WEST HEALTHCARE LIMITED,22/12/2023,1450.00 ,NURSING LONG TERM,V002179606,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,EAST AND WEST HEALTHCARE LIMITED,22/12/2023,1450.00 ,NURSING LONG TERM,V002179606,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,BROWFIELD RESIDENTIAL HOME,22/12/2023,1265.40 ,RESIDENTIAL LONG TERM,V002179607,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,BROWFIELD RESIDENTIAL HOME,22/12/2023,1265.40 ,RESIDENTIAL LONG TERM,V002179607,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,ROOKWOOD,22/12/2023,1265.40 ,RESIDENTIAL LONG TERM,V002179608,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,ROOKWOOD,22/12/2023,1265.40 ,RESIDENTIAL LONG TERM,V002179608,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,BROWFIELD RESIDENTIAL HOME,22/12/2023,5.96 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002179609,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,BROWFIELD RESIDENTIAL HOME,22/12/2023,5.96 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002179609,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,BROWFIELD RESIDENTIAL HOME,22/12/2023,1265.40 ,RESIDENTIAL LONG TERM,V002179610,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,BROWFIELD RESIDENTIAL HOME,22/12/2023,1265.40 ,RESIDENTIAL LONG TERM,V002179610,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,CARR BANK HOUSE,22/12/2023,1233.92 ,RESIDENTIAL LONG TERM,V002179611,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,GRACE SPECIALIST HEALTHCARE,22/12/2023,410.04 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002179612,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,GRACE SPECIALIST HEALTHCARE,22/12/2023,410.04 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002179612,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,GRACE SPECIALIST HEALTHCARE,22/12/2023,1265.40 ,RESIDENTIAL LONG TERM,V002179613,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,GRACE SPECIALIST HEALTHCARE,22/12/2023,1265.40 ,RESIDENTIAL LONG TERM,V002179613,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,BROWFIELD RESIDENTIAL HOME,22/12/2023,403.20 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002179614,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,BROWFIELD RESIDENTIAL HOME,22/12/2023,403.20 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002179614,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,BROWFIELD RESIDENTIAL HOME,22/12/2023,1265.40 ,RESIDENTIAL LONG TERM,V002179615,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,BROWFIELD RESIDENTIAL HOME,22/12/2023,1265.40 ,RESIDENTIAL LONG TERM,V002179615,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,ROOKWOOD,22/12/2023,1134.38 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002179616,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,ROOKWOOD,22/12/2023,1265.40 ,RESIDENTIAL LONG TERM,V002179617,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,EAST AND WEST HEALTHCARE LIMITED,22/12/2023,1450.00 ,NURSING LONG TERM,V002179618,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,EAST AND WEST HEALTHCARE LIMITED,22/12/2023,1450.00 ,NURSING LONG TERM,V002179618,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,PASSMONDS NURSING HOME,22/12/2023,1336.00 ,RESIDENTIAL LONG TERM,V002179619,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,ROOKWOOD,22/12/2023,1265.40 ,RESIDENTIAL LONG TERM,V002179620,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,EAST AND WEST HEALTHCARE LIMITED,22/12/2023,1450.00 ,NURSING LONG TERM,V002179621,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,LITTLE HEATON CARE HOME,22/12/2023,1336.00 ,RESIDENTIAL LONG TERM,V002179622,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,LITTLE HEATON CARE HOME,22/12/2023,1336.00 ,RESIDENTIAL LONG TERM,V002179622,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,EAST AND WEST HEALTHCARE LIMITED,22/12/2023,1450.00 ,NURSING LONG TERM,V002179623,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,EAST AND WEST HEALTHCARE LIMITED,22/12/2023,1450.00 ,NURSING LONG TERM,V002179623,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,22/12/2023,5073.00 ,RESIDENTIAL LONG TERM,V002179624,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,PASSMONDS NURSING HOME,22/12/2023,1336.00 ,RESIDENTIAL LONG TERM,V002179625,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,ROOKWOOD,22/12/2023,1265.40 ,RESIDENTIAL LONG TERM,V002179626,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,22/12/2023,79.92 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002179627,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,22/12/2023,79.92 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002179627,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,22/12/2023,4155.04 ,RESIDENTIAL LONG TERM,V002179628,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,22/12/2023,4155.04 ,RESIDENTIAL LONG TERM,V002179628,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,22/12/2023,861.42 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002179629,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,22/12/2023,861.42 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002179629,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,22/12/2023,3053.00 ,RESIDENTIAL LONG TERM,V002179630,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,22/12/2023,3053.00 ,RESIDENTIAL LONG TERM,V002179630,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,22/12/2023,2567.22 ,RESIDENTIAL LONG TERM,V002179631,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,22/12/2023,2567.22 ,RESIDENTIAL LONG TERM,V002179631,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,22/12/2023,523.14 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002179632,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,22/12/2023,1070.60 ,RESIDENTIAL LONG TERM,V002179633,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,AUTISM PLUS LIMITED,22/12/2023,1597.66 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002179634,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,AUTISM PLUS LIMITED,22/12/2023,1597.66 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002179634,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,AUTISM PLUS LIMITED,22/12/2023,4560.74 ,RESIDENTIAL LONG TERM,V002179635,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,AUTISM PLUS LIMITED,22/12/2023,4560.74 ,RESIDENTIAL LONG TERM,V002179635,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,22/12/2023,3615.52 ,RESIDENTIAL LONG TERM,V002179636,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,22/12/2023,3615.52 ,RESIDENTIAL LONG TERM,V002179636,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,BROOKFIELD CARE HOME,22/12/2023,1265.40 ,RESIDENTIAL LONG TERM,V002179637,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,BROOKFIELD CARE HOME,22/12/2023,1265.40 ,RESIDENTIAL LONG TERM,V002179637,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,22/12/2023,1632.56 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002179638,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,22/12/2023,1632.56 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002179638,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,22/12/2023,1412.74 ,RESIDENTIAL LONG TERM,V002179639,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,22/12/2023,1412.74 ,RESIDENTIAL LONG TERM,V002179639,,,,,,,,,
