ORGANISATION NAME,EFEFCTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,ECONOMY DIRECTORATE,BRAHM LIFT LIMITED,27/12/2023,156.44 ,PFI SCHEMES RPI,V002121036,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,27/12/2023,ECONOMY DIRECTORATE,BRAHM LIFT LIMITED,27/12/2023,143.68 ,PFI SCHEMES RPI,V002121036,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,21/12/2023,RESOURCES,FORBES SOLICITORS,21/12/2023,0.00 ,INPUT VAT -  ADJUSTMENTS,V002122234,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,04/12/2023,PROPERTY AND HIGHWAYS,CALEDONIAN LIFTS MANCHESTER LTD,04/12/2023,45.00 ,PROPERTY - WORKS ELEMENT,V002122275,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,22/12/2023,CHILDREN’S SOCIAL CARE,FERNS REMOVALS,22/12/2023,50.00 ,REMOVAL EXPENDITURE,V002124053,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,01/12/2023,CHILDREN’S SOCIAL CARE,THE TOGETHER TRUST,01/12/2023,21257.32 ,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V002124283,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,19/12/2023,CHILDREN’S SOCIAL CARE,THE BIG WORD,19/12/2023,1415.92 ,TRANSLATION & INTERPRETATION,V002124287,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,19/12/2023,EARLY HELP AND SCHOOLS,THE BIG WORD,19/12/2023,19.77 ,TRANSLATION & INTERPRETATION,V002124287,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,19/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,THE BIG WORD,19/12/2023,151.74 ,TRANSLATION & INTERPRETATION,V002124287,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,19/12/2023,CHILDREN’S SOCIAL CARE,THE BIG WORD,19/12/2023,104.61 ,TRANSLATION & INTERPRETATION,V002124287,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,19/12/2023,EARLY HELP AND SCHOOLS,THE BIG WORD,19/12/2023,10.71 ,TRANSLATION & INTERPRETATION,V002124287,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,19/12/2023,ADULT CARE LCO FUNCTIONS,THE BIG WORD,19/12/2023,50.58 ,TRANSLATION & INTERPRETATION,V002124287,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,19/12/2023,EARLY HELP AND SCHOOLS,THE BIG WORD,19/12/2023,4.65 ,TRANSLATION & INTERPRETATION,V002124287,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,04/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,W F HOWES LTD,04/12/2023,-53.58 ,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,V002124313,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,04/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,W F HOWES LTD,04/12/2023,-226.09 ,REFERENCE BOOKS/NEWSPAPERS/PERIODICALS,V002124314,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,13/12/2023,ADULT CARE LCO FUNCTIONS,ROYAL MAIL GROUP LTD,13/12/2023,99.90 ,POSTAGE,V002124400,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,PROPERTY AND HIGHWAYS,PARR ROCHDALE LIMITED,08/12/2023,70.97 ,MATERIAL - GENERAL,V002124403,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,08/12/2023,ECONOMY DIRECTORATE,AEGIS SERVICES LTD,08/12/2023,5250.00 ,CONSULTANTS FEES,V002124471,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,06/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,RADIODETECTION LIMITED,06/12/2023,1081.98 ,EQUIPMENT - GENERAL,V002125782,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,06/12/2023,NEIGHBOURHOODS AND ENVIRONMENT,G A ELECTRICAL DISTRIBUTORS LIMITED,06/12/2023,22.13 ,PROPERTY - WORKS ELEMENT,V002125856,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,06/12/2023,CHILDREN’S SOCIAL CARE,D A LANGUAGES LIMITED,06/12/2023,47.75 ,TRANSLATION & INTERPRETATION,V002125977,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,06/12/2023,CHILDREN’S SOCIAL CARE,D A LANGUAGES LIMITED,06/12/2023,48.25 ,TRANSLATION & INTERPRETATION,V002125978,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,06/12/2023,ADULT CARE LCO FUNCTIONS,D A LANGUAGES LIMITED,06/12/2023,137.69 ,TRANSLATION & INTERPRETATION,V002126019,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,04/12/2023,PROPERTY AND HIGHWAYS,CALEDONIAN LIFTS MANCHESTER LTD,04/12/2023,45.00 ,PROPERTY - WORKS ELEMENT,V002126122,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,06/12/2023,CHILDREN’S SOCIAL CARE,D A LANGUAGES LIMITED,06/12/2023,87.62 ,TRANSLATION & INTERPRETATION,V002126246,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,01/12/2023,EARLY HELP AND SCHOOLS,PATTERSONS BRISTOL LTD,01/12/2023,19.41 ,CONSUMABLES,V002126297,,,,,,,,,
ROCHDALE BOROUGH COUNCIL,01/12/2023,EARLY HELP AND SCHOOLS,PATTERSONS BRISTOL LTD,01/12/2023,8.56 ,CONSUMABLES,V002126297,,,,,,,,,
