Dam Breed Type,All Breeds,,,,,,,,,,,,
Dairy,"303,358",,,,,,,,,,,,
Non-Dairy,"582,306",,,,,,,,,,,,
Total,"885,664",,,,,,,,,,Dam Breed Type,Calf Breed Code,Sum of Number of Births
Non Dairy,N/A,3,3,,Non Dairy,N/A,1.44%,1.42%,,,Non Dairy,SRWX,133
Total,3,209,212,,,,,,,,Non Dairy,SRX,112
,LH,LHX,Total,,,LH,LHX,Total,,,Non Dairy,ST,5566
Dairy,N/A,48,48,,Dairy,N/A,11.09%,2.00%,,,Non Dairy,STX,4492
Non Dairy,1967,385,2352,,Non Dairy,100.00%,88.91%,98.00%,,,Non Dairy,SU,1782
Total,1967,433,2400,,,,,,,,Non Dairy,SUX,867
,LIM,LIMX,Total,,,LIM,LIMX,Total,,,Non Dairy,VA,6
Dairy,N/A,23896,23896,,Dairy,N/A,13.38%,11.66%,,,Non Dairy,WA,92
Non Dairy,26334,154655,180989,,Non Dairy,100.00%,86.62%,88.34%,,,Non Dairy,WAX,177
Total,26334,178551,204885,,,,,,,,Non Dairy,WB,3720
,LR,LRX,Total,,,LR,LRX,Total,,,Non Dairy,WBX,838
Dairy,N/A,35,35,,Dairy,N/A,5.83%,2.29%,,,Non Dairy,WG,90
Non Dairy,931,565,1496,,Non Dairy,100.00%,94.17%,97.71%,,,Non Dairy,WGX,9
Total,931,600,1531,,,,,,,,Non Dairy,WP,340
,LU,LUX,Total,,,LU,LUX,Total,,,Non Dairy,WPX,31
Dairy,N/A,3,3,,Dairy,N/A,0.28%,0.08%,,,Non Dairy,WS,125
Non Dairy,2891,1085,3976,,Non Dairy,100.00%,99.72%,99.92%,,,Non Dairy,WSX,939
Total,2891,1088,3979,,,,,,,,Non Dairy,WW,26
,LV,LVX,Total,,,LV,LVX,Total,,,Non Dairy,WWX,24
Dairy,N/A,0,0,,Dairy,N/A,N/A,N/A,,,Non Dairy,ZE,1
Non Dairy,0,0,0,,Non Dairy,N/A,N/A,N/A,,,Non Dairy,YK,1
Total,0,0,0,,,,,,,,Non Dairy,MA,10
,MA,MAX,Total,,,MA,MAX,Total,,,Non Dairy,AN,1
Dairy,N/A,0,0,,Dairy,N/A,0.00%,0.00%,,,Non Dairy,CHI,2
Non Dairy,10,33,43,,Non Dairy,100.00%,100.00%,100.00%,,,Non Dairy,KIWIX,2
Total,10,33,43,,,,,,,,Non Dairy,KIWI,1
,MAL,MALX,Total,,,MAL,MALX,Total,,,Non Dairy,ALLX,27
Dairy,N/A,0,0,,Dairy,N/A,N/A,N/A,,,Non Dairy,PIN,3
Non Dairy,0,0,0,,Non Dairy,N/A,N/A,N/A,,,Non Dairy,HKX,2
Total,0,0,0,,,,,,,,Non Dairy,CW,3
,MAR,MARX,Total,,,MAR,MARX,Total,,,Non Dairy,AB,1
Dairy,N/A,0,0,,Dairy,N/A,0.00%,0.00%,,,Non Dairy,HSX,1
Non Dairy,0,64,64,,Non Dairy,N/A,100.00%,100.00%,,,Non Dairy,VAX,2
Total,0,64,64,,,,,,,,Non Dairy Total,,582306
,MG,MGX,Total,,,MG,MGX,Total,,,Grand Total,,885664
Dairy,N/A,11,11,,Dairy,N/A,14.67%,4.95%,,,,,
Non Dairy,147,64,211,,Non Dairy,100.00%,85.33%,95.05%,,,,,
Total,147,75,222,,,,,,,,,,
,MO,MOX,Total,,,MO,MOX,Total,,,,,
Dairy,N/A,1802,1802,,Dairy,N/A,59.77%,45.61%,,,,,
Non Dairy,936,1213,2149,,Non Dairy,100.00%,40.23%,54.39%,,,,,
Total,936,3015,3951,,,,,,,,,,
,MRI,MRIX,Total,,,MRI,MRIX,Total,,,,,
Dairy,N/A,185,185,,Dairy,N/A,51.97%,31.95%,,,,,
Non Dairy,223,171,394,,Non Dairy,100.00%,48.03%,68.05%,,,,,
Total,223,356,579,,,,,,,,,,
,NDS,NDSX,Total,,,NDS,NDSX,Total,,,,,
Dairy,16,0,16,,Dairy,100.00%,0.00%,57.14%,,,,,
Non Dairy,N/A,12,12,,Non Dairy,N/A,100.00%,42.86%,,,,,
Total,16,12,28,,,,,,,,,,
,NO,NOX,Total,,,NO,NOX,Total,,,,,
Dairy,N/A,81,81,,Dairy,N/A,77.88%,57.04%,,,,,
Non Dairy,38,23,61,,Non Dairy,100.00%,22.12%,42.96%,,,,,
Total,38,104,142,,,,,,,,,,
,NR,NRX,Total,,,NR,NRX,Total,,,,,
Dairy,N/A,1047,1047,,Dairy,N/A,90.81%,90.18%,,,,,
Non Dairy,8,106,114,,Non Dairy,100.00%,9.19%,9.82%,,,,,
Total,8,1153,1161,,,,,,,,,,
,OD,,Total,,,OD,0,Total,,,,,
Dairy,0,0,0,,Dairy,N/A,N/A,N/A,,,,,
Non Dairy,N/A,0,0,,Non Dairy,N/A,N/A,N/A,,,,,
Total,0,0,0,,,,,,,,,,
,OE,OEX,Total,,,OE,OEX,Total,,,,,
Dairy,N/A,0,0,,Dairy,N/A,N/A,N/A,,,,,
Non Dairy,0,0,0,,Non Dairy,N/A,N/A,N/A,,,,,
Total,0,0,0,,,,,,,,,,
,PA,PAX,Total,,,PA,PAX,Total,,,,,
Dairy,N/A,7,7,,Dairy,N/A,2.83%,2.34%,,,,,
Non Dairy,52,240,292,,Non Dairy,100.00%,97.17%,97.66%,,,,,
Total,52,247,299,,,,,,,,,,
,PI,PIX,Total,,,PI,PIX,Total,,,,,
Dairy,N/A,10,10,,Dairy,N/A,4.26%,3.39%,,,,,
Non Dairy,60,225,285,,Non Dairy,100.00%,95.74%,96.61%,,,,,
Total,60,235,295,,,,,,,,,,
,PIN,PINX,Total,,,PIN,PINX,Total,,,,,
Dairy,N/A,0,0,,Dairy,N/A,N/A,0.00%,,,,,
Non Dairy,3,0,3,,Non Dairy,100.00%,N/A,100.00%,,,,,
Total,3,0,3,,,,,,,,,,
,PR,PRX,Total,,,PR,PRX,Total,,,,,
Dairy,0,0,0,,Dairy,N/A,N/A,N/A,,,,,
Non Dairy,N/A,0,0,,Non Dairy,N/A,N/A,N/A,,,,,
Total,0,0,0,,,,,,,,,,
,RE,REX,Total,,,RE,REX,Total,,,,,
Dairy,N/A,0,0,,Dairy,N/A,N/A,N/A,,,,,
Non Dairy,0,0,0,,Non Dairy,N/A,N/A,N/A,,,,,
Total,0,0,0,,,,,,,,,,
,RG,RGX,Total,,,RG,RGX,Total,,,,,
Dairy,20,2,22,,Dairy,100.00%,3.33%,27.50%,,,,,
Non Dairy,N/A,58,58,,Non Dairy,N/A,96.67%,72.50%,,,,,
Total,20,60,80,,,,,,,,,,
,RO,ROX,Total,,,RO,ROX,Total,,,,,
Dairy,N/A,2,2,,Dairy,N/A,6.06%,5.71%,,,,,
Non Dairy,2,31,33,,Non Dairy,100.00%,93.94%,94.29%,,,,,
Total,2,33,35,,,,,,,,,,
,ROT,ROTX,Total,,,ROT,ROTX,Total,,,,,
Dairy,N/A,0,0,,Dairy,N/A,0.00%,0.00%,,,,,
Non Dairy,0,5,5,,Non Dairy,N/A,100.00%,100.00%,,,,,
Total,0,5,5,,,,,,,,,,
,RP,RPX,Total,,,RP,RPX,Total,,,,,
Dairy,N/A,46,46,,Dairy,N/A,16.20%,3.55%,,,,,
Non Dairy,1010,238,1248,,Non Dairy,100.00%,83.80%,96.45%,,,,,
Total,1010,284,1294,,,,,,,,,,
,SA,SAX,Total,,,SA,SAX,Total,,,,,
Dairy,N/A,349,349,,Dairy,N/A,4.37%,3.24%,,,,,
Non Dairy,2797,7633,10430,,Non Dairy,100.00%,95.63%,96.76%,,,,,
Total,2797,7982,10779,,,,,,,,,,
,SB,SBX,Total,,,SB,SBX,Total,,,,,
Dairy,N/A,2,2,,Dairy,N/A,100.00%,100.00%,,,,,
Non Dairy,0,0,0,,Non Dairy,N/A,0.00%,0.00%,,,,,
Total,0,2,2,,,,,,,,,,
,SD,SDX,Total,,,SD,SDX,Total,,,,,
Dairy,N/A,260,260,,Dairy,N/A,5.42%,2.26%,,,,,
Non Dairy,6710,4539,11249,,Non Dairy,100.00%,94.58%,97.74%,,,,,
