Allocated,1st Pref,2nd Pref,3rd Pref,4th Pref,5th Pref,CatchmentName,CatchmentCode,Year 
8162428,8162428,,,,,Lakeside Primary School,8162428,2023
8163151,8163151,,,,,Dunnington CE Primary School,8163151,2023
8162429,8162429,,,,,Tang Hall Primary School,8162429,2023
8163156,8163156,8163402,8163158,8162008,8163152,Fishergate Primary School,8162008,2023
8163152,8163152,,,,,Elvington CE Primary School,8163152,2023
8163151,8163151,,,,,Dunnington CE Primary School,8163151,2023
8162431,8162431,8163158,8162004,,,St Lawrence's CE Primary School,8162020,2023
8162431,8162431,,,,,Badger Hill Primary School,8162431,2023
8162431,8162431,8163158,8162176,8163401,,Osbaldwick Primary School,8162176,2023
8163151,8163156,8163151,,,,Fishergate Primary School,8162008,2023
8163904,8163904,8163003,8162000,,,Acomb Primary School,8162000,2023
8162000,8162000,8162016,8163904,8163003,8162007,Acomb Primary School,8162000,2023
8162001,8162001,8162227,,,,Hempland Primary School,8162001,2023
8163158,8163158,8162431,,,,Osbaldwick Primary School,8162176,2023
8162029,8162029,8162349,8162003,8162000,,Carr Junior School,8162002,2023
8162058,8162058,,,,,Ralph Butterfield Primary School,8162058,2023
8163152,8163152,,,,,Elvington CE Primary School,8163152,2023
8162431,8163158,8162431,8162227,8162001,8162176,Stockton On The Forest Primary School,8162227,2023
8162430,8162430,8162428,8162014,8162000,,Burton Green Primary School,8162024,2023
8163156,8163156,8163158,8162008,,,Fishergate Primary School,8162008,2023
8162018,8162018,,,,,Clifton Green Primary School,8162018,2023
8162429,8162429,,,,,Tang Hall Primary School,8162429,2023
8162004,8162004,8162012,,,,Haxby Road Primary Academy,8162004,2023
8163158,8163156,8163158,8162016,8162431,,Fishergate Primary School,8162008,2023
8162430,8162430,8162428,,,,Lakeside Primary School,8162428,2023
8162015,8162015,,,,,Haxby Road Primary Academy,8162004,2023
8162013,8162013,8162007,8162386,,,Copmanthorpe Primary School,8162013,2023
8162028,8162028,8163003,,,,Hob Moor Community Primary School,8162028,2023
8162027,8162027,,,,,Woodthorpe Primary School,8162027,2023
8162017,8162017,8162027,8162028,,,Westfield Community Primary School,8162017,2023
8162016,8162016,,,,,Knavesmire Primary School,8162011,2023
8162027,8162027,8162007,,,,Woodthorpe Primary School,8162027,2023
8162011,8162011,8163003,8162007,8162008,8162016,Knavesmire Primary School,8162011,2023
8162028,8162028,,,,,Westfield Community Primary School,8162017,2023
8162430,8162430,8162428,8162018,8162021,,Clifton with Rawcliffe Primary School,8162430,2023
8162029,8162349,8163222,8162029,,,Poppleton Ousebank Primary School,8162029,2023
8163401,8163401,,,,,Hempland Primary School,8162001,2023
8162001,8162001,8163302,8162429,,,Hempland Primary School,8162001,2023
8163302,8163302,8162429,,,,Tang Hall Primary School,8162429,2023
8162180,8162180,8162021,8162015,,,Huntington Primary Academy,8162180,2023
8162180,8162180,8162015,,,,Yearsley Grove Primary School,8162015,2023
8162015,8162015,8162180,,,,Yearsley Grove Primary School,8162015,2023
8162007,8162007,,,,,Westfield Community Primary School,8162017,2023
8162028,8162028,,,,,Acomb Primary School,8162000,2023
8162349,8162349,8163222,8162029,,,Poppleton Ousebank Primary School,8162029,2023
8163003,8163003,8162016,8163403,,,Scarcroft Primary School,8162016,2023
8162007,8162007,8162011,,,,Dringhouses Primary School,8162007,2023
8163904,8163904,,,,,Scarcroft Primary School,8162016,2023
8162021,8162021,,,,,New Earswick Primary School,8162021,2023
8162000,8162000,8162017,,,,Acomb Primary School,8162000,2023
8162027,8162027,,,,,Hob Moor Community Primary School,8162028,2023
8163380,8163380,,,,,Wheldrake with Thorganby CE Primary School,8163380,2023
8162349,8162349,,,,,Rufforth Primary School,8162349,2023
8162007,8162007,8162028,,,,Westfield Community Primary School,8162017,2023
8162015,8162015,,,,,Park Grove Primary Academy,8162012,2023
8162008,8162008,,,,,Scarcroft Primary School,8162016,2023
8162058,8162058,8162241,8162240,,,Headlands Primary School,8162241,2023
8163302,8163302,8162001,8162012,,,Park Grove Primary Academy,8162012,2023
8162017,8162017,,,,,Woodthorpe Primary School,8162027,2023
8162001,8162001,8163302,,,,Hempland Primary School,8162001,2023
8162240,8162240,,,,,Wigginton Primary School,8162240,2023
8162028,8162028,8162007,8162014,8162004,8162018,Clifton Green Primary School,8162018,2023
8162012,8162012,8163403,8162004,8163302,8162180,Park Grove Primary Academy,8162012,2023
8163002,8163002,,,,,St Barnabas' CE Primary School,8163002,2023
8163212,8163212,,,,,Robert Wilkinson Primary School,8163212,2023
8162176,8162176,8162001,,,,Osbaldwick Primary School,8162176,2023
8162027,8162027,,,,,Woodthorpe Primary School,8162027,2023
8162430,8162430,,,,,Clifton with Rawcliffe Primary School,8162430,2023
8162015,8162003,,,,,Haxby Road Primary Academy,8162004,2023
8162011,8162011,,,,,Knavesmire Primary School,8162011,2023
8162176,8162176,,,,,Osbaldwick Primary School,8162176,2023
8162169,8162169,8162428,,,,Skelton Primary School,8162169,2023
8162017,8162017,,,,,Westfield Community Primary School,8162017,2023
8162430,8162430,8162428,,,,Lakeside Primary School,8162428,2023
8163151,8163151,8162013,,,,Dunnington CE Primary School,8163151,2023
8163402,8163402,,,,,Fishergate Primary School,8162008,2023
8162020,8162020,8162429,,,,Osbaldwick Primary School,8162176,2023
8163003,8162000,8163003,8162007,8163904,8162014,Hob Moor Community Primary School,8162028,2023
8162014,8162014,8162003,,,,Poppleton Road Primary School,8162014,2023
8162008,8162008,8162016,8162011,8162431,8163402,Fishergate Primary School,8162008,2023
8162180,8162180,8162021,,,,Huntington Primary Academy,8162180,2023
8162027,8162027,,,,,Hob Moor Community Primary School,8162028,2023
8162000,8162000,,,,,Westfield Community Primary School,8162017,2023
8162004,8162004,,,,,Burton Green Primary School,8162024,2023
8162029,8162029,8162014,8162000,8162430,,Poppleton Road Primary School,8162014,2023
8163302,8163302,8163403,8162008,,,Tang Hall Primary School,8162429,2023
8162241,8162241,8162240,,,,Wigginton Primary School,8162240,2023
8162021,8162021,8162180,,,,New Earswick Primary School,8163901,2023
8162017,8162017,,,,,Acomb Primary School,8162000,2023
8162027,8162027,8162017,,,,Westfield Community Primary School,8162017,2023
8162028,8162028,8162000,8163003,8163904,,Hob Moor Community Primary School,8162028,2023
8162015,8162015,,,,,Huntington Primary Academy,8162180,2023
8162017,8162017,,,,,Westfield Community Primary School,8162017,2023
8162386,8162386,,,,,Dringhouses Primary School,8162007,2023
8163156,8163156,,,,,St Oswald's CE Primary School,8163156,2023
8162430,8162430,,,,,Lakeside Primary School,8162428,2023
8162021,8162021,8162180,,,,New Earswick Primary School,8163901,2023
8163212,8163212,,,,,Robert Wilkinson Primary School,8163212,2023
8162018,8162018,8162024,8162430,,,Clifton Green Primary School,8162018,2023
8162430,8162430,,,,,Clifton with Rawcliffe Primary School,8162430,2023
8162241,8162241,,,,,Headlands Primary School,8162241,2023
8162240,8162240,8162241,,,,Wigginton Primary School,8162240,2023
8162017,8162017,,,,,Westfield Community Primary School,8162017,2023
8162000,8162000,8162003,8162017,8162014,,Acomb Primary School,8162000,2023
8163002,8163002,8162000,,,,Carr Junior School,8162002,2023
8162012,8162012,,,,,Park Grove Primary Academy,8162012,2023
8162017,8162017,,,,,Westfield Community Primary School,8162017,2023
8162058,8162058,,,,,Ralph Butterfield Primary School,8162058,2023
8162027,8162027,8162007,8163904,,,Woodthorpe Primary School,8162027,2023
8163904,8163904,,,,,Westfield Community Primary School,8162017,2023
8162021,8162021,8162180,,,,New Earswick Primary School,8163901,2023
8162027,8162027,,,,,Woodthorpe Primary School,8162027,2023
8162004,8162012,8162004,,,,Clifton Green Primary School,8162018,2023
8162018,8162018,,,,,Clifton Green Primary School,8162018,2023
8162240,8162240,,,,,Wigginton Primary School,8162240,2023
8162028,8162028,8162017,8162000,,,Hob Moor Community Primary School,8162028,2023
8153153,8153153,8163158,8163380,8163159,,Wheldrake with Thorganby CE Primary School,8163380,2023
8162024,8162024,,,,,Clifton with Rawcliffe Primary School,8162430,2023
8162027,8162027,,,,,Westfield Community Primary School,8162017,2023
8162429,8162429,,,,,Tang Hall Primary School,8162429,2023
8163302,8162001,8163302,,,,Tang Hall Primary School,8162429,2023
8162020,8162020,,,,,St Lawrence's CE Primary School,8162020,2023
8162429,8162429,,,,,Tang Hall Primary School,8162429,2023
8162429,8162429,,,,,St Oswald's CE Primary School,8163156,2023
8162012,8162012,,,,,Burton Green Primary School,8162024,2023
8163904,8163904,8162000,8162007,8163003,8162027,Westfield Community Primary School,8162017,2023
8162016,8162016,8162008,,,,Scarcroft Primary School,8162016,2023
8162028,8162028,8162000,8163904,,,Hob Moor Community Primary School,8162028,2023
8162014,8162014,8163904,8162000,8162017,,Poppleton Road Primary School,8162014,2023
8162241,8162241,,,,,Headlands Primary School,8162241,2023
8162004,8162004,,,,,Park Grove Primary Academy,8162012,2023
8162011,8162011,8162016,,,,Scarcroft Primary School,8162016,2023
8162027,8162027,,,,,Westfield Community Primary School,8162017,2023
8162018,8162018,,,,,Burton Green Primary School,8162024,2023
8162014,8162014,8162000,,,,Poppleton Road Primary School,8162014,2023
8163156,8163156,8163158,8162008,,,Fishergate Primary School,8162008,2023
8162004,8162004,,,,,Tang Hall Primary School,8162429,2023
8162004,8162004,,,,,Haxby Road Primary Academy,8162004,2023
8163156,8163156,,,,,St Oswald's CE Primary School,8163156,2023
8162021,8162021,,,,,New Earswick Primary School,8163901,2023
8162017,8162003,,,,,Westfield Community Primary School,8162017,2023
8162015,8162015,,,,,Haxby Road Primary Academy,8162004,2023
8162004,8162004,,,,,Haxby Road Primary Academy,8162004,2023
8163212,8163212,8162058,,,,Robert Wilkinson Primary School,8163212,2023
8162018,8162018,8162024,8162430,,,Clifton Green Primary School,8162018,2023
8162016,8162016,,,,,Scarcroft Primary School,8162016,2023
8163904,8163904,8162027,8163003,8162007,,Westfield Community Primary School,8162017,2023
8162021,8162021,,,,,New Earswick Primary School,8163901,2023
8162017,8162017,,,,,Westfield Community Primary School,8162017,2023
8162428,8162428,8162430,,,,Clifton with Rawcliffe Primary School,8162430,2023
8162017,8162017,8162028,,,,Acomb Primary School,8162000,2023
8162017,8162017,,,,,Westfield Community Primary School,8162017,2023
8162003,8162003,,,,,Carr Junior School,8162002,2023
8162014,8162014,8162029,,,,Poppleton Road Primary School,8162014,2023
8162003,8162003,,,,,Carr Infant School,8162003,2023
8162000,8162000,8162011,,,,Acomb Primary School,8162000,2023
8162001,8162001,,,,,Hempland Primary School,8162001,2023
8162017,8162017,,,,,Westfield Community Primary School,8162017,2023
8162000,8162000,,,,,Acomb Primary School,8162000,2023
8163002,8163002,,,,,St Barnabas' CE Primary School,8163002,2023
8162004,8162004,,,,,Haxby Road Primary Academy,8162004,2023
8162015,8162015,,,,,Haxby Road Primary Academy,8162004,2023
8162001,8162001,,,,,Hempland Primary School,8162001,2023
8162017,8162017,,,,,Woodthorpe Primary School,8162027,2023
8162018,8162018,8162430,8162024,,,Clifton with Rawcliffe Primary School,8162430,2023
8162018,8162018,8162430,,,,Burton Green Primary School,8162024,2023
8162430,8162430,,,,,Burton Green Primary School,8162024,2023
