Allocated,1st Pref,2nd Pref,3rd Pref,4th Pref,5th Pref,Catch primary,Catch prim,Year
8162430,8162430,,,,,Clifton with Rawcliffe Primary School,2430,2024
8162003,8162003,8162014,,,,Carr Infant School,2003,2024
8162001,8162001,8163302,,,,Hempland Primary School,2001,2024
8162430,8162430,8162428,8163003,8162014,,Clifton with Rawcliffe Primary School,2430,2024
8162015,8162015,,,,,Haxby Road Primary Academy,2004,2024
8162001,8163158,8162001,8163302,,,Hempland Primary School,2001,2024
8162013,8162013,,,,,Copmanthorpe Primary School,2013,2024
8162017,8162017,,,,,Westfield Community Primary School,2017,2024
8162227,8162227,,,,,Stockton On The Forest Primary School,2227,2024
8162027,8162027,8162017,,,,Westfield Community Primary School,2017,2024
8162003,8162003,8162014,,,,Carr Infant School,2003,2024
8162386,8162386,8162011,,,,Knavesmire Primary School,2011,2024
,,8163380,,,,,,2024
,,8163156,,,,,,2024
8163904,8163904,8162000,8163003,,,St Paul's CE Primary School,3003,2024
8162227,8162227,8162001,,,,Hempland Primary School,2001,2024
8162430,8162430,,,,,Clifton with Rawcliffe Primary School,2430,2024
8162058,8162058,8162430,,,,Clifton with Rawcliffe Primary School,2430,2024
8162018,8162018,8162430,8162014,,,Clifton Green Primary School,2018,2024
8162014,8162000,8162014,8162029,,,Westfield Community Primary School,2017,2024
8162015,8162015,,,,,Yearsley Grove Primary School,2015,2024
8162001,8162001,,,,,Hempland Primary School,2001,2024
8162430,8162430,,,,,Lakeside Primary School,2428,2024
8162027,8162027,,,,,Woodthorpe Primary School,2027,2024
8163151,8163151,,,,,Dunnington CE Primary School,3151,2024
8162007,8162007,,,,,Hob Moor Community Primary School,2028,2024
8162011,8162011,8162016,,,,Scarcroft Primary School,2016,2024
8162013,8162013,8163222,8162386,,,Copmanthorpe Primary School,2013,2024
8162012,8162012,8163302,8162004,,,Park Grove Primary Academy,2012,2024
8162011,8162011,,,,,Knavesmire Primary School,2011,2024
8162013,8162013,,,,,Copmanthorpe Primary School,2013,2024
8162430,8162430,,,,,,,2024
8162169,8162169,8162430,,,,Skelton Primary School,2169,2024
8162027,8162027,,,,,Woodthorpe Primary School,2027,2024
8162018,8162018,,,,,Burton Green Primary School,2024,2024
8163156,8163156,8162008,,,,Fishergate Primary School,2008,2024
8163156,8163156,8163158,8162008,,,Fishergate Primary School,2008,2024
8162017,8162017,8162000,,,,Westfield Community Primary School,2017,2024
8163403,8163403,8163402,8162004,,,Tang Hall Primary School,2429,2024
8162027,8162027,,,,,Woodthorpe Primary School,2027,2024
8162429,8162429,,,,,Tang Hall Primary School,2429,2024
8162386,8162386,8162013,8162007,8162027,8162011,Woodthorpe Primary School,2027,2024
8162430,8162430,8162428,,,,Lakeside Primary School,2428,2024
,,,,8163380,,,,2024
8162015,8162015,,,,,Haxby Road Primary Academy,2004,2024
8162004,8162004,,,,,Haxby Road Primary Academy,2004,2024
8162012,8162012,8162004,8162001,8163302,8162180,Haxby Road Primary Academy,2004,2024
8163401,8163401,8162001,,,,Osbaldwick Primary School,2176,2024
8163158,8163158,8162431,8162176,,,Osbaldwick Primary School,2176,2024
8162012,8162012,,,,,Clifton with Rawcliffe Primary School,2430,2024
8163212,8163212,,,,,Robert Wilkinson Primary School,3212,2024
8162015,8162015,,,,,Fishergate Primary School,2008,2024
8162007,8162007,,,,,Hob Moor Community Primary School,2028,2024
8163156,8163156,8163158,,,,St Oswald's CE Primary School,3156,2024
8162017,8162017,8162028,8162027,,,Woodthorpe Primary School,2027,2024
8162013,8162013,8162386,,,,Woodthorpe Primary School,2027,2024
8162058,8162058,8162241,8162240,,,Headlands Primary School,2241,2024
8162058,8162058,8162021,,,,Headlands Primary School,2241,2024
8162027,8162027,8162007,,,,Woodthorpe Primary School,2027,2024
8162020,8162020,,,,,Osbaldwick Primary School,2176,2024
8163904,8163904,8162000,,,,Acomb Primary School,2000,2024
8162241,8162241,8162240,8162058,,,Headlands Primary School,2241,2024
8162169,8162169,,,,,Skelton Primary School,2169,2024
8162024,8162024,8162018,8162428,,,Clifton Green Primary School,2018,2024
,,8162386,,,,,,2024
8162431,8162001,8162431,8163158,8162176,8163402,Osbaldwick Primary School,2176,2024
8163904,8163904,8162000,,,,Dringhouses Primary School,2007,2024
8163904,8163904,8162000,,,,Dringhouses Primary School,2007,2024
8162003,8162003,8162027,,,,Carr Infant School,2003,2024
8162176,8162176,8162431,8162001,8162429,,Osbaldwick Primary School,2176,2024
8163158,8163158,,,,,Lord Deramores Primary School,3158,2024
8162058,8162058,8162240,8162241,,,Headlands Primary School,2241,2024
8162021,8162021,,,,,St Barnabas' CE Primary School,3002,2024
8162007,8162000,8162007,8162003,,,Westfield Community Primary School,2017,2024
8162004,8162004,8162012,8162018,,,Clifton Green Primary School,2018,2024
8162001,8162001,8162227,8162176,8163158,8162180,Hempland Primary School,2001,2024
8163904,8163904,,,,,Hob Moor Community Primary School,2028,2024
8162012,8162012,,,,,Clifton Green Primary School,2018,2024
8162014,8162014,8162000,8162028,,,Poppleton Road Primary School,2014,2024
8162000,8162000,8163904,8163003,,,Acomb Primary School,2000,2024
8162029,8162029,8162000,8162349,,,Westfield Community Primary School,2017,2024
8162003,8162003,,,,,Carr Infant School,2003,2024
8162240,8162240,8162241,8162058,,,Headlands Primary School,2241,2024
8162013,8162013,,,,,Copmanthorpe Primary School,2013,2024
8162241,8162241,8162058,8162240,,,Headlands Primary School,2241,2024
8162007,8162007,,,,,Dringhouses Primary School,2007,2024
,,,8163380,8162033,,,,2024
8162008,8162008,8162016,8163403,,,Fishergate Primary School,2008,2024
8162180,8162180,,,,,Huntington Primary Academy,2180,2024
8162016,8162016,8162011,,,,Knavesmire Primary School,2011,2024
8162176,8162176,8163156,8163158,,,St Oswald's CE Primary School,3156,2024
8162430,8162430,,,,,Clifton with Rawcliffe Primary School,2430,2024
8162018,8162018,,,,,Clifton Green Primary School,2018,2024
8162007,8162007,8162027,8162028,,,Hob Moor Community Primary School,2028,2024
8162020,8162020,,,,,St Lawrence's CE Primary School,2020,2024
8162008,8162008,,,,,Fishergate Primary School,2008,2024
8162007,8162007,,,,,Hob Moor Community Primary School,2028,2024
8162429,8162429,,,,,Tang Hall Primary School,2429,2024
8162180,8162180,8162021,8162004,,,Huntington Primary Academy,2180,2024
8162430,8162430,8162014,,,,Clifton Green Primary School,2018,2024
8162029,8162029,8162013,,,,Westfield Community Primary School,2017,2024
8162029,8162029,8162013,,,,Westfield Community Primary School,2017,2024
8162029,8162029,8162013,,,,Westfield Community Primary School,2017,2024
8162429,8162429,,,,,Tang Hall Primary School,2429,2024
8162007,8162007,,,,,Dringhouses Primary School,2007,2024
8162027,8162027,,,,,Woodthorpe Primary School,2027,2024
8162014,8162014,8162029,8162018,8162000,8162003,St Barnabas' CE Primary School,3002,2024
8162027,8162027,,,,,Woodthorpe Primary School,2027,2024
8163403,8163403,8162012,8163402,8162008,8162016,Fishergate Primary School,2008,2024
8163401,8163401,,,,,Hempland Primary School,2001,2024
8162169,8162169,,,,,Skelton Primary School,2169,2024
8163156,8163156,8163158,8162431,8163402,8162008,St Oswald's CE Primary School,3156,2024
8163151,8163151,,,,,Dunnington CE Primary School,3151,2024
8162058,8162058,8162241,8162240,,,Ralph Butterfield Primary School,2058,2024
8162014,8162000,8162014,8162017,8162029,8163904,Carr Infant School,2003,2024
8162014,8162014,8162003,,,,Carr Infant School,2003,2024
,,,,,8162000,,,2024
8162027,8162027,8163904,8162007,8162003,8162017,Woodthorpe Primary School,2027,2024
8162176,8162176,8162431,8163158,8163302,8162001,Osbaldwick Primary School,2176,2024
8162029,8162029,,,,,,,2024
8162016,8162016,8162011,,,,Scarcroft Primary School,2016,2024
8162015,8162015,,,,,Yearsley Grove Primary School,2015,2024
8163003,8163003,,,,,St Paul's CE Primary School,3003,2024
8162430,8162430,,,,,Clifton with Rawcliffe Primary School,2430,2024
8162013,8162013,8162386,,,,New Earswick Primary School,2021,2024
8162180,8162180,,,,,Huntington Primary Academy,2180,2024
8162020,8162020,,,,,Tang Hall Primary School,2429,2024
8162015,8162015,,,,,Haxby Road Primary Academy,2004,2024
8162180,8162180,8162021,,,,Huntington Primary Academy,2180,2024
8162014,8162014,8162003,,,,St Barnabas' CE Primary School,3002,2024
8162014,8162014,8162003,,,,St Barnabas' CE Primary School,3002,2024
8162001,8162001,,,,,Hempland Primary School,2001,2024
8162012,8162012,,,,,Park Grove Primary Academy,2012,2024
8162007,8162007,,,,,Dringhouses Primary School,2007,2024
8162430,8162430,8162428,,,,Clifton with Rawcliffe Primary School,2430,2024
8162430,8162430,,,,,Clifton Green Primary School,2018,2024
8163403,8163403,8163402,8162012,,,Clifton Green Primary School,2018,2024
8162014,8162014,,,,,Poppleton Road Primary School,2014,2024
8162011,8162011,,,,,Knavesmire Primary School,2011,2024
8162430,8162430,8162428,,,,Clifton with Rawcliffe Primary School,2430,2024
8162015,8162015,,,,,Yearsley Grove Primary School,2015,2024
8162008,8162008,,,,,Fishergate Primary School,2008,2024
8163904,8163904,8162000,8163003,,,Poppleton Road Primary School,2014,2024
8162029,8162029,8162430,8162169,,,Clifton with Rawcliffe Primary School,2430,2024
8162012,8162012,,,,,Park Grove Primary Academy,2012,2024
8162349,8162349,8163222,8162029,8162169,,Rufforth Primary School,2349,2024
8162000,8162000,,,,,Poppleton Road Primary School,2014,2024
8163152,8163152,8113082,8163380,,,Elvington CE Primary School,3152,2024
8162241,8162241,8162240,8162058,,,Headlands Primary School,2241,2024
8162017,8162017,8162027,,,,Westfield Community Primary School,2017,2024
8162003,8162003,,,,,Carr Infant School,2003,2024
8162017,8162017,,,,,St Barnabas' CE Primary School,3002,2024
8162000,8162000,8162003,8162028,8162017,,Acomb Primary School,2000,2024
8113047,8113047,,,,,Elvington CE Primary School,3152,2024
8162007,8162007,,,,,Woodthorpe Primary School,2027,2024
8162176,8162176,8162431,8163158,8163151,,Osbaldwick Primary School,2176,2024
8162011,8162011,8162001,8163158,8162008,8163402,Knavesmire Primary School,2011,2024
8163151,8163151,,,,,Dunnington CE Primary School,3151,2024
8162012,8162012,8163403,8163302,,,Park Grove Primary Academy,2012,2024
,,8162028,,,,,,2024
8162386,8162386,,,,,Bishopthorpe Infant School,2386,2024
8162001,8162001,8163302,,,,Hempland Primary School,2001,2024
8163904,8163904,8162000,8162017,8162007,8162013,Westfield Community Primary School,2017,2024
8162386,8162386,8162013,8162011,8162033,8162007,Bishopthorpe Infant School,2386,2024
8162386,8162386,8162007,8162013,,,Bishopthorpe Infant School,2386,2024
8162024,8162024,,,,,Lakeside Primary School,2428,2024
8162169,8162169,,,,,Skelton Primary School,2169,2024
8162430,8162430,8162014,,,,Clifton with Rawcliffe Primary School,2430,2024
8163212,8163212,,,,,Haxby Road Primary Academy,2004,2024
8162029,8162029,8162430,,,,Clifton with Rawcliffe Primary School,2430,2024
8162017,8162017,,,,,Westfield Community Primary School,2017,2024
